curr_rho,mxp1,mxp2
0.2,0.7974863166430164,0.7816411682892906
0.2,0.7893647837781916,0.7733630650719643
0.2,0.7969269102990033,0.7807160292921074
0.2,0.7891318467200693,0.7724094087730451
0.2,0.5261984392419174,0.4989429175475687
0.2,0.7600187485352706,0.7426150675520953
0.2,0.7978309801514222,0.7818327651894926
0.2,0.7859381997313032,0.7687253613666228
0.2,0.799877099549365,0.7838217583299879
0.2,0.803141574867401,0.7870851659336265
0.2,0.7804610318331504,0.7636949516648764
0.2,0.7777530589543937,0.7608269858541893
0.2,0.7973577235772358,0.7814741035856574
0.2,0.7976913730255164,0.7818578801111552
0.2,0.7774573419850997,0.7592114527106313
0.2,0.7925268373245252,0.7764967637540453
0.2,0.7988031366075113,0.7826526486049333
0.2,0.79962740633409235,0.7834110728047049
0.2,0.7906976744186046,0.7741800710256946
0.2,0.49184149184149184,0.4593613933236575
0.2,0.7995522995522996,0.7836059034702832
0.2,0.7933417085427136,0.7770713699753896
0.2,0.8012989648873554,0.7853590610702208
0.2,0.7447211694639957,0.7250922509225092
0.2,0.8003290150113099,0.7842031029619182
0.2,0.7924045231491359,0.7758512638395655
0.2,0.7980165958308035,0.7821860741916287
0.2,0.7637614678899083,0.7424749163879598
0.2,0.780388612742883,0.7631462660185594
0.2,0.7696182396606575,0.74974173553719
0.2,0.7958887043189369,0.7796989422294548
0.2,0.7944606413994169,0.7782537739698082
0.2,0.7375478927203065,0.7147277227722773
0.2,0.8049717057396928,0.7890253565768621
0.2,0.7830937567045698,0.7666456626759084
0.2,0.7959270258803564,0.7793934358122144
0.2,0.7987919183503437,0.7824933687002652
0.2,0.8029656713386146,0.7869798924945252
0.2,0.7511520737327189,0.7313275270519927
0.2,0.7990430622009569,0.7827593234155288
0.2,0.7995811518324607,0.7831794871794872
0.2,0.7912799481977121,0.7745615888442848
0.2,0.7792038285838591,0.7626144347455823
0.2,0.7995100040832993,0.7835134053621449
0.2,0.8004900959771288,0.7844706824094456
0.2,0.7990295188030732,0.7831946095917558
0.2,0.7962962962962963,0.7795109612141653
0.2,0.7950363714163458,0.7783829074151655
0.2,0.8025968756340028,0.7866375024855836
0.2,0.7796683178979108,0.7632300231920726
0.2,0.7989084802686818,0.782483552631579
0.2,0.7969863571574017,0.7810816204350429
0.2,0.7860917353625027,0.7698199130614779
0.2,0.7769571639586411,0.7609010126059104
0.2,0.7862397230636088,0.7695891571368064
0.2,0.791157294213529,0.7753594249201278
0.2,0.7364005412719892,0.71699604743083
0.2,0.5674974039460021,0.5405539070227497
0.2,0.8038064385503139,0.7878547330819607
0.2,0.7727377921777366,0.7552589911784664
0.2,0.7838455149501661,0.7679007323026851
0.2,0.7800365463682046,0.7626172398392139
0.2,0.7764904658460053,0.758189959934009
0.2,0.7910232653901585,0.7750655638491023
0.2,0.4943212547322877,0.4699228791773779
0.2,0.7401986408782018,0.7213448802852777
0.2,0.8042285017279935,0.7882048216776251
0.2,0.7906215921483097,0.7737459978655283
0.2,0.8055555555555556,0.7895468998410174
0.2,0.7971464019851117,0.7809967585089141
0.2,0.7263803680981595,0.7047619047619048
0.2,0.7907284768211921,0.7736501079913607
0.2,0.7979942693409742,0.7819895707982351
0.2,0.7799646174259177,0.7630895716140199
0.2,0.7969703345255628,0.7805481145683083
0.2,0.7545232273838631,0.7365155131264917
0.2,0.7993775933609959,0.783130081300813
0.2,0.7910024022712383,0.7740970292797607
0.2,0.8003296929734185,0.7841712093680597
0.2,0.8033258057893656,0.7871655602494468
0.2,0.8038025889967637,0.7878667724028549
0.2,0.7978256324482542,0.7814867909072292
0.2,0.7710760795065114,0.7538530265802993
0.2,0.7481232202951075,0.7292455210698966
0.2,0.7956431535269709,0.7794715447154471
0.2,0.7715758798475678,0.7546590659942995
0.2,0.800369685767098,0.7842624270476957
0.2,0.7895413630518645,0.7729752412924885
0.2,0.685271876125315,0.6614529023288147
0.2,0.7870182555780934,0.7713717693836978
0.2,0.8002891367203635,0.7840955078915419
0.2,0.7938165438165438,0.7778892455858748
0.2,0.8035966861992322,0.7876807288571994
0.2,0.7833468067906225,0.7678288431061807
0.2,0.8016210739614995,0.785700099304866
0.2,0.7865788914843916,0.7702224994801414
0.2,0.8062487319943193,0.7902167428912309
0.2,0.797167846730529,0.780905752753978
0.2,0.8010288065843622,0.7848790322580645
0.2,0.8011827079934747,0.785171862509992
