run,rho,method,NMI_scores
100,0.5,wt,0.8069522302682625
100,0.5,wt2,0.8069522302682625
100,0.5,l,0.8069522302682625
100,0.5,l2,0.8069522302682625
100,0.5,fg,0.8069522302682625
100,0.5,fg2,0.8069522302682625
100,0.5,eb,0
100,0.5,eb2,0.3477238563404834
100,0.5,im,0
100,0.5,im2,0
100,0.5,lp,0
100,0.5,lp2,0
100,0.5,le,0.8805936910068246
100,0.5,le2,0.8389064116998226
100,0.5,sl,0.8069522302682625
100,0.5,sl2,0.812105225278352
99,0.5,wt,0.8128083241947753
99,0.5,wt2,0.8128083241947753
99,0.5,l,0.828101063366703
99,0.5,l2,0.8128083241947753
99,0.5,fg,0.5247075916098736
99,0.5,fg2,0.8128083241947753
99,0.5,eb,0
99,0.5,eb2,0.3510809552114068
99,0.5,im,0
99,0.5,im2,0
99,0.5,lp,0
99,0.5,lp2,0
99,0.5,le,0.6161279219425401
99,0.5,le2,0.7720033922888441
99,0.5,sl,0.8209623725095644
99,0.5,sl2,0.8128083241947753
98,0.5,wt,1
98,0.5,wt2,1
98,0.5,l,1
98,0.5,l2,1
98,0.5,fg,1
98,0.5,fg2,1
98,0.5,eb,0
98,0.5,eb2,0.34861139331638624
98,0.5,im,0
98,0.5,im2,0
98,0.5,lp,0
98,0.5,lp2,0
98,0.5,le,0.8547273185911737
98,0.5,le2,0.7804353675256891
98,0.5,sl,1
98,0.5,sl2,1
97,0.5,wt,0.8285472948107623
97,0.5,wt2,0.8285472948107623
97,0.5,l,0.8285472948107623
97,0.5,l2,0.8285472948107623
97,0.5,fg,0.6172264174247878
97,0.5,fg2,0.844569495064577
97,0.5,eb,0
97,0.5,eb2,0
97,0.5,im,0
97,0.5,im2,0
97,0.5,lp,0
97,0.5,lp2,0
97,0.5,le,0.8032673019630573
97,0.5,le2,0.7767084043595567
97,0.5,sl,0.8489760048593401
97,0.5,sl2,0.8336188865595198
96,0.5,wt,1
96,0.5,wt2,1
96,0.5,l,1
96,0.5,l2,1
96,0.5,fg,1
96,0.5,fg2,1
96,0.5,eb,0
96,0.5,eb2,0.36769603431604664
96,0.5,im,0
96,0.5,im2,0
96,0.5,lp,0
96,0.5,lp2,0
96,0.5,le,0.839521927180201
96,0.5,le2,0.8970836462803428
96,0.5,sl,1
96,0.5,sl2,0.8444074163927326
95,0.5,wt,0.5776756638464776
95,0.5,wt2,0.8323438816853135
95,0.5,l,0.6038644078110056
95,0.5,l2,0.6038644078110056
95,0.5,fg,0.6038644078110056
95,0.5,fg2,0.8323438816853135
95,0.5,eb,0
95,0.5,eb2,0
95,0.5,im,0
95,0.5,im2,0
95,0.5,lp,0
95,0.5,lp2,0
95,0.5,le,0.8361844898042957
95,0.5,le2,0.8445764516134464
95,0.5,sl,0.8362697814098531
95,0.5,sl2,0.8323438816853135
94,0.5,wt,0.838287869588248
94,0.5,wt2,0.838287869588248
94,0.5,l,0.838287869588248
94,0.5,l2,0.838287869588248
94,0.5,fg,0.838287869588248
94,0.5,fg2,0.838287869588248
94,0.5,eb,0
94,0.5,eb2,0.35062362623038446
94,0.5,im,0
94,0.5,im2,0
94,0.5,lp,0
94,0.5,lp2,0
94,0.5,le,0.7982165286360375
94,0.5,le2,0.8453737624160454
94,0.5,sl,0.8417663949840422
94,0.5,sl2,0.838287869588248
93,0.5,wt,0.8394868792354571
93,0.5,wt2,0.8394868792354571
93,0.5,l,0.8193502725834054
93,0.5,l2,0.9735442319100868
93,0.5,fg,0.8193502725834054
93,0.5,fg2,0.9735442319100868
93,0.5,eb,0
93,0.5,eb2,0.3406852502657536
93,0.5,im,0
93,0.5,im2,0
93,0.5,lp,0
93,0.5,lp2,0
93,0.5,le,0.7656862749864829
93,0.5,le2,0.8196823038531708
93,0.5,sl,0.8423366666265151
93,0.5,sl2,0.81640364913065
92,0.5,wt,0.8108910870017348
92,0.5,wt2,0.8108910870017348
92,0.5,l,0.5921991129231173
92,0.5,l2,0.8108910870017348
92,0.5,fg,0.5921991129231173
92,0.5,fg2,0.8108910870017348
92,0.5,eb,0
92,0.5,eb2,0
92,0.5,im,0
92,0.5,im2,0
92,0.5,lp,0
92,0.5,lp2,0
92,0.5,le,0.6705311570595047
92,0.5,le2,0.6982519259073029
92,0.5,sl,0.5921991129231173
92,0.5,sl2,0.6071280628094211
91,0.5,wt,1
91,0.5,wt2,1
91,0.5,l,1
91,0.5,l2,1
91,0.5,fg,1
91,0.5,fg2,1
91,0.5,eb,0
91,0.5,eb2,0.36262583064186715
91,0.5,im,0
91,0.5,im2,0
91,0.5,lp,0
91,0.5,lp2,0
91,0.5,le,0.7200805555621109
91,0.5,le2,0.7684441454196226
91,0.5,sl,0.9745738079566383
91,0.5,sl2,1
90,0.5,wt,0.8238125614592045
90,0.5,wt2,0.8238125614592045
90,0.5,l,0.7758978041168572
90,0.5,l2,0.8238125614592045
90,0.5,fg,0.8238125614592045
90,0.5,fg2,0.8011838269911423
90,0.5,eb,0
90,0.5,eb2,0
90,0.5,im,0
90,0.5,im2,0
90,0.5,lp,0
90,0.5,lp2,0
90,0.5,le,NA
90,0.5,le2,0.8093732582645893
90,0.5,sl,0.8238125614592045
90,0.5,sl2,0.8238125614592045
89,0.5,wt,0.8492957755302755
89,0.5,wt2,0.8492957755302755
89,0.5,l,0.8492957755302755
89,0.5,l2,1
89,0.5,fg,0.8492957755302755
89,0.5,fg2,1
89,0.5,eb,0
89,0.5,eb2,0.36916698098073697
89,0.5,im,0
89,0.5,im2,0
89,0.5,lp,0
89,0.5,lp2,0
89,0.5,le,0.8302490961108122
89,0.5,le2,0.7835791200870553
89,0.5,sl,0.8492957755302755
89,0.5,sl2,0.852893614194735
88,0.5,wt,1
88,0.5,wt2,1
88,0.5,l,1
88,0.5,l2,1
88,0.5,fg,1
88,0.5,fg2,1
88,0.5,eb,0
88,0.5,eb2,0.3790950414086132
88,0.5,im,0
88,0.5,im2,0
88,0.5,lp,0
88,0.5,lp2,0.8156394736376344
88,0.5,le,0.9755020524832709
88,0.5,le2,1
88,0.5,sl,1
88,0.5,sl2,0.9757994793152713
87,0.5,wt,0.8184340014884801
87,0.5,wt2,0.5974779519093746
87,0.5,l,0.7983995892648014
87,0.5,l2,0.778871679903343
87,0.5,fg,0.5604039829981212
87,0.5,fg2,0.778871679903343
87,0.5,eb,0
87,0.5,eb2,0
87,0.5,im,0
87,0.5,im2,0
87,0.5,lp,0
87,0.5,lp2,0
87,0.5,le,0.7971671510724604
87,0.5,le2,0.8076306962115533
87,0.5,sl,0.5604039829981212
87,0.5,sl2,0.5673678277408151
86,0.5,wt,0.8057850621310038
86,0.5,wt2,0.8057850621310038
86,0.5,l,0.8318399389707801
86,0.5,l2,0.8099709102692351
86,0.5,fg,0.5673124133882372
86,0.5,fg2,0.8057850621310038
86,0.5,eb,0
86,0.5,eb2,0
86,0.5,im,0
86,0.5,im2,0
86,0.5,lp,0
86,0.5,lp2,0
86,0.5,le,0.7576484728614182
86,0.5,le2,0.6745453060563019
86,0.5,sl,0.8106270286256844
86,0.5,sl2,0.8106270286256844
85,0.5,wt,0.8315644820740767
85,0.5,wt2,0.8315644820740767
85,0.5,l,0.8315644820740767
85,0.5,l2,0.8315644820740767
85,0.5,fg,0.8315644820740767
85,0.5,fg2,0.811341635800344
85,0.5,eb,0
85,0.5,eb2,0.34911925669736066
85,0.5,im,0
85,0.5,im2,0
85,0.5,lp,0
85,0.5,lp2,0
