run,alpha,method,accuracies
983,0.7,fg,0.54
983,0.7,fg2,0.78
983,0.7,eb,0.26
983,0.7,eb2,0.98
983,0.7,im,0.26
983,0.7,im2,0.26
983,0.7,lp,0.26
983,0.7,lp2,1
983,0.7,sl,0.66
983,0.7,sl2,0.54
982,0.7,wt,0.34
982,0.7,wt2,0.36
982,0.7,l,0.7
982,0.7,l2,0.82
982,0.7,fg,0.42
982,0.7,fg2,0.72
982,0.7,eb,0.28
982,0.7,eb2,0.9
982,0.7,im,0.28
982,0.7,im2,0.28
982,0.7,lp,0.28
982,0.7,lp2,1
982,0.7,sl,0.66
982,0.7,sl2,0.66
981,0.7,wt,0.72
981,0.7,wt2,0.42
981,0.7,l,0.74
981,0.7,l2,0.88
981,0.7,fg,0.52
981,0.7,fg2,0.88
981,0.7,eb,0.26
981,0.7,eb2,0.88
981,0.7,im,0.26
981,0.7,im2,0.26
981,0.7,lp,0.26
981,0.7,lp2,1
981,0.7,sl,0.74
981,0.7,sl2,0.74
980,0.7,wt,0.84
980,0.7,wt2,0.42
980,0.7,l,0.84
980,0.7,l2,0.96
980,0.7,fg,0.58
980,0.7,fg2,0.9
980,0.7,eb,0.28
980,0.7,eb2,0.96
980,0.7,im,0.28
980,0.7,im2,0.28
980,0.7,lp,0.28
980,0.7,lp2,1
980,0.7,sl,0.84
980,0.7,sl2,0.86
979,0.7,wt,0.58
979,0.7,wt2,0.42
979,0.7,l,0.98
979,0.7,l2,0.98
979,0.7,fg,0.72
979,0.7,fg2,0.96
979,0.7,eb,0.26
979,0.7,eb2,1
979,0.7,im,0.26
979,0.7,im2,0.26
979,0.7,lp,0.26
979,0.7,lp2,1
979,0.7,sl,0.98
979,0.7,sl2,0.98
978,0.7,wt,0.68
978,0.7,wt2,0.44
978,0.7,l,0.64
978,0.7,l2,0.76
978,0.7,fg,0.72
978,0.7,fg2,0.7
978,0.7,eb,0.28
978,0.7,eb2,0.76
978,0.7,im,0.28
978,0.7,im2,0.28
978,0.7,lp,0.28
978,0.7,lp2,0.28
978,0.7,sl,0.66
978,0.7,sl2,0.66
977,0.7,wt,0.76
977,0.7,wt2,0.66
977,0.7,l,1
977,0.7,l2,0.98
977,0.7,fg,0.86
977,0.7,fg2,0.94
977,0.7,eb,0.28
977,0.7,eb2,0.86
977,0.7,im,0.28
977,0.7,im2,0.28
977,0.7,lp,0.28
977,0.7,lp2,1
977,0.7,sl,0.98
977,0.7,sl2,0.98
976,0.7,wt,0.5
976,0.7,wt2,0.42
976,0.7,l,0.8
976,0.7,l2,0.98
976,0.7,fg,0.66
976,0.7,fg2,0.98
976,0.7,eb,0.22
976,0.7,eb2,0.9
976,0.7,im,0.22
976,0.7,im2,0.22
976,0.7,lp,0.22
976,0.7,lp2,1
976,0.7,sl,0.8
976,0.7,sl2,0.8
975,0.7,wt,0.94
975,0.7,wt2,0.44
975,0.7,l,0.88
975,0.7,l2,0.92
975,0.7,fg,0.58
975,0.7,fg2,0.92
975,0.7,eb,0.26
975,0.7,eb2,0.94
975,0.7,im,0.26
975,0.7,im2,0.26
975,0.7,lp,0.26
975,0.7,lp2,1
975,0.7,sl,0.9
975,0.7,sl2,0.94
974,0.7,wt,0.44
974,0.7,wt2,0.44
974,0.7,l,0.7
974,0.7,l2,0.84
974,0.7,fg,0.42
974,0.7,fg2,0.82
974,0.7,eb,0.26
974,0.7,eb2,0.86
974,0.7,im,0.26
974,0.7,im2,0.26
974,0.7,lp,0.26
974,0.7,lp2,1
974,0.7,sl,0.74
974,0.7,sl2,0.72
973,0.7,wt,0.74
973,0.7,wt2,0.56
973,0.7,l,0.74
973,0.7,l2,0.96
973,0.7,fg,0.54
973,0.7,fg2,0.72
973,0.7,eb,0.24
973,0.7,eb2,1
973,0.7,im,0.24
973,0.7,im2,0.24
973,0.7,lp,0.24
973,0.7,lp2,0.24
973,0.7,sl,0.74
973,0.7,sl2,0.74
972,0.7,wt,0.72
972,0.7,wt2,0.38
972,0.7,l,0.84
972,0.7,l2,0.92
972,0.7,fg,0.6
972,0.7,fg2,0.82
972,0.7,eb,0.28
972,0.7,eb2,0.84
972,0.7,im,0.28
972,0.7,im2,0.28
972,0.7,lp,0.28
972,0.7,lp2,0.28
972,0.7,sl,0.82
972,0.7,sl2,0.84
971,0.7,wt,0.88
971,0.7,wt2,0.64
971,0.7,l,0.76
971,0.7,l2,0.88
