run,alpha,method,accuracies,c_count
84,0.4,wt2,1,5
84,0.4,l,1,5
84,0.4,l2,1,5
84,0.4,fg,1,5
84,0.4,fg2,1,5
84,0.4,eb,0.62,23
84,0.4,eb2,0.62,23
84,0.4,im,0.22,1
84,0.4,im2,0.22,1
84,0.4,lp,1,5
84,0.4,lp2,0.4,2
84,0.4,sl,1,5
84,0.4,sl2,1,5
83,0.4,wt,1,5
83,0.4,wt2,1,5
83,0.4,l,1,5
83,0.4,l2,1,5
83,0.4,fg,0.86,4
83,0.4,fg2,0.98,5
83,0.4,eb,0.68,12
83,0.4,eb2,0.82,21
83,0.4,im,0.3,1
83,0.4,im2,0.3,1
83,0.4,lp,0.3,1
83,0.4,lp2,0.3,1
83,0.4,sl,1,5
83,0.4,sl2,1,6
82,0.4,wt,1,5
82,0.4,wt2,1,5
82,0.4,l,1,5
82,0.4,l2,1,5
82,0.4,fg,0.96,5
82,0.4,fg2,1,5
82,0.4,eb,0.76,32
82,0.4,eb2,0.78,33
82,0.4,im,0.26,1
82,0.4,im2,0.26,1
82,0.4,lp,0.26,1
82,0.4,lp2,0.26,1
82,0.4,sl,1,5
82,0.4,sl2,1,6
81,0.4,wt,1,5
81,0.4,wt2,1,5
81,0.4,l,1,5
81,0.4,l2,1,5
81,0.4,fg,1,5
81,0.4,fg2,1,5
81,0.4,eb,0.64,26
81,0.4,eb2,0.64,26
81,0.4,im,0.24,1
81,0.4,im2,0.24,1
81,0.4,lp,0.24,1
81,0.4,lp2,0.24,1
81,0.4,sl,1,5
81,0.4,sl2,1,6
80,0.4,wt,1,5
80,0.4,wt2,1,5
80,0.4,l,1,5
80,0.4,l2,1,5
80,0.4,fg,1,5
80,0.4,fg2,1,5
80,0.4,eb,0.68,24
80,0.4,eb2,0.84,33
80,0.4,im,0.28,1
80,0.4,im2,0.28,1
80,0.4,lp,0.28,1
80,0.4,lp2,0.28,1
80,0.4,sl,1,5
80,0.4,sl2,1,5
79,0.4,wt,0.72,3
79,0.4,wt2,0.72,3
79,0.4,l,0.92,4
79,0.4,l2,0.92,4
79,0.4,fg,0.9,4
79,0.4,fg2,0.9,4
79,0.4,eb,0.86,27
79,0.4,eb2,0.9,31
79,0.4,im,0.26,1
79,0.4,im2,0.26,1
79,0.4,lp,0.26,1
79,0.4,lp2,0.26,1
79,0.4,sl,0.92,4
79,0.4,sl2,0.94,4
78,0.4,wt,1,5
78,0.4,wt2,1,5
78,0.4,l,1,5
78,0.4,l2,1,5
78,0.4,fg,1,5
78,0.4,fg2,1,5
78,0.4,eb,0.62,16
78,0.4,eb2,0.62,16
78,0.4,im,0.28,1
78,0.4,im2,0.28,1
78,0.4,lp,0.28,1
78,0.4,lp2,0.28,1
78,0.4,sl,1,5
78,0.4,sl2,1,5
77,0.4,wt,1,5
77,0.4,wt2,1,5
77,0.4,l,1,5
77,0.4,l2,1,5
77,0.4,fg,1,5
77,0.4,fg2,1,5
77,0.4,eb,0.68,19
77,0.4,eb2,0.7,20
77,0.4,im,0.26,1
77,0.4,im2,0.26,1
77,0.4,lp,1,5
77,0.4,lp2,0.26,1
77,0.4,sl,1,5
77,0.4,sl2,1,5
76,0.4,wt,1,5
76,0.4,wt2,1,5
76,0.4,l,1,5
76,0.4,l2,1,5
76,0.4,fg,1,5
76,0.4,fg2,1,5
76,0.4,eb,0.86,33
76,0.4,eb2,0.86,33
76,0.4,im,0.28,1
76,0.4,im2,0.28,1
76,0.4,lp,1,5
76,0.4,lp2,0.28,1
76,0.4,sl,1,6
76,0.4,sl2,1,5
75,0.4,wt,1,5
75,0.4,wt2,1,5
75,0.4,l,1,5
75,0.4,l2,1,5
75,0.4,fg,1,5
75,0.4,fg2,1,5
75,0.4,eb,0.24,1
75,0.4,eb2,0.88,37
75,0.4,im,0.24,1
75,0.4,im2,0.24,1
75,0.4,lp,1,5
75,0.4,lp2,0.24,1
75,0.4,sl,1,6
75,0.4,sl2,1,5
74,0.4,wt,1,5
74,0.4,wt2,1,5
74,0.4,l,1,5
74,0.4,l2,1,5
74,0.4,fg,1,5
74,0.4,fg2,1,5
74,0.4,eb,0.6,20
74,0.4,eb2,0.88,35
74,0.4,im,0.28,1
74,0.4,im2,0.28,1
74,0.4,lp,1,5
74,0.4,lp2,0.28,1
74,0.4,sl,1,6
74,0.4,sl2,1,5
73,0.4,wt,0.98,5
73,0.4,wt2,0.98,5
73,0.4,l,1,5
73,0.4,l2,1,5
73,0.4,fg,0.96,5
73,0.4,fg2,0.96,5
73,0.4,eb,0.78,31
73,0.4,eb2,0.78,31
73,0.4,im,0.26,1
73,0.4,im2,0.26,1
73,0.4,lp,0.26,1
73,0.4,lp2,0.26,1
73,0.4,sl,1,5
73,0.4,sl2,1,5
72,0.4,wt,1,5
72,0.4,wt2,1,5
72,0.4,l,1,5
72,0.4,l2,1,5
72,0.4,fg,0.98,5
72,0.4,fg2,1,5
72,0.4,eb,0.36,8
72,0.4,eb2,0.9,39
72,0.4,im,0.26,1
72,0.4,im2,0.26,1
72,0.4,lp,0.26,1
72,0.4,lp2,0.26,1
72,0.4,sl,1,6
72,0.4,sl2,1,5
71,0.4,wt,1,5
71,0.4,wt2,1,5
71,0.4,l,1,5
71,0.4,l2,1,5
71,0.4,fg,0.98,5
71,0.4,fg2,1,5
71,0.4,eb,0.54,17
71,0.4,eb2,0.8,29
71,0.4,im,0.26,1
71,0.4,im2,0.26,1
71,0.4,lp,0.9,4
71,0.4,lp2,0.78,4
71,0.4,sl,1,5
71,0.4,sl2,1,5
70,0.4,wt,1,5
70,0.4,wt2,1,5
70,0.4,l,1,5
70,0.4,l2,1,5
70,0.4,fg,0.94,5
70,0.4,fg2,0.98,5
70,0.4,eb,0.8,25
70,0.4,eb2,0.8,25
70,0.4,im,0.34,1
70,0.4,im2,0.34,1
70,0.4,lp,0.34,1
70,0.4,lp2,0.34,1
70,0.4,sl,1,5
70,0.4,sl2,0.98,5
69,0.4,wt,1,5
69,0.4,wt2,1,5
69,0.4,l,0.98,5
69,0.4,l2,0.98,5
69,0.4,fg,0.96,5
69,0.4,fg2,0.98,5
69,0.4,eb,0.62,26
69,0.4,eb2,0.76,34
69,0.4,im,0.24,1
69,0.4,im2,0.24,1
69,0.4,lp,0.8,4
69,0.4,lp2,0.24,1
69,0.4,sl,1,5
69,0.4,sl2,0.98,5
68,0.4,wt,1,5
68,0.4,wt2,1,5
68,0.4,l,1,5
68,0.4,l2,1,5
68,0.4,fg,1,5
68,0.4,fg2,1,5
68,0.4,eb,0.76,29
68,0.4,eb2,0.76,29
68,0.4,im,0.28,1
68,0.4,im2,0.28,1
68,0.4,lp,1,5
68,0.4,lp2,0.28,1
68,0.4,sl,1,6
68,0.4,sl2,1,5
67,0.4,wt,1,5
67,0.4,wt2,1,5
67,0.4,l,1,5
67,0.4,l2,1,5
67,0.4,fg,1,5
67,0.4,fg2,1,5
67,0.4,eb,0.28,3
67,0.4,eb2,0.84,34
67,0.4,im,0.24,1
67,0.4,im2,0.24,1
67,0.4,lp,0.24,1
67,0.4,lp2,0.92,5
67,0.4,sl,1,6
67,0.4,sl2,1,5
66,0.4,wt,1,5
66,0.4,wt2,1,5
66,0.4,l,1,5
66,0.4,l2,1,5
66,0.4,fg,1,5
66,0.4,fg2,1,5
66,0.4,eb,0.58,23
66,0.4,eb2,0.7,28
66,0.4,im,0.26,1
66,0.4,im2,0.26,1
66,0.4,lp,0.26,1
66,0.4,lp2,0.5,3
66,0.4,sl,1,5
66,0.4,sl2,1,7
65,0.4,wt,1,5
65,0.4,wt2,1,5
65,0.4,l,1,5
65,0.4,l2,1,5
65,0.4,fg,0.84,4
65,0.4,fg2,0.96,5
65,0.4,eb,0.36,1
65,0.4,eb2,0.98,46
65,0.4,im,0.36,1
65,0.4,im2,0.36,1
65,0.4,lp,0.84,4
65,0.4,lp2,0.84,4
65,0.4,sl,1,6
65,0.4,sl2,0.98,5
64,0.4,wt,1,5
64,0.4,wt2,1,5
64,0.4,l,1,5
64,0.4,l2,1,5
64,0.4,fg,0.92,5
64,0.4,fg2,0.98,5
64,0.4,eb,0.72,23
64,0.4,eb2,0.8,25
64,0.4,im,0.28,1
64,0.4,im2,0.28,1
64,0.4,lp,0.28,1
64,0.4,lp2,0.28,1
64,0.4,sl,1,6
64,0.4,sl2,1,6
63,0.4,wt,1,5
63,0.4,wt2,1,5
63,0.4,l,1,5
63,0.4,l2,1,5
63,0.4,fg,0.98,5
63,0.4,fg2,0.98,5
63,0.4,eb,0.38,10
63,0.4,eb2,0.68,28
63,0.4,im,0.22,1
63,0.4,im2,0.22,1
63,0.4,lp,0.6,3
63,0.4,lp2,0.22,1
63,0.4,sl,1,5
63,0.4,sl2,1,5
62,0.4,wt,1,5
62,0.4,wt2,1,5
62,0.4,l,1,5
62,0.4,l2,1,5
62,0.4,fg,0.98,5
62,0.4,fg2,0.98,5
62,0.4,eb,0.34,8
62,0.4,eb2,1,50
62,0.4,im,0.28,1
62,0.4,im2,0.28,1
62,0.4,lp,0.28,1
62,0.4,lp2,0.46,2
62,0.4,sl,0.98,5
62,0.4,sl2,1,5
61,0.4,wt,1,5
61,0.4,wt2,1,5
61,0.4,l,1,5
61,0.4,l2,1,5
61,0.4,fg,1,5
61,0.4,fg2,1,5
61,0.4,eb,0.56,19
61,0.4,eb2,0.92,40
61,0.4,im,0.22,1
61,0.4,im2,0.22,1
61,0.4,lp,0.22,1
61,0.4,lp2,0.4,2
61,0.4,sl,1,5
61,0.4,sl2,1,5
60,0.4,wt,1,5
60,0.4,wt2,1,5
60,0.4,l,1,5
60,0.4,l2,1,5
60,0.4,fg,0.98,5
60,0.4,fg2,1,5
60,0.4,eb,0.66,21
60,0.4,eb2,0.94,35
60,0.4,im,0.28,1
60,0.4,im2,0.28,1
60,0.4,lp,0.28,1
60,0.4,lp2,0.28,1
60,0.4,sl,1,5
60,0.4,sl2,1,5
59,0.4,wt,1,5
59,0.4,wt2,1,5
59,0.4,l,1,5
59,0.4,l2,1,5
59,0.4,fg,1,5
59,0.4,fg2,1,5
59,0.4,eb,0.26,1
59,0.4,eb2,0.8,33
59,0.4,im,0.26,1
59,0.4,im2,0.26,1
59,0.4,lp,1,5
59,0.4,lp2,0.82,4
59,0.4,sl,1,5
59,0.4,sl2,1,6
58,0.4,wt,1,5
58,0.4,wt2,1,5
58,0.4,l,1,5
58,0.4,l2,1,5
58,0.4,fg,1,5
58,0.4,fg2,1,5
58,0.4,eb,0.52,19
58,0.4,eb2,0.72,29
58,0.4,im,0.24,1
58,0.4,im2,0.24,1
58,0.4,lp,0.24,1
58,0.4,lp2,0.24,1
58,0.4,sl,1,6
58,0.4,sl2,1,5
57,0.4,wt,1,5
57,0.4,wt2,1,5
57,0.4,l,1,5
57,0.4,l2,1,5
57,0.4,fg,1,5
57,0.4,fg2,1,5
57,0.4,eb,0.68,25
57,0.4,eb2,0.82,34
57,0.4,im,0.24,1
57,0.4,im2,0.24,1
57,0.4,lp,0.24,1
57,0.4,lp2,0.24,1
57,0.4,sl,1,5
57,0.4,sl2,1,5
56,0.4,wt,1,5
56,0.4,wt2,1,5
56,0.4,l,1,5
56,0.4,l2,1,5
56,0.4,fg,0.98,5
56,0.4,fg2,1,5
56,0.4,eb,0.62,25
56,0.4,eb2,0.62,25
56,0.4,im,0.24,1
56,0.4,im2,0.24,1
56,0.4,lp,1,5
56,0.4,lp2,0.8,4
56,0.4,sl,0.98,5
56,0.4,sl2,1,5
55,0.4,wt,1,5
55,0.4,wt2,1,5
55,0.4,l,1,5
55,0.4,l2,1,5
55,0.4,fg,1,5
55,0.4,fg2,1,5
55,0.4,eb,0.86,32
55,0.4,eb2,0.86,32
55,0.4,im,0.26,1
55,0.4,im2,0.26,1
55,0.4,lp,0.76,4
55,0.4,lp2,0.26,1
55,0.4,sl,1,5
55,0.4,sl2,1,5
54,0.4,wt,1,5
54,0.4,wt2,1,5
54,0.4,l,1,5
54,0.4,l2,1,5
54,0.4,fg,1,5
54,0.4,fg2,1,5
54,0.4,eb,0.58,19
54,0.4,eb2,0.74,29
54,0.4,im,0.24,1
54,0.4,im2,0.24,1
54,0.4,lp,1,5
54,0.4,lp2,0.82,4
54,0.4,sl,1,6
54,0.4,sl2,1,5
53,0.4,wt,1,5
53,0.4,wt2,1,5
53,0.4,l,1,5
53,0.4,l2,1,5
53,0.4,fg,1,5
53,0.4,fg2,1,5
53,0.4,eb,0.86,32
53,0.4,eb2,0.86,32
53,0.4,im,0.24,1
53,0.4,im2,0.24,1
53,0.4,lp,1,5
53,0.4,lp2,0.64,3
53,0.4,sl,1,6
53,0.4,sl2,1,5
52,0.4,wt,0.74,4
52,0.4,wt2,0.74,4
52,0.4,l,1,5
52,0.4,l2,1,5
52,0.4,fg,0.96,5
52,0.4,fg2,1,5
52,0.4,eb,0.8,26
52,0.4,eb2,0.8,26
52,0.4,im,0.32,1
52,0.4,im2,0.32,1
52,0.4,lp,0.32,1
52,0.4,lp2,0.32,1
52,0.4,sl,1,5
52,0.4,sl2,1,5
51,0.4,wt,0.78,4
51,0.4,wt2,1,5
51,0.4,l,0.98,5
51,0.4,l2,1,5
51,0.4,fg,0.84,4
51,0.4,fg2,0.9,5
51,0.4,eb,0.6,13
51,0.4,eb2,0.7,16
51,0.4,im,0.28,1
51,0.4,im2,0.28,1
51,0.4,lp,0.28,1
51,0.4,lp2,0.28,1
51,0.4,sl,0.98,5
51,0.4,sl2,0.98,5
50,0.4,wt,1,5
50,0.4,wt2,1,5
50,0.4,l,1,5
50,0.4,l2,1,5
50,0.4,fg,1,5
50,0.4,fg2,1,5
50,0.4,eb,0.32,1
50,0.4,eb2,0.7,29
50,0.4,im,0.32,1
50,0.4,im2,0.32,1
50,0.4,lp,0.32,1
50,0.4,lp2,0.32,1
50,0.4,sl,1,6
50,0.4,sl2,1,5
49,0.4,wt,1,5
49,0.4,wt2,1,5
49,0.4,l,1,5
49,0.4,l2,1,5
49,0.4,fg,1,5
49,0.4,fg2,1,5
49,0.4,eb,0.98,40
49,0.4,eb2,0.98,40
49,0.4,im,0.24,1
49,0.4,im2,0.24,1
49,0.4,lp,0.24,1
49,0.4,lp2,0.24,1
49,0.4,sl,1,6
49,0.4,sl2,1,5
48,0.4,wt,1,5
48,0.4,wt2,1,5
48,0.4,l,1,5
48,0.4,l2,1,5
48,0.4,fg,1,5
48,0.4,fg2,1,5
48,0.4,eb,0.7,25
48,0.4,eb2,0.72,27
48,0.4,im,0.28,1
48,0.4,im2,0.28,1
48,0.4,lp,0.28,1
48,0.4,lp2,0.28,1
48,0.4,sl,1,5
48,0.4,sl2,1,5
47,0.4,wt,1,5
47,0.4,wt2,1,5
47,0.4,l,1,5
47,0.4,l2,1,5
47,0.4,fg,1,5
47,0.4,fg2,1,5
47,0.4,eb,0.94,32
47,0.4,eb2,0.94,32
47,0.4,im,0.28,1
47,0.4,im2,0.28,1
47,0.4,lp,0.28,1
47,0.4,lp2,1,5
47,0.4,sl,1,5
47,0.4,sl2,1,5
46,0.4,wt,1,5
46,0.4,wt2,1,5
46,0.4,l,1,5
46,0.4,l2,1,5
46,0.4,fg,0.98,5
46,0.4,fg2,0.98,5
46,0.4,eb,0.76,26
46,0.4,eb2,0.94,36
46,0.4,im,0.3,1
46,0.4,im2,0.3,1
46,0.4,lp,0.3,1
46,0.4,lp2,0.3,1
46,0.4,sl,1,6
46,0.4,sl2,1,5
45,0.4,wt,1,5
45,0.4,wt2,1,5
45,0.4,l,1,5
45,0.4,l2,1,5
45,0.4,fg,1,5
45,0.4,fg2,1,5
45,0.4,eb,0.68,27
45,0.4,eb2,0.7,28
45,0.4,im,0.22,1
45,0.4,im2,0.22,1
45,0.4,lp,1,5
45,0.4,lp2,0.22,1
45,0.4,sl,1,6
45,0.4,sl2,1,5
44,0.4,wt,1,5
44,0.4,wt2,1,5
44,0.4,l,1,5
44,0.4,l2,1,5
