run,alpha,method,accuracies
977,0.1,lp,1
977,0.1,lp2,1
977,0.1,sl,1
977,0.1,sl2,1
976,0.1,wt,1
976,0.1,wt2,1
976,0.1,l,1
976,0.1,l2,1
976,0.1,fg,1
976,0.1,fg2,1
976,0.1,eb,0.66
976,0.1,eb2,0.66
976,0.1,im,1
976,0.1,im2,1
976,0.1,lp,1
976,0.1,lp2,1
976,0.1,sl,1
976,0.1,sl2,1
975,0.1,wt,1
975,0.1,wt2,1
975,0.1,l,1
975,0.1,l2,1
975,0.1,fg,1
975,0.1,fg2,1
975,0.1,eb,0.74
975,0.1,eb2,0.74
975,0.1,im,1
975,0.1,im2,1
975,0.1,lp,1
975,0.1,lp2,1
975,0.1,sl,1
975,0.1,sl2,1
974,0.1,wt,1
974,0.1,wt2,1
974,0.1,l,1
974,0.1,l2,1
974,0.1,fg,1
974,0.1,fg2,1
974,0.1,eb,0.46
974,0.1,eb2,0.46
974,0.1,im,1
974,0.1,im2,1
974,0.1,lp,1
974,0.1,lp2,1
974,0.1,sl,1
974,0.1,sl2,1
973,0.1,wt,1
973,0.1,wt2,1
973,0.1,l,1
973,0.1,l2,1
973,0.1,fg,1
973,0.1,fg2,1
973,0.1,eb,0.58
973,0.1,eb2,0.58
973,0.1,im,1
973,0.1,im2,1
973,0.1,lp,1
973,0.1,lp2,1
973,0.1,sl,1
973,0.1,sl2,1
972,0.1,wt,1
972,0.1,wt2,1
972,0.1,l,1
972,0.1,l2,1
972,0.1,fg,1
972,0.1,fg2,1
972,0.1,eb,0.7
972,0.1,eb2,0.68
972,0.1,im,1
972,0.1,im2,1
972,0.1,lp,1
972,0.1,lp2,1
972,0.1,sl,1
972,0.1,sl2,1
971,0.1,wt,1
971,0.1,wt2,1
971,0.1,l,1
971,0.1,l2,1
971,0.1,fg,1
971,0.1,fg2,1
971,0.1,eb,0.62
971,0.1,eb2,0.6
971,0.1,im,1
971,0.1,im2,1
971,0.1,lp,1
971,0.1,lp2,1
971,0.1,sl,1
971,0.1,sl2,1
970,0.1,wt,1
970,0.1,wt2,1
970,0.1,l,1
970,0.1,l2,1
970,0.1,fg,1
970,0.1,fg2,1
970,0.1,eb,0.58
970,0.1,eb2,0.58
970,0.1,im,1
970,0.1,im2,1
970,0.1,lp,1
970,0.1,lp2,1
970,0.1,sl,1
970,0.1,sl2,1
969,0.1,wt,1
969,0.1,wt2,1
969,0.1,l,1
969,0.1,l2,1
969,0.1,fg,1
969,0.1,fg2,1
969,0.1,eb,0.68
969,0.1,eb2,0.68
969,0.1,im,1
969,0.1,im2,1
969,0.1,lp,1
969,0.1,lp2,1
969,0.1,sl,1
969,0.1,sl2,1
968,0.1,wt,1
968,0.1,wt2,1
968,0.1,l,1
968,0.1,l2,1
968,0.1,fg,1
968,0.1,fg2,1
968,0.1,eb,0.5
968,0.1,eb2,0.5
968,0.1,im,1
968,0.1,im2,1
968,0.1,lp,1
968,0.1,lp2,1
968,0.1,sl,1
968,0.1,sl2,1
967,0.1,wt,1
