run,alpha,method,accuracies,c_count
100,0.8,wt,0.4,2
100,0.8,wt2,0.32,1
100,0.8,l,0.54,4
100,0.8,l2,0.66,7
100,0.8,fg,0.36,2
100,0.8,fg2,0.5,5
100,0.8,eb,0.32,1
100,0.8,eb2,0.98,49
100,0.8,im,0.32,1
100,0.8,im2,0.32,1
100,0.8,lp,0.32,1
100,0.8,lp2,1,50
100,0.8,sl,0.44,3
100,0.8,sl2,0.44,3
99,0.8,wt,0.4,2
99,0.8,wt2,0.24,1
99,0.8,l,0.54,3
99,0.8,l2,0.82,5
99,0.8,fg,0.4,2
99,0.8,fg2,0.74,5
99,0.8,eb,0.24,1
99,0.8,eb2,0.96,44
99,0.8,im,0.24,1
99,0.8,im2,0.24,1
99,0.8,lp,0.24,1
99,0.8,lp2,1,50
99,0.8,sl,0.54,3
99,0.8,sl2,0.56,3
98,0.8,wt,0.58,4
98,0.8,wt2,0.22,1
98,0.8,l,0.7,4
98,0.8,l2,0.82,5
98,0.8,fg,0.38,2
98,0.8,fg2,0.74,5
98,0.8,eb,0.22,1
98,0.8,eb2,0.98,49
98,0.8,im,0.22,1
98,0.8,im2,0.22,1
98,0.8,lp,0.22,1
98,0.8,lp2,1,50
98,0.8,sl,0.68,4
98,0.8,sl2,0.52,3
97,0.8,wt,0.66,4
97,0.8,wt2,0.26,1
97,0.8,l,0.52,4
97,0.8,l2,0.56,6
97,0.8,fg,0.48,3
97,0.8,fg2,0.54,6
97,0.8,eb,0.26,1
97,0.8,eb2,0.88,40
97,0.8,im,0.26,1
97,0.8,im2,0.26,1
97,0.8,lp,0.26,1
97,0.8,lp2,1,50
97,0.8,sl,0.52,3
97,0.8,sl2,0.54,3
96,0.8,wt,0.42,3
96,0.8,wt2,0.24,1
96,0.8,l,0.44,3
96,0.8,l2,0.62,6
96,0.8,fg,0.46,3
96,0.8,fg2,0.62,6
96,0.8,eb,0.24,1
96,0.8,eb2,0.96,47
96,0.8,im,0.24,1
96,0.8,im2,0.24,1
96,0.8,lp,0.24,1
96,0.8,lp2,1,50
96,0.8,sl,0.38,2
96,0.8,sl2,0.38,2
95,0.8,wt,0.48,3
95,0.8,wt2,0.3,1
95,0.8,l,0.56,4
95,0.8,l2,0.7,6
95,0.8,fg,0.46,3
95,0.8,fg2,0.62,5
95,0.8,eb,0.3,1
95,0.8,eb2,1,50
95,0.8,im,0.3,1
95,0.8,im2,0.3,1
95,0.8,lp,0.3,1
95,0.8,lp2,1,50
95,0.8,sl,0.42,4
95,0.8,sl2,0.5,4
94,0.8,wt,0.52,3
94,0.8,wt2,0.32,1
94,0.8,l,0.52,3
94,0.8,l2,0.7,6
94,0.8,fg,0.48,3
94,0.8,fg2,0.62,6
94,0.8,eb,0.32,1
94,0.8,eb2,1,49
94,0.8,im,0.32,1
94,0.8,im2,0.32,1
94,0.8,lp,0.32,1
94,0.8,lp2,1,50
94,0.8,sl,0.44,3
94,0.8,sl2,0.46,3
93,0.8,wt,0.5,3
93,0.8,wt2,0.24,1
93,0.8,l,0.58,3
93,0.8,l2,0.74,6
93,0.8,fg,0.5,3
93,0.8,fg2,0.68,5
93,0.8,eb,0.24,1
93,0.8,eb2,0.86,41
93,0.8,im,0.24,1
93,0.8,im2,0.24,1
93,0.8,lp,0.24,1
93,0.8,lp2,1,50
93,0.8,sl,0.64,4
93,0.8,sl2,0.52,3
92,0.8,wt,0.44,2
92,0.8,wt2,0.34,1
92,0.8,l,0.44,3
92,0.8,l2,0.58,6
92,0.8,fg,0.38,2
92,0.8,fg2,0.54,5
92,0.8,eb,0.34,1
92,0.8,eb2,0.92,44
92,0.8,im,0.34,1
92,0.8,im2,0.34,1
92,0.8,lp,0.34,1
92,0.8,lp2,1,50
92,0.8,sl,0.54,3
92,0.8,sl2,0.52,3
91,0.8,wt,0.38,2
91,0.8,wt2,0.24,1
91,0.8,l,0.48,3
91,0.8,l2,0.6,5
91,0.8,fg,0.44,3
91,0.8,fg2,0.64,6
91,0.8,eb,0.24,1
91,0.8,eb2,0.84,37
91,0.8,im,0.24,1
91,0.8,im2,0.24,1
91,0.8,lp,0.24,1
91,0.8,lp2,1,50
91,0.8,sl,0.5,3
91,0.8,sl2,0.48,3
90,0.8,wt,0.38,2
90,0.8,wt2,0.3,1
90,0.8,l,0.56,3
90,0.8,l2,0.72,6
90,0.8,fg,0.54,3
90,0.8,fg2,0.68,6
90,0.8,eb,0.3,1
90,0.8,eb2,1,50
90,0.8,im,0.3,1
90,0.8,im2,0.3,1
90,0.8,lp,0.3,1
90,0.8,lp2,1,50
90,0.8,sl,0.58,3
90,0.8,sl2,0.58,3
89,0.8,wt,0.52,3
89,0.8,wt2,0.28,1
89,0.8,l,0.58,3
89,0.8,l2,0.74,6
89,0.8,fg,0.56,3
89,0.8,fg2,0.62,6
89,0.8,eb,0.28,1
89,0.8,eb2,0.92,44
89,0.8,im,0.28,1
89,0.8,im2,0.28,1
89,0.8,lp,0.28,1
89,0.8,lp2,1,50
89,0.8,sl,0.54,3
89,0.8,sl2,0.58,3
88,0.8,wt,0.46,2
88,0.8,wt2,0.28,1
88,0.8,l,0.5,3
88,0.8,l2,0.82,5
88,0.8,fg,0.44,3
88,0.8,fg2,0.62,7
88,0.8,eb,0.28,1
88,0.8,eb2,0.9,43
88,0.8,im,0.28,1
88,0.8,im2,0.28,1
88,0.8,lp,0.28,1
88,0.8,lp2,1,50
88,0.8,sl,0.5,3
88,0.8,sl2,0.5,3
87,0.8,wt,0.56,3
87,0.8,wt2,0.36,1
87,0.8,l,0.6,4
87,0.8,l2,0.78,7
87,0.8,fg,0.54,3
87,0.8,fg2,0.76,7
87,0.8,eb,0.36,1
87,0.8,eb2,0.94,45
87,0.8,im,0.36,1
87,0.8,im2,0.36,1
87,0.8,lp,0.36,1
