run,alpha,method,accuracies,c_count
84,0.2,lp2,1,5
84,0.2,sl,1,6
84,0.2,sl2,1,5
83,0.2,wt,1,5
83,0.2,wt2,1,5
83,0.2,l,1,5
83,0.2,l2,1,5
83,0.2,fg,1,5
83,0.2,fg2,1,5
83,0.2,eb,0.64,26
83,0.2,eb2,1,48
83,0.2,im,1,5
83,0.2,im2,1,5
83,0.2,lp,0.84,4
83,0.2,lp2,1,5
83,0.2,sl,1,5
83,0.2,sl2,1,5
82,0.2,wt,1,5
82,0.2,wt2,1,5
82,0.2,l,1,5
82,0.2,l2,1,5
82,0.2,fg,1,5
82,0.2,fg2,1,5
82,0.2,eb,0.62,20
82,0.2,eb2,0.62,20
82,0.2,im,1,5
82,0.2,im2,1,5
82,0.2,lp,1,5
82,0.2,lp2,1,5
82,0.2,sl,1,5
82,0.2,sl2,1,6
81,0.2,wt,1,5
81,0.2,wt2,1,5
81,0.2,l,1,5
81,0.2,l2,1,5
81,0.2,fg,1,5
81,0.2,fg2,1,5
81,0.2,eb,0.28,5
81,0.2,eb2,0.72,32
81,0.2,im,1,5
81,0.2,im2,1,5
81,0.2,lp,1,5
81,0.2,lp2,1,5
81,0.2,sl,1,6
81,0.2,sl2,1,6
80,0.2,wt,1,5
80,0.2,wt2,1,5
80,0.2,l,1,5
80,0.2,l2,1,5
80,0.2,fg,1,5
80,0.2,fg2,1,5
80,0.2,eb,0.58,21
80,0.2,eb2,0.62,25
80,0.2,im,1,5
80,0.2,im2,1,5
80,0.2,lp,1,5
80,0.2,lp2,1,5
80,0.2,sl,1,5
80,0.2,sl2,1,6
79,0.2,wt,1,5
79,0.2,wt2,1,5
79,0.2,l,1,5
79,0.2,l2,1,5
79,0.2,fg,0.98,5
79,0.2,fg2,1,5
79,0.2,eb,0.8,35
79,0.2,eb2,0.74,32
79,0.2,im,1,5
79,0.2,im2,1,5
79,0.2,lp,0.78,4
79,0.2,lp2,0.8,4
79,0.2,sl,1,5
79,0.2,sl2,1,5
78,0.2,wt,1,5
78,0.2,wt2,1,5
78,0.2,l,1,5
78,0.2,l2,1,5
78,0.2,fg,1,5
78,0.2,fg2,1,5
78,0.2,eb,0.5,18
78,0.2,eb2,0.74,32
78,0.2,im,1,5
78,0.2,im2,1,5
78,0.2,lp,1,5
78,0.2,lp2,1,5
78,0.2,sl,1,5
78,0.2,sl2,1,5
77,0.2,wt,1,5
77,0.2,wt2,1,5
77,0.2,l,1,5
77,0.2,l2,1,5
77,0.2,fg,1,5
77,0.2,fg2,1,5
77,0.2,eb,0.46,15
77,0.2,eb2,0.66,27
77,0.2,im,1,5
77,0.2,im2,1,5
77,0.2,lp,1,5
77,0.2,lp2,1,5
77,0.2,sl,1,5
77,0.2,sl2,1,6
76,0.2,wt,1,5
76,0.2,wt2,1,5
76,0.2,l,1,5
76,0.2,l2,1,5
76,0.2,fg,1,5
76,0.2,fg2,1,5
76,0.2,eb,0.86,39
76,0.2,eb2,0.86,39
76,0.2,im,1,5
76,0.2,im2,1,5
76,0.2,lp,1,5
76,0.2,lp2,1,5
76,0.2,sl,0.98,5
76,0.2,sl2,1,5
75,0.2,wt,1,5
75,0.2,wt2,1,5
75,0.2,l,1,5
75,0.2,l2,1,5
75,0.2,fg,1,5
75,0.2,fg2,1,5
75,0.2,eb,0.84,35
75,0.2,eb2,0.84,35
75,0.2,im,1,5
75,0.2,im2,1,5
75,0.2,lp,1,5
75,0.2,lp2,1,5
75,0.2,sl,1,6
75,0.2,sl2,1,6
74,0.2,wt,1,5
74,0.2,wt2,1,5
74,0.2,l,1,5
74,0.2,l2,1,5
74,0.2,fg,1,5
74,0.2,fg2,1,5
74,0.2,eb,0.56,18
74,0.2,eb2,0.78,29
74,0.2,im,1,5
74,0.2,im2,1,5
74,0.2,lp,1,5
74,0.2,lp2,0.86,4
74,0.2,sl,1,5
74,0.2,sl2,1,5
73,0.2,wt,1,5
73,0.2,wt2,1,5
73,0.2,l,1,5
73,0.2,l2,1,5
73,0.2,fg,1,5
73,0.2,fg2,1,5
73,0.2,eb,0.72,31
73,0.2,eb2,0.72,31
73,0.2,im,1,5
73,0.2,im2,1,5
73,0.2,lp,1,5
73,0.2,lp2,1,5
73,0.2,sl,1,5
73,0.2,sl2,1,5
72,0.2,wt,1,5
72,0.2,wt2,1,5
72,0.2,l,1,5
72,0.2,l2,1,5
72,0.2,fg,1,5
72,0.2,fg2,1,5
72,0.2,eb,0.8,22
72,0.2,eb2,0.8,22
72,0.2,im,1,5
72,0.2,im2,1,5
72,0.2,lp,0.78,4
72,0.2,lp2,1,5
72,0.2,sl,1,5
72,0.2,sl2,1,6
71,0.2,wt,1,5
71,0.2,wt2,1,5
71,0.2,l,1,5
71,0.2,l2,1,5
71,0.2,fg,1,5
71,0.2,fg2,1,5
71,0.2,eb,0.74,31
71,0.2,eb2,0.74,31
71,0.2,im,1,5
71,0.2,im2,1,5
71,0.2,lp,1,5
71,0.2,lp2,1,5
