run,alpha,method,accuracies,c_count
100,0.6000000000000001,wt,0.76,5
100,0.6000000000000001,wt2,0.44,2
100,0.6000000000000001,l,0.98,5
100,0.6000000000000001,l2,0.98,5
100,0.6000000000000001,fg,0.86,4
100,0.6000000000000001,fg2,0.86,4
100,0.6000000000000001,eb,0.26,1
100,0.6000000000000001,eb2,0.84,36
100,0.6000000000000001,im,0.26,1
100,0.6000000000000001,im2,0.26,1
100,0.6000000000000001,lp,0.26,1
100,0.6000000000000001,lp2,0.26,1
100,0.6000000000000001,sl,0.98,5
100,0.6000000000000001,sl2,0.96,5
99,0.6000000000000001,wt,0.92,5
99,0.6000000000000001,wt2,0.62,3
99,0.6000000000000001,l,0.98,5
99,0.6000000000000001,l2,0.98,5
99,0.6000000000000001,fg,0.78,4
99,0.6000000000000001,fg2,0.96,5
99,0.6000000000000001,eb,0.34,7
99,0.6000000000000001,eb2,0.9,37
99,0.6000000000000001,im,0.22,1
99,0.6000000000000001,im2,0.22,1
99,0.6000000000000001,lp,0.22,1
99,0.6000000000000001,lp2,0.22,1
99,0.6000000000000001,sl,0.98,5
99,0.6000000000000001,sl2,0.98,5
98,0.6000000000000001,wt,0.82,4
98,0.6000000000000001,wt2,0.98,5
98,0.6000000000000001,l,0.98,5
98,0.6000000000000001,l2,0.96,5
98,0.6000000000000001,fg,0.66,4
98,0.6000000000000001,fg2,0.88,5
98,0.6000000000000001,eb,0.64,24
98,0.6000000000000001,eb2,0.64,24
98,0.6000000000000001,im,0.24,1
98,0.6000000000000001,im2,0.24,1
98,0.6000000000000001,lp,0.24,1
98,0.6000000000000001,lp2,0.24,1
98,0.6000000000000001,sl,0.98,5
98,0.6000000000000001,sl2,0.96,5
97,0.6000000000000001,wt,0.7,4
97,0.6000000000000001,wt2,0.98,5
97,0.6000000000000001,l,0.86,4
97,0.6000000000000001,l2,1,5
97,0.6000000000000001,fg,0.86,4
97,0.6000000000000001,fg2,1,5
97,0.6000000000000001,eb,0.5,11
97,0.6000000000000001,eb2,0.92,38
97,0.6000000000000001,im,0.32,1
97,0.6000000000000001,im2,0.32,1
97,0.6000000000000001,lp,0.32,1
97,0.6000000000000001,lp2,0.32,1
97,0.6000000000000001,sl,0.86,4
97,0.6000000000000001,sl2,1,5
96,0.6000000000000001,wt,0.68,4
96,0.6000000000000001,wt2,0.48,2
96,0.6000000000000001,l,0.72,4
96,0.6000000000000001,l2,0.9,5
96,0.6000000000000001,fg,0.66,4
96,0.6000000000000001,fg2,0.7,4
96,0.6000000000000001,eb,0.32,1
96,0.6000000000000001,eb2,0.84,35
96,0.6000000000000001,im,0.32,1
96,0.6000000000000001,im2,0.32,1
96,0.6000000000000001,lp,0.32,1
96,0.6000000000000001,lp2,0.32,1
96,0.6000000000000001,sl,0.72,4
96,0.6000000000000001,sl2,0.72,4
95,0.6000000000000001,wt,1,5
95,0.6000000000000001,wt2,1,5
95,0.6000000000000001,l,1,5
95,0.6000000000000001,l2,1,5
95,0.6000000000000001,fg,1,5
95,0.6000000000000001,fg2,1,5
95,0.6000000000000001,eb,0.26,1
95,0.6000000000000001,eb2,0.9,38
95,0.6000000000000001,im,0.26,1
95,0.6000000000000001,im2,0.26,1
95,0.6000000000000001,lp,0.26,1
95,0.6000000000000001,lp2,1,49
95,0.6000000000000001,sl,1,6
95,0.6000000000000001,sl2,1,5
94,0.6000000000000001,wt,0.9,5
94,0.6000000000000001,wt2,0.96,5
94,0.6000000000000001,l,0.96,5
94,0.6000000000000001,l2,0.96,5
94,0.6000000000000001,fg,0.72,4
94,0.6000000000000001,fg2,0.92,5
94,0.6000000000000001,eb,0.54,15
94,0.6000000000000001,eb2,0.78,27
94,0.6000000000000001,im,0.28,1
94,0.6000000000000001,im2,0.28,1
94,0.6000000000000001,lp,0.28,1
94,0.6000000000000001,lp2,0.28,1
94,0.6000000000000001,sl,0.96,5
94,0.6000000000000001,sl2,0.96,5
93,0.6000000000000001,wt,0.8,4
93,0.6000000000000001,wt2,0.64,3
93,0.6000000000000001,l,1,5
93,0.6000000000000001,l2,1,5
93,0.6000000000000001,fg,0.96,5
93,0.6000000000000001,fg2,1,5
93,0.6000000000000001,eb,0.28,1
93,0.6000000000000001,eb2,1,41
93,0.6000000000000001,im,0.28,1
93,0.6000000000000001,im2,0.28,1
93,0.6000000000000001,lp,0.28,1
93,0.6000000000000001,lp2,1,50
93,0.6000000000000001,sl,1,5
93,0.6000000000000001,sl2,0.98,5
92,0.6000000000000001,wt,0.82,5
92,0.6000000000000001,wt2,0.6,3
92,0.6000000000000001,l,0.98,5
92,0.6000000000000001,l2,0.98,5
92,0.6000000000000001,fg,0.78,4
92,0.6000000000000001,fg2,0.96,5
92,0.6000000000000001,eb,0.54,16
92,0.6000000000000001,eb2,0.92,39
92,0.6000000000000001,im,0.26,1
92,0.6000000000000001,im2,0.26,1
92,0.6000000000000001,lp,0.26,1
92,0.6000000000000001,lp2,0.26,1
92,0.6000000000000001,sl,0.98,5
92,0.6000000000000001,sl2,0.98,5
91,0.6000000000000001,wt,0.94,5
91,0.6000000000000001,wt2,0.56,3
91,0.6000000000000001,l,0.96,5
91,0.6000000000000001,l2,0.96,5
91,0.6000000000000001,fg,0.94,5
91,0.6000000000000001,fg2,0.94,5
91,0.6000000000000001,eb,0.24,1
91,0.6000000000000001,eb2,0.8,32
91,0.6000000000000001,im,0.24,1
91,0.6000000000000001,im2,0.24,1
91,0.6000000000000001,lp,0.24,1
