run,alpha,method,accuracies
988,0.7999999999999999,eb2,0.84
988,0.7999999999999999,im,0.26
988,0.7999999999999999,im2,0.26
988,0.7999999999999999,lp,0.26
988,0.7999999999999999,lp2,1
988,0.7999999999999999,sl,0.58
988,0.7999999999999999,sl2,0.58
987,0.7999999999999999,wt,0.38
987,0.7999999999999999,wt2,0.26
987,0.7999999999999999,l,0.46
987,0.7999999999999999,l2,0.58
987,0.7999999999999999,fg,0.32
987,0.7999999999999999,fg2,0.58
987,0.7999999999999999,eb,0.26
987,0.7999999999999999,eb2,0.88
987,0.7999999999999999,im,0.26
987,0.7999999999999999,im2,0.26
987,0.7999999999999999,lp,0.26
987,0.7999999999999999,lp2,1
987,0.7999999999999999,sl,0.38
987,0.7999999999999999,sl2,0.38
986,0.7999999999999999,wt,0.42
986,0.7999999999999999,wt2,0.38
986,0.7999999999999999,l,0.46
986,0.7999999999999999,l2,0.66
986,0.7999999999999999,fg,0.38
986,0.7999999999999999,fg2,0.58
986,0.7999999999999999,eb,0.38
986,0.7999999999999999,eb2,0.96
986,0.7999999999999999,im,0.38
986,0.7999999999999999,im2,0.38
986,0.7999999999999999,lp,0.38
986,0.7999999999999999,lp2,1
986,0.7999999999999999,sl,0.44
986,0.7999999999999999,sl2,0.44
985,0.7999999999999999,wt,0.44
985,0.7999999999999999,wt2,0.3
985,0.7999999999999999,l,0.38
985,0.7999999999999999,l2,0.6
985,0.7999999999999999,fg,0.46
985,0.7999999999999999,fg2,0.62
985,0.7999999999999999,eb,0.3
985,0.7999999999999999,eb2,0.94
985,0.7999999999999999,im,0.3
985,0.7999999999999999,im2,0.3
985,0.7999999999999999,lp,0.3
985,0.7999999999999999,lp2,1
985,0.7999999999999999,sl,0.38
985,0.7999999999999999,sl2,0.48
984,0.7999999999999999,wt,0.42
984,0.7999999999999999,wt2,0.3
984,0.7999999999999999,l,0.58
984,0.7999999999999999,l2,0.74
984,0.7999999999999999,fg,0.42
984,0.7999999999999999,fg2,0.74
984,0.7999999999999999,eb,0.3
984,0.7999999999999999,eb2,0.98
984,0.7999999999999999,im,0.3
984,0.7999999999999999,im2,0.3
984,0.7999999999999999,lp,0.3
984,0.7999999999999999,lp2,1
984,0.7999999999999999,sl,0.64
984,0.7999999999999999,sl2,0.64
983,0.7999999999999999,wt,0.3
983,0.7999999999999999,wt2,0.28
983,0.7999999999999999,l,0.36
983,0.7999999999999999,l2,0.42
983,0.7999999999999999,fg,0.36
983,0.7999999999999999,fg2,0.52
983,0.7999999999999999,eb,0.28
983,0.7999999999999999,eb2,1
983,0.7999999999999999,im,0.28
983,0.7999999999999999,im2,0.28
983,0.7999999999999999,lp,0.28
983,0.7999999999999999,lp2,1
983,0.7999999999999999,sl,0.44
983,0.7999999999999999,sl2,0.42
982,0.7999999999999999,wt,0.52
982,0.7999999999999999,wt2,0.34
982,0.7999999999999999,l,0.58
982,0.7999999999999999,l2,0.64
982,0.7999999999999999,fg,0.44
982,0.7999999999999999,fg2,0.68
982,0.7999999999999999,eb,0.34
982,0.7999999999999999,eb2,1
982,0.7999999999999999,im,0.34
982,0.7999999999999999,im2,0.34
982,0.7999999999999999,lp,0.34
982,0.7999999999999999,lp2,0.34
982,0.7999999999999999,sl,0.52
982,0.7999999999999999,sl2,0.52
981,0.7999999999999999,wt,0.58
981,0.7999999999999999,wt2,0.24
981,0.7999999999999999,l,0.54
981,0.7999999999999999,l2,0.62
981,0.7999999999999999,fg,0.5
981,0.7999999999999999,fg2,0.58
981,0.7999999999999999,eb,0.24
981,0.7999999999999999,eb2,0.86
981,0.7999999999999999,im,0.24
981,0.7999999999999999,im2,0.24
981,0.7999999999999999,lp,0.24
981,0.7999999999999999,lp2,1
981,0.7999999999999999,sl,0.52
981,0.7999999999999999,sl2,0.6
980,0.7999999999999999,wt,0.34
980,0.7999999999999999,wt2,0.26
980,0.7999999999999999,l,0.48
980,0.7999999999999999,l2,0.54
980,0.7999999999999999,fg,0.5
980,0.7999999999999999,fg2,0.58
980,0.7999999999999999,eb,0.26
980,0.7999999999999999,eb2,0.96
980,0.7999999999999999,im,0.26
980,0.7999999999999999,im2,0.26
980,0.7999999999999999,lp,0.26
980,0.7999999999999999,lp2,1
980,0.7999999999999999,sl,0.46
980,0.7999999999999999,sl2,0.46
979,0.7999999999999999,wt,0.58
979,0.7999999999999999,wt2,0.22
979,0.7999999999999999,l,0.58
979,0.7999999999999999,l2,0.76
979,0.7999999999999999,fg,0.38
979,0.7999999999999999,fg2,0.68
979,0.7999999999999999,eb,0.22
979,0.7999999999999999,eb2,1
979,0.7999999999999999,im,0.22
979,0.7999999999999999,im2,0.22
979,0.7999999999999999,lp,0.22
979,0.7999999999999999,lp2,1
979,0.7999999999999999,sl,0.6
979,0.7999999999999999,sl2,0.62
978,0.7999999999999999,wt,0.34
978,0.7999999999999999,wt2,0.24
978,0.7999999999999999,l,0.54
978,0.7999999999999999,l2,0.52
978,0.7999999999999999,fg,0.4
978,0.7999999999999999,fg2,0.54
978,0.7999999999999999,eb,0.24
978,0.7999999999999999,eb2,0.94
978,0.7999999999999999,im,0.24
978,0.7999999999999999,im2,0.24
978,0.7999999999999999,lp,0.24
978,0.7999999999999999,lp2,1
978,0.7999999999999999,sl,0.42
978,0.7999999999999999,sl2,0.42
977,0.7999999999999999,wt,0.42
977,0.7999999999999999,wt2,0.26
977,0.7999999999999999,l,0.5
977,0.7999999999999999,l2,0.74
977,0.7999999999999999,fg,0.42
977,0.7999999999999999,fg2,0.68
977,0.7999999999999999,eb,0.26
977,0.7999999999999999,eb2,1
977,0.7999999999999999,im,0.26
977,0.7999999999999999,im2,0.26
977,0.7999999999999999,lp,0.26
977,0.7999999999999999,lp2,1
977,0.7999999999999999,sl,0.54
977,0.7999999999999999,sl2,0.5
976,0.7999999999999999,wt,0.42
976,0.7999999999999999,wt2,0.28
976,0.7999999999999999,l,0.54
976,0.7999999999999999,l2,0.58
976,0.7999999999999999,fg,0.4
976,0.7999999999999999,fg2,0.48
976,0.7999999999999999,eb,0.28
976,0.7999999999999999,eb2,0.96
976,0.7999999999999999,im,0.28
976,0.7999999999999999,im2,0.28
976,0.7999999999999999,lp,0.28
976,0.7999999999999999,lp2,1
976,0.7999999999999999,sl,0.52
976,0.7999999999999999,sl2,0.5
975,0.7999999999999999,wt,0.38
975,0.7999999999999999,wt2,0.28
975,0.7999999999999999,l,0.64
975,0.7999999999999999,l2,0.64
975,0.7999999999999999,fg,0.48
975,0.7999999999999999,fg2,0.64
975,0.7999999999999999,eb,0.28
975,0.7999999999999999,eb2,1
975,0.7999999999999999,im,0.28
975,0.7999999999999999,im2,0.28
975,0.7999999999999999,lp,0.28
975,0.7999999999999999,lp2,1
975,0.7999999999999999,sl,0.54
975,0.7999999999999999,sl2,0.54
974,0.7999999999999999,wt,0.44
974,0.7999999999999999,wt2,0.26
974,0.7999999999999999,l,0.48
974,0.7999999999999999,l2,0.66
974,0.7999999999999999,fg,0.38
974,0.7999999999999999,fg2,0.66
974,0.7999999999999999,eb,0.26
974,0.7999999999999999,eb2,1
974,0.7999999999999999,im,0.26
974,0.7999999999999999,im2,0.26
974,0.7999999999999999,lp,0.26
974,0.7999999999999999,lp2,1
974,0.7999999999999999,sl,0.5
974,0.7999999999999999,sl2,0.5
973,0.7999999999999999,wt,0.36
973,0.7999999999999999,wt2,0.26
973,0.7999999999999999,l,0.5
973,0.7999999999999999,l2,0.7
973,0.7999999999999999,fg,0.34
973,0.7999999999999999,fg2,0.7
973,0.7999999999999999,eb,0.26
973,0.7999999999999999,eb2,1
973,0.7999999999999999,im,0.26
973,0.7999999999999999,im2,0.26
973,0.7999999999999999,lp,0.26
973,0.7999999999999999,lp2,1
973,0.7999999999999999,sl,0.44
973,0.7999999999999999,sl2,0.44
972,0.7999999999999999,wt,0.34
972,0.7999999999999999,wt2,0.24
972,0.7999999999999999,l,0.4
972,0.7999999999999999,l2,0.56
972,0.7999999999999999,fg,0.38
972,0.7999999999999999,fg2,0.56
972,0.7999999999999999,eb,0.24
972,0.7999999999999999,eb2,0.96
972,0.7999999999999999,im,0.24
972,0.7999999999999999,im2,0.24
972,0.7999999999999999,lp,0.24
972,0.7999999999999999,lp2,1
972,0.7999999999999999,sl,0.32
972,0.7999999999999999,sl2,0.42
971,0.7999999999999999,wt,0.6
971,0.7999999999999999,wt2,0.28
971,0.7999999999999999,l,0.56
971,0.7999999999999999,l2,0.66
971,0.7999999999999999,fg,0.54
971,0.7999999999999999,fg2,0.68
971,0.7999999999999999,eb,0.28
971,0.7999999999999999,eb2,0.92
971,0.7999999999999999,im,0.28
971,0.7999999999999999,im2,0.28
971,0.7999999999999999,lp,0.28
971,0.7999999999999999,lp2,1
971,0.7999999999999999,sl,0.52
971,0.7999999999999999,sl2,0.52
