run,alpha,method,NMI_scores
100,0.7000000000000001,wt,0.13905430669475136
100,0.7000000000000001,wt2,0.21919326358527555
100,0.7000000000000001,l,0.7476684477006171
100,0.7000000000000001,l2,0.7847104199854685
100,0.7000000000000001,fg,0.20674638941704346
100,0.7000000000000001,fg2,0.6404368182699913
100,0.7000000000000001,eb,0
100,0.7000000000000001,eb2,0.4120437896550656
100,0.7000000000000001,im,0
100,0.7000000000000001,im2,0
100,0.7000000000000001,lp,0
100,0.7000000000000001,lp2,0
100,0.7000000000000001,le,0.39057381282213804
100,0.7000000000000001,le2,0.4148478084139322
100,0.7000000000000001,sl,0.7476684477006171
100,0.7000000000000001,sl2,0.7476684477006171
99,0.7000000000000001,wt,0.3937184773443466
99,0.7000000000000001,wt2,0.276513386868616
99,0.7000000000000001,l,0.6435603651334845
99,0.7000000000000001,l2,0.7448288759389112
99,0.7000000000000001,fg,0.4035478188976064
99,0.7000000000000001,fg2,0.6148111708146433
99,0.7000000000000001,eb,0
99,0.7000000000000001,eb2,0.41115482156192823
99,0.7000000000000001,im,0
99,0.7000000000000001,im2,0
99,0.7000000000000001,lp,0
99,0.7000000000000001,lp2,0.4000340543098423
99,0.7000000000000001,le,0.3060797918707342
99,0.7000000000000001,le2,0.5003277168242927
99,0.7000000000000001,sl,0.5135829631058603
99,0.7000000000000001,sl2,0.5288634423504623
98,0.7000000000000001,wt,0.5080271444918686
98,0.7000000000000001,wt2,0.5080271444918686
98,0.7000000000000001,l,0.7003584809591902
98,0.7000000000000001,l2,0.8839428145375777
98,0.7000000000000001,fg,0.6804094614443257
98,0.7000000000000001,fg2,0.8839428145375777
98,0.7000000000000001,eb,0
98,0.7000000000000001,eb2,0.42524913840244527
98,0.7000000000000001,im,0
98,0.7000000000000001,im2,0
98,0.7000000000000001,lp,0
98,0.7000000000000001,lp2,0.40785964622553883
98,0.7000000000000001,le,0.504243374338235
98,0.7000000000000001,le2,0.6526880800732302
98,0.7000000000000001,sl,0.7325557421196494
98,0.7000000000000001,sl2,0.7473847255589132
97,0.7000000000000001,wt,0.9136538816672852
97,0.7000000000000001,wt2,0.5925118708086282
