run,alpha,method,accuracies
981,0.1,im2,1
981,0.1,lp,1
981,0.1,lp2,1
981,0.1,sl,1
981,0.1,sl2,1
980,0.1,wt,1
980,0.1,wt2,1
980,0.1,l,1
980,0.1,l2,1
980,0.1,fg,1
980,0.1,fg2,1
980,0.1,eb,0.68
980,0.1,eb2,0.68
980,0.1,im,1
980,0.1,im2,1
980,0.1,lp,1
980,0.1,lp2,1
980,0.1,sl,1
980,0.1,sl2,1
979,0.1,wt,1
979,0.1,wt2,1
979,0.1,l,1
979,0.1,l2,1
979,0.1,fg,1
979,0.1,fg2,1
979,0.1,eb,0.62
979,0.1,eb2,0.62
979,0.1,im,1
979,0.1,im2,1
979,0.1,lp,1
979,0.1,lp2,1
979,0.1,sl,1
979,0.1,sl2,1
978,0.1,wt,1
978,0.1,wt2,1
978,0.1,l,1
978,0.1,l2,1
978,0.1,fg,1
978,0.1,fg2,1
978,0.1,eb,0.62
978,0.1,eb2,1
978,0.1,im,1
978,0.1,im2,1
978,0.1,lp,1
978,0.1,lp2,1
978,0.1,sl,1
978,0.1,sl2,1
977,0.1,wt,1
977,0.1,wt2,1
977,0.1,l,1
977,0.1,l2,1
977,0.1,fg,1
977,0.1,fg2,1
977,0.1,eb,0.76
977,0.1,eb2,0.76
977,0.1,im,1
977,0.1,im2,1
977,0.1,lp,1
977,0.1,lp2,1
977,0.1,sl,1
977,0.1,sl2,1
976,0.1,wt,1
976,0.1,wt2,1
976,0.1,l,1
976,0.1,l2,1
976,0.1,fg,1
976,0.1,fg2,1
976,0.1,eb,0.38
976,0.1,eb2,0.66
976,0.1,im,1
976,0.1,im2,1
976,0.1,lp,1
976,0.1,lp2,1
976,0.1,sl,1
976,0.1,sl2,1
975,0.1,wt,1
975,0.1,wt2,1
975,0.1,l,1
975,0.1,l2,1
975,0.1,fg,1
975,0.1,fg2,1
975,0.1,eb,0.6
975,0.1,eb2,0.64
975,0.1,im,1
975,0.1,im2,1
975,0.1,lp,1
975,0.1,lp2,1
975,0.1,sl,1
975,0.1,sl2,1
974,0.1,wt,1
974,0.1,wt2,1
974,0.1,l,1
974,0.1,l2,1
974,0.1,fg,1
974,0.1,fg2,1
974,0.1,eb,0.46
974,0.1,eb2,0.58
974,0.1,im,1
974,0.1,im2,1
974,0.1,lp,1
974,0.1,lp2,1
974,0.1,sl,1
974,0.1,sl2,1
973,0.1,wt,1
973,0.1,wt2,1
973,0.1,l,1
973,0.1,l2,1
973,0.1,fg,1
973,0.1,fg2,1
973,0.1,eb,0.6
973,0.1,eb2,0.7
973,0.1,im,1
973,0.1,im2,1
973,0.1,lp,1
973,0.1,lp2,1
973,0.1,sl,1
973,0.1,sl2,1
972,0.1,wt,1
972,0.1,wt2,1
972,0.1,l,1
972,0.1,l2,1
972,0.1,fg,1
972,0.1,fg2,1
972,0.1,eb,0.54
972,0.1,eb2,0.66
972,0.1,im,1
972,0.1,im2,1
972,0.1,lp,1
972,0.1,lp2,1
972,0.1,sl,1
972,0.1,sl2,1
971,0.1,wt,1
971,0.1,wt2,1
971,0.1,l,1
971,0.1,l2,1
971,0.1,fg,1
971,0.1,fg2,1
971,0.1,eb,0.58
971,0.1,eb2,0.58
971,0.1,im,1
971,0.1,im2,1
971,0.1,lp,1
971,0.1,lp2,1
971,0.1,sl,1
971,0.1,sl2,1
970,0.1,wt,1
970,0.1,wt2,1
970,0.1,l,1
970,0.1,l2,1
970,0.1,fg,1
970,0.1,fg2,1
970,0.1,eb,0.58
970,0.1,eb2,0.58
970,0.1,im,1
970,0.1,im2,1
970,0.1,lp,1
970,0.1,lp2,1
970,0.1,sl,1
970,0.1,sl2,1
969,0.1,wt,1
969,0.1,wt2,1
969,0.1,l,1
969,0.1,l2,1
969,0.1,fg,1
969,0.1,fg2,1
969,0.1,eb,0.76
969,0.1,eb2,0.76
969,0.1,im,1
969,0.1,im2,1
969,0.1,lp,1
969,0.1,lp2,1
