run,alpha,method,accuracies,c_count
84,0,sl,NaN,NaN
84,0,sl2,NaN,NaN
83,0,wt,1,5
83,0,wt2,1,5
83,0,l,1,5
83,0,l2,1,5
83,0,fg,1,5
83,0,fg2,1,5
83,0,eb,1,5
83,0,eb2,1,5
83,0,im,1,5
83,0,im2,1,5
83,0,lp,1,5
83,0,lp2,1,5
83,0,sl,NaN,NaN
83,0,sl2,NaN,NaN
82,0,wt,1,5
82,0,wt2,1,5
82,0,l,1,5
82,0,l2,1,5
82,0,fg,1,5
82,0,fg2,1,5
82,0,eb,1,5
82,0,eb2,1,5
82,0,im,1,5
82,0,im2,1,5
82,0,lp,1,5
82,0,lp2,1,5
82,0,sl,NaN,NaN
82,0,sl2,NaN,NaN
81,0,wt,1,5
81,0,wt2,1,5
81,0,l,1,5
81,0,l2,1,5
81,0,fg,1,5
81,0,fg2,1,5
81,0,eb,1,5
81,0,eb2,1,5
81,0,im,1,5
81,0,im2,1,5
81,0,lp,1,5
81,0,lp2,1,5
81,0,sl,NaN,NaN
81,0,sl2,NaN,NaN
80,0,wt,1,5
80,0,wt2,1,5
80,0,l,1,5
80,0,l2,1,5
80,0,fg,1,5
80,0,fg2,1,5
80,0,eb,1,5
80,0,eb2,1,5
80,0,im,1,5
80,0,im2,1,5
80,0,lp,1,5
80,0,lp2,1,5
80,0,sl,NaN,NaN
80,0,sl2,NaN,NaN
79,0,wt,1,5
79,0,wt2,1,5
79,0,l,1,5
79,0,l2,1,5
79,0,fg,1,5
79,0,fg2,1,5
79,0,eb,1,5
79,0,eb2,1,5
79,0,im,1,5
79,0,im2,1,5
79,0,lp,1,5
79,0,lp2,1,5
79,0,sl,NaN,NaN
79,0,sl2,NaN,NaN
78,0,wt,1,5
78,0,wt2,1,5
78,0,l,1,5
78,0,l2,1,5
78,0,fg,1,5
78,0,fg2,1,5
78,0,eb,1,5
78,0,eb2,1,5
78,0,im,1,5
78,0,im2,1,5
78,0,lp,1,5
78,0,lp2,1,5
78,0,sl,NaN,NaN
78,0,sl2,NaN,NaN
77,0,wt,1,5
77,0,wt2,1,5
77,0,l,1,5
77,0,l2,1,5
77,0,fg,1,5
77,0,fg2,1,5
77,0,eb,1,5
77,0,eb2,1,5
77,0,im,1,5
77,0,im2,1,5
77,0,lp,1,5
77,0,lp2,1,5
77,0,sl,NaN,NaN
77,0,sl2,NaN,NaN
76,0,wt,1,5
76,0,wt2,1,5
76,0,l,1,5
76,0,l2,1,5
76,0,fg,1,5
76,0,fg2,1,5
76,0,eb,1,5
76,0,eb2,1,5
76,0,im,1,5
76,0,im2,1,5
76,0,lp,1,5
76,0,lp2,1,5
76,0,sl,NaN,NaN
76,0,sl2,NaN,NaN
75,0,wt,1,5
75,0,wt2,1,5
75,0,l,1,5
75,0,l2,1,5
75,0,fg,1,5
75,0,fg2,1,5
75,0,eb,1,5
75,0,eb2,1,5
75,0,im,1,5
75,0,im2,1,5
75,0,lp,1,5
75,0,lp2,1,5
75,0,sl,NaN,NaN
75,0,sl2,NaN,NaN
74,0,wt,1,5
74,0,wt2,1,5
74,0,l,1,5
74,0,l2,1,5
74,0,fg,1,5
74,0,fg2,1,5
74,0,eb,1,5
74,0,eb2,1,5
74,0,im,1,5
74,0,im2,1,5
74,0,lp,1,5
74,0,lp2,1,5
74,0,sl,NaN,NaN
74,0,sl2,NaN,NaN
73,0,wt,1,5
73,0,wt2,1,5
73,0,l,1,5
73,0,l2,1,5
73,0,fg,1,5
73,0,fg2,1,5
73,0,eb,1,5
73,0,eb2,1,5
73,0,im,1,5
73,0,im2,1,5
73,0,lp,1,5
73,0,lp2,1,5
73,0,sl,NaN,NaN
73,0,sl2,NaN,NaN
72,0,wt,1,5
72,0,wt2,1,5
72,0,l,1,5
72,0,l2,1,5
72,0,fg,1,5
72,0,fg2,1,5
72,0,eb,1,5
72,0,eb2,1,5
72,0,im,1,5
72,0,im2,1,5
72,0,lp,1,5
72,0,lp2,1,5
72,0,sl,NaN,NaN
72,0,sl2,NaN,NaN
71,0,wt,1,5
71,0,wt2,1,5
71,0,l,1,5
71,0,l2,1,5
71,0,fg,1,5
71,0,fg2,1,5
71,0,eb,1,5
71,0,eb2,1,5
71,0,im,1,5
71,0,im2,1,5
71,0,lp,1,5
71,0,lp2,1,5
71,0,sl,NaN,NaN
71,0,sl2,NaN,NaN
70,0,wt,1,5
70,0,wt2,1,5
70,0,l,1,5
70,0,l2,1,5
70,0,fg,1,5
70,0,fg2,1,5
70,0,eb,1,5
70,0,eb2,1,5
70,0,im,1,5
70,0,im2,1,5
70,0,lp,1,5
70,0,lp2,1,5
70,0,sl,NaN,NaN
70,0,sl2,NaN,NaN
69,0,wt,1,5
69,0,wt2,1,5
69,0,l,1,5
69,0,l2,1,5
69,0,fg,1,5
69,0,fg2,1,5
69,0,eb,1,5
69,0,eb2,1,5
69,0,im,1,5
69,0,im2,1,5
69,0,lp,1,5
69,0,lp2,1,5
69,0,sl,NaN,NaN
