run,alpha,method,accuracies,c_count
100,0.7000000000000001,wt,0.34,2
100,0.7000000000000001,wt2,0.46,2
100,0.7000000000000001,l,0.86,4
100,0.7000000000000001,l2,0.9,5
100,0.7000000000000001,fg,0.42,2
100,0.7000000000000001,fg2,0.82,5
100,0.7000000000000001,eb,0.26,1
100,0.7000000000000001,eb2,0.96,42
100,0.7000000000000001,im,0.26,1
100,0.7000000000000001,im2,0.26,1
100,0.7000000000000001,lp,0.26,1
100,0.7000000000000001,lp2,0.26,1
100,0.7000000000000001,sl,0.86,4
100,0.7000000000000001,sl2,0.86,4
99,0.7000000000000001,wt,0.5,3
99,0.7000000000000001,wt2,0.44,3
99,0.7000000000000001,l,0.76,5
99,0.7000000000000001,l2,0.86,5
99,0.7000000000000001,fg,0.54,3
99,0.7000000000000001,fg2,0.78,5
99,0.7000000000000001,eb,0.26,1
99,0.7000000000000001,eb2,0.96,42
99,0.7000000000000001,im,0.26,1
99,0.7000000000000001,im2,0.26,1
99,0.7000000000000001,lp,0.26,1
99,0.7000000000000001,lp2,1,50
99,0.7000000000000001,sl,0.64,4
99,0.7000000000000001,sl2,0.66,4
98,0.7000000000000001,wt,0.62,3
98,0.7000000000000001,wt2,0.62,3
98,0.7000000000000001,l,0.8,4
98,0.7000000000000001,l2,0.96,6
98,0.7000000000000001,fg,0.78,4
98,0.7000000000000001,fg2,0.96,6
98,0.7000000000000001,eb,0.24,1
98,0.7000000000000001,eb2,0.96,41
98,0.7000000000000001,im,0.24,1
98,0.7000000000000001,im2,0.24,1
98,0.7000000000000001,lp,0.24,1
98,0.7000000000000001,lp2,1,50
98,0.7000000000000001,sl,0.8,4
98,0.7000000000000001,sl2,0.8,4
97,0.7000000000000001,wt,0.96,5
97,0.7000000000000001,wt2,0.62,3
97,0.7000000000000001,l,0.98,5
97,0.7000000000000001,l2,0.96,5
97,0.7000000000000001,fg,0.76,4
97,0.7000000000000001,fg2,0.94,5
97,0.7000000000000001,eb,0.3,1
97,0.7000000000000001,eb2,0.92,41
97,0.7000000000000001,im,0.3,1
97,0.7000000000000001,im2,0.3,1
97,0.7000000000000001,lp,0.3,1
97,0.7000000000000001,lp2,1,50
97,0.7000000000000001,sl,0.98,5
97,0.7000000000000001,sl2,0.98,5
96,0.7000000000000001,wt,0.74,4
96,0.7000000000000001,wt2,0.6,3
96,0.7000000000000001,l,0.78,4
96,0.7000000000000001,l2,0.82,5
96,0.7000000000000001,fg,0.6,3
96,0.7000000000000001,fg2,0.8,5
96,0.7000000000000001,eb,0.3,1
96,0.7000000000000001,eb2,0.92,43
96,0.7000000000000001,im,0.3,1
96,0.7000000000000001,im2,0.3,1
96,0.7000000000000001,lp,0.3,1
96,0.7000000000000001,lp2,1,50
96,0.7000000000000001,sl,0.74,4
96,0.7000000000000001,sl2,0.74,4
95,0.7000000000000001,wt,0.62,4
95,0.7000000000000001,wt2,0.38,2
95,0.7000000000000001,l,0.74,4
95,0.7000000000000001,l2,0.9,5
95,0.7000000000000001,fg,0.44,3
95,0.7000000000000001,fg2,0.82,5
95,0.7000000000000001,eb,0.24,1
95,0.7000000000000001,eb2,0.88,39
95,0.7000000000000001,im,0.24,1
95,0.7000000000000001,im2,0.24,1
95,0.7000000000000001,lp,0.24,1
95,0.7000000000000001,lp2,1,50
95,0.7000000000000001,sl,0.7,4
95,0.7000000000000001,sl2,0.7,4
94,0.7000000000000001,wt,0.62,3
94,0.7000000000000001,wt2,0.62,3
94,0.7000000000000001,l,0.84,4
94,0.7000000000000001,l2,0.98,5
94,0.7000000000000001,fg,0.62,3
94,0.7000000000000001,fg2,0.98,5
94,0.7000000000000001,eb,0.24,1
94,0.7000000000000001,eb2,0.84,39
94,0.7000000000000001,im,0.24,1
94,0.7000000000000001,im2,0.24,1
94,0.7000000000000001,lp,0.24,1
94,0.7000000000000001,lp2,1,50
94,0.7000000000000001,sl,0.98,5
94,0.7000000000000001,sl2,0.98,5
93,0.7000000000000001,wt,0.58,3
93,0.7000000000000001,wt2,0.42,2
93,0.7000000000000001,l,0.74,4
93,0.7000000000000001,l2,0.94,5
93,0.7000000000000001,fg,0.54,3
93,0.7000000000000001,fg2,0.86,5
93,0.7000000000000001,eb,0.22,1
93,0.7000000000000001,eb2,0.92,43
93,0.7000000000000001,im,0.22,1
93,0.7000000000000001,im2,0.22,1
93,0.7000000000000001,lp,0.22,1
93,0.7000000000000001,lp2,1,50
93,0.7000000000000001,sl,0.74,4
93,0.7000000000000001,sl2,0.74,4
92,0.7000000000000001,wt,0.64,4
92,0.7000000000000001,wt2,0.36,2
92,0.7000000000000001,l,0.72,4
92,0.7000000000000001,l2,0.92,5
92,0.7000000000000001,fg,0.56,3
92,0.7000000000000001,fg2,0.88,5
92,0.7000000000000001,eb,0.4,10
92,0.7000000000000001,eb2,0.92,44
92,0.7000000000000001,im,0.24,1
92,0.7000000000000001,im2,0.24,1
92,0.7000000000000001,lp,0.24,1
92,0.7000000000000001,lp2,1,50
92,0.7000000000000001,sl,0.92,5
92,0.7000000000000001,sl2,0.8,4
91,0.7000000000000001,wt,0.8,4
91,0.7000000000000001,wt2,0.48,2
91,0.7000000000000001,l,0.9,5
91,0.7000000000000001,l2,0.9,5
91,0.7000000000000001,fg,0.52,3
91,0.7000000000000001,fg2,0.9,5
91,0.7000000000000001,eb,0.26,1
