run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,scaling_factors
5,0.30000000000000004,wt,1,1,1,1,1,1,1
5,0.30000000000000004,wt2,1,1,1,1,1,1,1
5,0.30000000000000004,l,1,1,1,1,1,1,1
5,0.30000000000000004,l2,1,1,1,1,1,1,1
5,0.30000000000000004,fg,1,1,1,1,1,1,1
5,0.30000000000000004,fg2,1,1,1,1,1,1,1
5,0.30000000000000004,eb,0.32415702329997853,0.6046573687604123,0.4427233140165228,0.42205188560650264,0.26746879809081886,0.32415702329997853,2.4916009731503204e-5
5,0.30000000000000004,eb2,0.32584067937878486,0.49861367588475913,0.4030739620688034,0.3941239872422256,0.24542616248772256,0.32584067937878486,2.248673241788482e-4
5,0.30000000000000004,im,1,1,1,1,1,1,1
5,0.30000000000000004,im2,1,1,1,1,1,1,1
5,0.30000000000000004,lp,0.5842599447564322,1,0.7643689846902686,0.7375809086005234,0.5842599447564322,0.5842599447564322,0.6703200460356393
5,0.30000000000000004,lp2,0.8332406273620465,1,0.9128201506113055,0.9090357424175609,0.8332406273620465,0.8332406273620465,0.8187307530779818
5,0.30000000000000004,le,0.9598396710007686,1,0.9797140761471015,0.9795083599982829,0.9598396710007686,0.9598396710007686,0.8187307530779818
5,0.30000000000000004,le2,1,1,1,1,1,1,1
5,0.30000000000000004,sl,1,1,1,1,1,1,1
5,0.30000000000000004,sl2,1,1,1,1,1,1,1
4,0.30000000000000004,wt,1,1,1,1,1,1,1
4,0.30000000000000004,wt2,1,1,1,1,1,1,1
4,0.30000000000000004,l,1,1,1,1,1,1,1
4,0.30000000000000004,l2,1,1,1,1,1,1,1
4,0.30000000000000004,fg,1,1,1,1,1,1,1
4,0.30000000000000004,fg2,1,1,1,1,1,1,1
4,0.30000000000000004,eb,0.31471577649152477,0.6112829497090184,0.43861188786181277,0.4155089693547584,0.2622349772378033,0.31471577649152477,1.670170079024566e-5
4,0.30000000000000004,eb2,0.3079153796552777,0.5796910200994929,0.422487609920919,0.4021957944106886,0.2517178218731427,0.3079153796552777,2.4916009731503204e-5
4,0.30000000000000004,im,1,1,1,1,1,1,1
4,0.30000000000000004,im2,1,1,1,1,1,1,1
4,0.30000000000000004,lp,1,1,1,1,1,1,1
4,0.30000000000000004,lp2,1,1,1,1,1,1,1
4,0.30000000000000004,le,1,1,1,1,1,1,1
4,0.30000000000000004,le2,1,1,1,1,1,1,1
4,0.30000000000000004,sl,0.9755938810620537,1,0.987721560492659,0.9876461862066378,0.9755938810620537,0.9755938810620537,0.8187307530779818
4,0.30000000000000004,sl2,0.9258297877527409,1,0.9622004924924644,0.9614866211339432,0.9258297877527409,0.9258297877527409,0.5488116360940264
3,0.30000000000000004,wt,1,1,1,1,1,1,1
3,0.30000000000000004,wt2,1,1,1,1,1,1,1
3,0.30000000000000004,l,1,1,1,1,1,1,1
3,0.30000000000000004,l2,1,1,1,1,1,1,1
3,0.30000000000000004,fg,1,1,1,1,1,1,1
3,0.30000000000000004,fg2,1,1,1,1,1,1,1
3,0.30000000000000004,eb,0.3159225051774245,0.6540232106147917,0.45455544341874,0.426045803960992,0.27068500788216915,0.3159225051774245,7.504557915076858e-6
3,0.30000000000000004,eb2,0.3162563346570798,0.6637767068470544,0.45817418995202736,0.4284010425118118,0.2725892890616985,0.3162563346570798,6.14421235332821e-6
3,0.30000000000000004,im,1,1,1,1,1,1,1
3,0.30000000000000004,im2,1,1,1,1,1,1,1
3,0.30000000000000004,lp,1,1,1,1,1,1,1
3,0.30000000000000004,lp2,1,1,1,1,1,1,1
3,0.30000000000000004,le,1,1,1,1,1,1,1
3,0.30000000000000004,le2,1,1,1,1,1,1,1
3,0.30000000000000004,sl,1,1,1,1,1,1,1
3,0.30000000000000004,sl2,1,1,1,1,1,1,1
2,0.30000000000000004,wt,1,1,1,1,1,1,1
2,0.30000000000000004,wt2,1,1,1,1,1,1,1
2,0.30000000000000004,l,1,1,1,1,1,1,1
2,0.30000000000000004,l2,1,1,1,1,1,1,1
2,0.30000000000000004,fg,1,1,1,1,1,1,1
2,0.30000000000000004,fg2,1,1,1,1,1,1,1
2,0.30000000000000004,eb,0.3130432900026962,0.4290143965270057,0.36646975065799786,0.36196667883167216,0.22097638317485466,0.3130432900026962,6.112527611295723e-4
2,0.30000000000000004,eb2,0.3484942602450445,1,0.5903340242989934,0.5168642841412125,0.3484942602450445,0.3484942602450445,5.602796437537268e-9
2,0.30000000000000004,im,1,1,1,1,1,1,1
2,0.30000000000000004,im2,1,1,1,1,1,1,1
2,0.30000000000000004,lp,1,1,1,1,1,1,1
2,0.30000000000000004,lp2,1,1,1,1,1,1,1
2,0.30000000000000004,le,1,1,1,1,1,1,1
2,0.30000000000000004,le2,0.9361264381344072,1,0.967536272257742,0.9670096122817581,0.9361264381344072,0.9361264381344072,0.8187307530779818
2,0.30000000000000004,sl,1,1,1,1,1,1,1
2,0.30000000000000004,sl2,0.9094644672892825,1,0.9536584646975471,0.9525859033976979,0.9094644672892825,0.9094644672892825,0.44932896411722156
1,0.30000000000000004,wt,1,1,1,1,1,1,1
1,0.30000000000000004,wt2,1,1,1,1,1,1,1
1,0.30000000000000004,l,1,1,1,1,1,1,1
1,0.30000000000000004,l2,1,1,1,1,1,1,1
1,0.30000000000000004,fg,1,1,1,1,1,1,1
1,0.30000000000000004,fg2,1,1,1,1,1,1,1
1,0.30000000000000004,eb,0.3355550346660333,0.4705977914002785,0.3973807471519968,0.3917655638016453,0.24359978556840586,0.3355550346660333,5.004514334406108e-4
1,0.30000000000000004,eb2,0.3273099935684245,0.5604007131332936,0.42828116210195244,0.41325344490416704,0.26044073867814904,0.3273099935684245,6.77287364908539e-5
1,0.30000000000000004,im,1,1,1,1,1,1,1
1,0.30000000000000004,im2,1,1,1,1,1,1,1
1,0.30000000000000004,lp,0.8300060278984929,1,0.9110466661475101,0.9071074250521888,0.8300060278984929,0.8300060278984929,0.8187307530779818
1,0.30000000000000004,lp2,0.5894672919288867,1,0.7677677330605178,0.7417167939499313,0.5894672919288867,0.5894672919288867,0.6703200460356393
1,0.30000000000000004,le,0.9097278587550716,1,0.9537965499806925,0.9527303637368647,0.9097278587550716,0.9097278587550716,0.8187307530779818
1,0.30000000000000004,le2,0.9616783005073105,1,0.9806519772617146,0.9804648399878925,0.9616783005073105,0.9616783005073105,0.8187307530779818
1,0.30000000000000004,sl,0.9758515444466103,1,0.9878519850901805,0.987778203468139,0.9758515444466103,0.9758515444466103,0.8187307530779818
1,0.30000000000000004,sl2,0.9520326406902768,1,0.9757215999916559,0.9754269686326756,0.9520326406902768,0.9520326406902768,0.6703200460356393
