curr_rho,mxp1,mxp2
0.9,0.7906976744186046,0.7686296399665085
0.9,0.6957494407158836,0.5980769230769231
0.9,0.7475192943770672,0.7095761381475667
0.9,0.7902904894548348,0.7600459242250287
0.9,0.7931456548347613,0.7620540964327714
0.9,0.5097276264591439,0.447098976109215
0.9,0.5159010600706714,0.437125748502994
0.9,0.7913178294573643,0.7675187969924812
0.9,0.5777777777777777,0.4879356568364611
0.9,0.3344262295081967,0.2833333333333333
0.9,0.7862016679302501,0.7349397590361446
0.9,0.7558604917095483,0.715755278830536
0.9,0.766120218579235,0.7275557861961598
0.9,0.707641196013289,0.590027700831025
0.9,0.6234177215189873,0.5324324324324324
0.9,0.6492890995260664,0.5821529745042493
0.9,0.795774647887324,0.7600896860986547
0.9,0.7777777777777778,0.7362334801762115
0.9,0.6144578313253012,0.4788732394366197
0.9,0.6519174041297935,0.5877659574468085
0.9,0.7621696801112656,0.7287234042553191
0.9,0.7665130568356375,0.6835616438356165
0.9,0.6161971830985915,0.4985754985754986
0.9,0.7994526974198592,0.7693754702784048
0.9,0.7395964691046658,0.6957295373665481
0.9,0.3712871287128713,0.28517110266159695
0.9,0.7876335383619294,0.7629350893697083
0.9,0.8027923211169284,0.7449392712550608
0.9,0.782608695652174,0.7545682551056969
0.9,0.5314136125654451,0.45617977528089887
0.9,0.7528542646071189,0.7059193954659949
0.9,0.7842105263157895,0.764102564102564
0.9,0.7289504036908881,0.6583333333333333
0.9,0.7871404399323181,0.7613747954173486
0.9,0.5461254612546126,0.4900662251655629
0.9,0.5342789598108747,0.4669421487603306
0.9,0.7777777777777778,0.7416783872480075
0.9,0.8030626780626781,0.7754470426409904
0.9,0.7075268817204301,0.6138059701492538
0.9,0.7975206611570248,0.7423076923076923
0.9,0.7968617472434266,0.7647537647537648
0.9,0.7913170375775265,0.7634635691657867
0.9,0.7588126159554731,0.7021459227467811
0.9,0.4157303370786517,0.33534743202416917
0.9,0.7961165048543689,0.7752100840336135
0.9,0.7838630806845965,0.7483660130718954
0.9,0.7341513292433538,0.674812030075188
0.9,0.7838695061169008,0.7502168256721596
0.9,0.7784376427592508,0.744429882044561
0.9,0.712171052631579,0.6755070202808112
0.9,0.7741935483870968,0.7389705882352942
0.9,0.7857142857142857,0.728310502283105
0.9,0.7989870212092435,0.7744706965326787
0.9,0.8007062458618407,0.7834161088317858
0.9,0.5943396226415094,0.4315068493150685
0.9,0.7767129851461428,0.7411979881115683
0.9,0.7724867724867724,0.7174447174447175
0.9,0.7899508877975067,0.7617486338797814
0.9,0.7669565217391304,0.7107171635777598
0.9,0.793369663941871,0.758905299739357
0.9,0.6817625458996328,0.6188888888888889
0.9,0.7944055944055944,0.7108886107634543
0.9,0.7173601147776184,0.6476683937823834
0.9,0.7186813186813187,0.6507462686567164
0.9,0.6594724220623501,0.5670103092783505
0.9,0.8027090694935218,0.7580645161290323
0.9,0.774390243902439,0.7231316725978648
0.9,0.7818336162988115,0.7503054989816701
0.9,0.7164518574677786,0.6687898089171974
0.9,0.7564018384766907,0.7119901112484549
0.9,0.7553763440860215,0.6984258492129246
0.9,0.7918198529411765,0.7573626373626373
0.9,0.6854838709677419,0.5647840531561462
0.9,0.775039745627981,0.7195571955719557
0.9,0.7849045346062052,0.7621668597914253
0.9,0.2779552715654952,0.23076923076923078
0.9,0.7985799701046338,0.7698126801152738
0.9,0.7839408346539883,0.7446061214249875
0.9,0.7909722222222222,0.7644295302013423
0.9,0.7796257796257796,0.7149666348903718
0.9,0.7836456558773425,0.7423345884884346
0.9,0.5183823529411765,0.41964285714285715
0.9,0.7735922330097087,0.7446728971962617
0.9,0.7819738167170192,0.7444870565675935
0.9,0.7834728033472803,0.7570754716981132
0.9,0.7487291212781408,0.698509485094851
0.9,0.5076923076923077,0.336734693877551
0.9,0.6414141414141414,0.5901486988847584
0.9,0.7934746047763203,0.7676537585421412
0.9,0.7369402985074627,0.6798623063683304
0.9,0.468384074941452,0.4106776180698152
0.9,0.7945155393053016,0.7664902998236331
0.9,0.696969696969697,0.5227272727272727
0.9,0.7833214540270849,0.7336448598130841
0.9,0.8122794636556104,0.7602377807133421
0.9,0.7905951506245408,0.7625797306874557
0.9,0.7992476060191519,0.7728174603174603
0.9,0.6126582278481013,0.5307017543859649
0.9,0.7644927536231884,0.7074601844090528
0.9,0.7524077046548957,0.7233796296296297
