run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint
50,0.7,wt,0.7917556637200258,1,0.8898065316236028,0.883776376156323,0.7917556637200258
50,0.7,wt2,0.7917556637200258,1,0.8898065316236028,0.883776376156323,0.7917556637200258
50,0.7,l,0.7917556637200258,1,0.8898065316236028,0.883776376156323,0.7917556637200258
50,0.7,l2,0.7747247072042156,0.9358843438984555,0.8515002785106651,0.8477129521048261,0.7356786259580906
50,0.7,fg,0.837087648037618,1,0.9149249412042597,0.9113203160794177,0.837087648037618
50,0.7,fg2,1,1,1,1,1
50,0.7,eb,0,NA,NA,0,0
50,0.7,eb2,0.3467178729842676,0.8933153653440802,0.5565324818698936,0.4995485504788551,0.33293216560807837
50,0.7,im,0,NA,NA,0,0
50,0.7,im2,0,NA,NA,0,0
50,0.7,lp,0,NA,NA,0,0
50,0.7,lp2,0,NA,NA,0,0
50,0.7,le,0.7675382729492201,0.8061980756411647,0.7866307129985481,0.7863933233630401,0.6479803864809184
50,0.7,le2,0.8136286667454286,0.9842609161065698,0.8948870861183674,0.8908476966990091,0.8031788727731286
50,0.7,sl,0.7956690080469864,0.9675759998649106,0.8774224957354264,0.873242496156895,0.7750048197402458
50,0.7,sl2,0.7956690080469864,0.9675759998649106,0.8774224957354264,0.873242496156895,0.7750048197402458
49,0.7,wt,1,1,1,1,1
49,0.7,wt2,0.55535688518942,1,0.7452227084499102,0.7141214861716905,0.55535688518942
49,0.7,l,1,1,1,1,1
49,0.7,l2,1,1,1,1,1
49,0.7,fg,1,1,1,1,1
49,0.7,fg2,1,1,1,1,1
49,0.7,eb,0,NA,NA,0,0
49,0.7,eb2,0.34750981492244226,1,0.5894996309773589,0.5157807550996483,0.34750981492244226
49,0.7,im,0,NA,NA,0,0
49,0.7,im2,0,NA,NA,0,0
49,0.7,lp,0,NA,NA,0,0
49,0.7,lp2,0,NA,NA,0,0
49,0.7,le,0.7979457163152757,0.8836058661021857,0.8396841762039393,0.8385939784893828,0.722050654945495
49,0.7,le2,0.8511051256303747,1,0.9225535895710204,0.9195643335929283,0.8511051256303747
49,0.7,sl,1,1,1,1,1
49,0.7,sl2,1,1,1,1,1
48,0.7,wt,1,1,1,1,1
48,0.7,wt2,0.8198571813251255,1,0.9054596519586754,0.9010126615849581,0.8198571813251255
48,0.7,l,1,1,1,1,1
48,0.7,l2,1,1,1,1,1
48,0.7,fg,1,1,1,1,1
48,0.7,fg2,1,1,1,1,1
48,0.7,eb,0,NA,NA,0,0
48,0.7,eb2,0.3683448627984646,0.9359584380050671,0.5871588221529518,0.5286431188507319,0.3592895276622569
48,0.7,im,0,NA,NA,0,0
48,0.7,im2,0,NA,NA,0,0
48,0.7,lp,0,NA,NA,0,0
48,0.7,lp2,0,NA,NA,0,0
48,0.7,le,0.8167099288211089,0.9753945724823756,0.8925325942869409,0.889026762987494,0.8002233837586911
48,0.7,le2,0.8607402914860092,1,0.9277609021111038,0.9251589761606246,0.8607402914860092
48,0.7,sl,0.9763181133118622,1,0.9880881100953812,0.9880171686285604,0.9763181133118622
48,0.7,sl2,0.974556057426983,1,0.9871960582513399,0.9871140945949275,0.974556057426983
47,0.7,wt,0.8311329011110532,0.8312939731664658,0.8312134332372033,0.8312134293356472,0.7111764031162466
47,0.7,wt2,0.6181179359709721,1,0.7862047672018863,0.7639961491435575,0.6181179359709721
47,0.7,l,1,1,1,1,1
47,0.7,l2,1,1,1,1,1
47,0.7,fg,1,1,1,1,1
47,0.7,fg2,1,1,1,1,1
47,0.7,eb,0,NA,NA,0,0
47,0.7,eb2,0.3145042888789358,0.7400276404751092,0.4824332770636588,0.4414126501811042,0.28321328941390117
47,0.7,im,0,NA,NA,0,0
47,0.7,im2,0,NA,NA,0,0
47,0.7,lp,0,NA,NA,0,0
47,0.7,lp2,0,NA,NA,0,0
47,0.7,le,0.8668968794024556,0.9273172069516624,0.8965982338386559,0.8960897130800215,0.8117414283548372
47,0.7,le2,0.7343803565865789,0.7427100482003431,0.7385334589832766,0.7385217157598211,0.5854414816222159
47,0.7,sl,1,1,1,1,1
47,0.7,sl2,1,1,1,1,1
46,0.7,wt,0.9734470499368371,0.9737037046292976,0.9735753688256288,0.9735753603681903,0.9485112913086566
46,0.7,wt2,0.7895860187885304,1,0.8885865285882576,0.8824230972960381,0.7895860187885304
46,0.7,l,1,1,1,1,1
46,0.7,l2,1,1,1,1,1
46,0.7,fg,1,1,1,1,1
46,0.7,fg2,1,1,1,1,1
46,0.7,eb,0,NA,NA,0,0
46,0.7,eb2,0.33896310160395804,0.9699513361850588,0.5733914137116033,0.5023670055524079,0.3354406636438375
46,0.7,im,0,NA,NA,0,0
46,0.7,im2,0,NA,NA,0,0
46,0.7,lp,0,NA,NA,0,0
46,0.7,lp2,0,NA,NA,0,0
46,0.7,le,0.6649959022567573,0.7074100988197373,0.685875219650173,0.6855475953342945,0.5215461532885586
46,0.7,le2,0.7338773414038385,0.9661553946104733,0.8420448636383401,0.8341481165145535,0.7154837834294807
46,0.7,sl,1,1,1,1,1
46,0.7,sl2,0.9737503579026503,0.9752238732561312,0.9744868370677804,0.9744865585562495,0.9502425996331518
45,0.7,wt,0.7959672869580717,1,0.8921699877030563,0.8863939702445752,0.7959672869580717
45,0.7,wt2,0.5477750180116631,1,0.7401182459659152,0.7078225344602834,0.5477750180116631
45,0.7,l,0.7959672869580717,1,0.8921699877030563,0.8863939702445752,0.7959672869580717
45,0.7,l2,1,1,1,1,1
45,0.7,fg,0.7959672869580717,1,0.8921699877030563,0.8863939702445752,0.7959672869580717
45,0.7,fg2,0.8019747068842165,0.8295839823509827,0.8156625350485154,0.8155457422051247,0.6885413572014543
45,0.7,eb,0,NA,NA,0,0
45,0.7,eb2,0.3456079816911392,0.8928337931363783,0.5554912107599073,0.4983205371515889,0.3318421470627067
45,0.7,im,0,NA,NA,0,0
45,0.7,im2,0,NA,NA,0,0
45,0.7,lp,0,NA,NA,0,0
45,0.7,lp2,0,NA,NA,0,0
45,0.7,le,0.6302284783141991,0.64213954271776,0.6361561340365977,0.6361282587787147,0.4664135486883031
45,0.7,le2,0.7123918298135012,0.9505822807478145,0.8229137563379451,0.81442885498879,0.6869506384461552
45,0.7,sl,0.8052126737910303,0.9401541285145596,0.8700712727109685,0.8674669629293659,0.7659528989751346
45,0.7,sl2,0.7959672869580717,1,0.8921699877030563,0.8863939702445752,0.7959672869580717
44,0.7,wt,0.8035665726132359,1,0.8964187484726298,0.8910861232573487,0.8035665726132359
44,0.7,wt2,0.8035665726132359,1,0.8964187484726298,0.8910861232573487,0.8035665726132359
44,0.7,l,0.8340906774612135,1,0.9132856494335239,0.9095413740565752,0.8340906774612135
44,0.7,l2,1,1,1,1,1
44,0.7,fg,1,1,1,1,1
44,0.7,fg2,1,1,1,1,1
44,0.7,eb,0,NA,NA,0,0
44,0.7,eb2,0.350567250982892,0.943156191534326,0.5750127592616381,0.5111442870206507,0.3433135142409467
44,0.7,im,0,NA,NA,0,0
44,0.7,im2,0,NA,NA,0,0
44,0.7,lp,0,NA,NA,0,0
44,0.7,lp2,0,NA,NA,0,0
44,0.7,le,0.673230386836802,0.7472051912265758,0.7092540024109375,0.7082915236772381,0.5483369790168164
44,0.7,le2,0.8114669590689325,0.9125476391086687,0.8605244085515791,0.8590440689954778,0.7529160817273256
44,0.7,sl,1,1,1,1,1
44,0.7,sl2,1,1,1,1,1
43,0.7,wt,0.8011226896974343,1,0.8950545735861217,0.8895814752431026,0.8011226896974343
43,0.7,wt2,0.5558255726271656,1,0.7455371034543925,0.7145088529282869,0.5558255726271656
43,0.7,l,1,1,1,1,1
43,0.7,l2,1,1,1,1,1
43,0.7,fg,1,1,1,1,1
43,0.7,fg2,1,1,1,1,1
43,0.7,eb,0,NA,NA,0,0
43,0.7,eb2,0.3431335171463182,0.951316251717676,0.5713392086758429,0.5043509593374351,0.33721210365903104
43,0.7,im,0,NA,NA,0,0
43,0.7,im2,0,NA,NA,0,0
43,0.7,lp,0,NA,NA,0,0
43,0.7,lp2,0,NA,NA,0,0
43,0.7,le,0.8248658455090759,0.8284517704508905,0.8266568635754891,0.8266549191755683,0.7045283886942559
43,0.7,le2,0.8510667866708224,1,0.922532810620209,0.9195419558053674,0.8510667866708224
43,0.7,sl,1,1,1,1,1
43,0.7,sl2,1,1,1,1,1
42,0.7,wt,0.7319224549178948,0.8584782341103493,0.792678684337876,0.7901650205993683,0.6531180153105067
42,0.7,wt2,0.2885548593873263,1,0.5371730255581774,0.4478736117211594,0.2885548593873263
42,0.7,l,1,1,1,1,1
42,0.7,l2,1,1,1,1,1
42,0.7,fg,1,1,1,1,1
42,0.7,fg2,1,1,1,1,1
42,0.7,eb,0,NA,NA,0,0
42,0.7,eb2,0.3639301187950535,0.9498574888685724,0.5879470628911337,0.5262368844794538,0.3570701959748683
42,0.7,im,0,NA,NA,0,0
42,0.7,im2,0,NA,NA,0,0
42,0.7,lp,0,NA,NA,0,0
42,0.7,lp2,0,NA,NA,0,0
42,0.7,le,0.33522773158383157,0.520966122311918,0.4179022510284543,0.4079503505427258,0.25624222880347675
42,0.7,le2,0.7727290958515125,0.9828889372977818,0.871496919008076,0.8652302101022927,0.7624720166195895
42,0.7,sl,1,1,1,1,1
42,0.7,sl2,1,1,1,1,1
41,0.7,wt,1,1,1,1,1
41,0.7,wt2,0.8276175530476001,1,0.9097348806369909,0.9056791467859632,0.8276175530476001
41,0.7,l,1,1,1,1,1
41,0.7,l2,1,1,1,1,1
41,0.7,fg,1,1,1,1,1
41,0.7,fg2,1,1,1,1,1
41,0.7,eb,0,NA,NA,0,0
41,0.7,eb2,0.3405895134810752,0.9453095527436519,0.567417413072575,0.5007586195753659,0.3340080030565424
41,0.7,im,0,NA,NA,0,0
41,0.7,im2,0,NA,NA,0,0
41,0.7,lp,0,NA,NA,0,0
41,0.7,lp2,0,NA,NA,0,0
41,0.7,le,0.8257520539568177,0.8459139565133655,0.835772210031926,0.8357114192507642,0.7177871818625691
41,0.7,le2,0.700348641002184,0.8928172881393525,0.790748616446245,0.7849570003654036,0.646032280834066
41,0.7,sl,0.9737720959904113,1,0.9867989136548597,0.9867117870077964,0.9737720959904113
41,0.7,sl2,1,1,1,1,1
40,0.7,wt,1,1,1,1,1
40,0.7,wt2,0.7988298082489492,1,0.8937727945339068,0.8881660783980017,0.7988298082489492
40,0.7,l,1,1,1,1,1
40,0.7,l2,1,1,1,1,1
40,0.7,fg,0.8398110902895027,1,0.9164120745000596,0.9129318708013164,0.8398110902895027
40,0.7,fg2,1,1,1,1,1
40,0.7,eb,0,NA,NA,0,0
40,0.7,eb2,0.34600498354731335,1,0.5882218829211587,0.5141214004058714,0.34600498354731335
40,0.7,im,0,NA,NA,0,0
40,0.7,im2,0,NA,NA,0,0
40,0.7,lp,0,NA,NA,0,0
40,0.7,lp2,0,NA,NA,0,0
40,0.7,le,0.5914556745985386,0.7493728608446362,0.665748324020948,0.6611148543168592,0.4937801098536633
40,0.7,le2,0.821931888043308,0.9819832251400586,0.8984004264615112,0.894857324901387,0.8097210840415136
40,0.7,sl,0.9738593653144152,1,0.9868431310570162,0.986756587047213,0.9738593653144152
40,0.7,sl2,1,1,1,1,1
39,0.7,wt,1,1,1,1,1
39,0.7,wt2,1,1,1,1,1
39,0.7,l,1,1,1,1,1
39,0.7,l2,1,1,1,1,1
39,0.7,fg,1,1,1,1,1
39,0.7,fg2,1,1,1,1,1
39,0.7,eb,0,NA,NA,0,0
39,0.7,eb2,0.34160302735803416,0.9879217552312233,0.5809277600354873,0.5076656964943671,0.3401822871067246
39,0.7,im,0,NA,NA,0,0
39,0.7,im2,0,NA,NA,0,0
39,0.7,lp,0,NA,NA,0,0
39,0.7,lp2,0,NA,NA,0,0
39,0.7,le,0.7461405110808803,1,0.8637942527482342,0.8546168035687014,0.7461405110808803
39,0.7,le2,0.7578313963161701,1,0.8705351206678397,0.8622344530929789,0.7578313963161701
39,0.7,sl,0.9736591746808341,1,0.9867416960283143,0.9866538125441918,0.9736591746808341
39,0.7,sl2,1,1,1,1,1
38,0.7,wt,1,1,1,1,1
38,0.7,wt2,0.8325428535477438,1,0.9124378628420369,0.9086203380575442,0.8325428535477438
38,0.7,l,1,1,1,1,1
38,0.7,l2,1,1,1,1,1
38,0.7,fg,1,1,1,1,1
38,0.7,fg2,1,1,1,1,1
38,0.7,eb,0,NA,NA,0,0
38,0.7,eb2,0.34184954193963557,0.9232899587736542,0.5618062383813824,0.49895880937444065,0.3324084725259934
38,0.7,im,0,NA,NA,0,0
38,0.7,im2,0,NA,NA,0,0
38,0.7,lp,0,NA,NA,0,0
38,0.7,lp2,0,NA,NA,0,0
38,0.7,le,0.8645902832811393,0.9702605149365481,0.9159027314434072,0.914382590977263,0.8422696461733993
38,0.7,le2,0.7032056367822455,1,0.8385735726710242,0.8257436701662938,0.7032056367822455
38,0.7,sl,1,1,1,1,1
38,0.7,sl2,0.95264298037226,1,0.9760343131121262,0.9757472205089373,0.95264298037226
37,0.7,wt,1,1,1,1,1
37,0.7,wt2,0.5849595012624067,1,0.764826451727715,0.738138104849356,0.5849595012624067
37,0.7,l,1,1,1,1,1
37,0.7,l2,1,1,1,1,1
37,0.7,fg,0.8370414412509576,1,0.9148996891741507,0.9112929327070196,0.8370414412509576
37,0.7,fg2,1,1,1,1,1
37,0.7,eb,0,NA,NA,0,0
37,0.7,eb2,0.3504841665576903,0.983139718565506,0.5870050296813423,0.5167497503831266,0.34839013208769326
37,0.7,im,0,NA,NA,0,0
37,0.7,im2,0,NA,NA,0,0
37,0.7,lp,0,NA,NA,0,0
37,0.7,lp2,0,NA,NA,0,0
37,0.7,le,0.7907822930505166,0.8944087437330649,0.8410009496389793,0.8394093985256542,0.7232605515323992
37,0.7,le2,0.7441198371379216,0.9656966994422069,0.8476992808263809,0.8405510829259516,0.7249574091173778
37,0.7,sl,1,1,1,1,1
37,0.7,sl2,1,1,1,1,1
36,0.7,wt,0.9731727861129194,0.9750489979844995,0.9741104403327098,0.9741099886169196,0.9495267307492815
36,0.7,wt2,0.8024701639650602,1,0.8958069903528662,0.8904115918343884,0.8024701639650602
36,0.7,l,1,1,1,1,1
36,0.7,l2,1,1,1,1,1
36,0.7,fg,0.8024701639650602,1,0.8958069903528662,0.8904115918343884,0.8024701639650602
36,0.7,fg2,1,1,1,1,1
36,0.7,eb,0,NA,NA,0,0
36,0.7,eb2,0.33720051672893586,0.9325691538622387,0.560769828510605,0.4953068384778902,0.329174645797453
36,0.7,im,0,NA,NA,0,0
36,0.7,im2,0,NA,NA,0,0
36,0.7,lp,0,NA,NA,0,0
36,0.7,lp2,0,NA,NA,0,0
36,0.7,le,0.7457779840632404,0.7488613716236512,0.7473180876121759,0.7473164973842897,0.5965724748700122
36,0.7,le2,0.8291254679052596,1,0.9105632695783746,0.9065812952184038,0.8291254679052596
36,0.7,sl,0.9734504393749849,0.9747832628783981,0.9741166231742265,0.9741163952218149,0.9495389054710907
36,0.7,sl2,1,1,1,1,1
35,0.7,wt,0.7507625277566556,1,0.8664655375470254,0.8576406175641048,0.7507625277566556
35,0.7,wt2,1,1,1,1,1
35,0.7,l,0.7819967726565108,0.9651272189161779,0.8687498894361972,0.8639642910701849,0.7605080406179038
35,0.7,l2,1,1,1,1,1
35,0.7,fg,0.7819967726565108,0.9651272189161779,0.8687498894361972,0.8639642910701849,0.7605080406179038
35,0.7,fg2,1,1,1,1,1
35,0.7,eb,0,NA,NA,0,0
35,0.7,eb2,0.3319050340147504,0.9731972577399028,0.5683388680472454,0.4949942559658717,0.32889858256557386
35,0.7,im,0,NA,NA,0,0
35,0.7,im2,0,NA,NA,0,0
35,0.7,lp,0,NA,NA,0,0
35,0.7,lp2,0,NA,NA,0,0
35,0.7,le,0.732555227603512,0.8782025063646522,0.8020796948757227,0.7987940375702056,0.6649934004276904
35,0.7,le2,0.7637437632835865,0.9772794658067674,0.8639392901095734,0.857416586434641,0.7504192483935391
35,0.7,sl,0.972520689611534,1,0.986164636159467,0.9860689368009227,0.972520689611534
35,0.7,sl2,0.972520689611534,1,0.986164636159467,0.9860689368009227,0.972520689611534
34,0.7,wt,1,1,1,1,1
34,0.7,wt2,1,1,1,1,1
34,0.7,l,1,1,1,1,1
34,0.7,l2,1,1,1,1,1
34,0.7,fg,1,1,1,1,1
34,0.7,fg2,1,1,1,1,1
34,0.7,eb,0,NA,NA,0,0
