run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
100,1,wt,0.3464915803977124,1,0.5886353543559139,0.5146583691156381,0.3464915803977124,0.3464915803977124,1.941321792288961e-9
100,1,wt2,0,NaN,NaN,0,0,0,0
100,1,l,0,NaN,NaN,0,0,0,0
100,1,l2,0.18298542471226573,0.3147474702415331,0.23998791536087424,0.23142613278394725,0.13085466039834667,0.18298542471226573,0.013590982254449572
100,1,fg,0.010214306489846278,0.2910364130811014,0.05452279452592168,0.019735953674399547,0.00996632429448982,0.010214306489846278,0.0056057302562583676
100,1,fg2,0.15189988920815084,0.2554031399921191,0.1969662627665376,0.1905004671553325,0.10527798636999461,0.15189988920815084,0.013780047053851963
100,1,eb,0,NaN,NaN,0,0,0,0
100,1,eb2,0.3464915803977124,1,0.5886353543559139,0.5146583691156381,0.3464915803977124,0.3464915803977124,1.941321792288961e-9
100,1,im,0,NaN,NaN,0,0,0,0
100,1,im2,0,NaN,NaN,0,0,0,0
100,1,lp,0,NaN,NaN,0,0,0,0
100,1,lp2,0,NaN,NaN,0,0,0,0
100,1,le,0,NaN,NaN,0,0,0,0
100,1,le2,0.1812093232754037,0.3468632440675227,0.25070870293347813,0.23805384946561522,0.13510847047931362,0.1812093232754037,0.0018214863529605657
100,1,sl,0.011310917297096795,0.04104965230053565,0.02154783567428381,0.01773507147893717,0.00894687245068147,0.011310917297096795,0.006207563027543915
100,1,sl2,0.015396226914358163,0.05211576245233612,0.028326420609229012,0.02377018103177968,0.012028044918475105,0.015396226914358163,0.008449628482543787
99,1,wt,0.34397092069613056,1,0.5864903415199014,0.5118725642039419,0.34397092069613056,0.34397092069613056,1.9271990490926944e-9
99,1,wt2,0,NaN,NaN,0,0,0,0
99,1,l,0.011563411246482486,0.0275831184719961,0.01785930968296755,0.01629543893907818,0.008214650134374382,0.011563411246482486,0.006346134645010118
99,1,l2,0.13316596512809975,0.23762636584154456,0.1778868863833762,0.17068176283162004,0.0933034828843231,0.13316596512809975,0.009890712726429175
99,1,fg,0.015524248959258703,0.03877630338811503,0.024535137813284123,0.02217189186827707,0.011210221847449053,0.015524248959258703,0.008519888470461754
99,1,fg2,0.12839715196598755,0.21714385920485813,0.1669750073777725,0.1613739161920908,0.08776875168542987,0.12839715196598755,0.011647926834544058
99,1,eb,0,NaN,NaN,0,0,0,0
99,1,eb2,0.34397092069613056,1,0.5864903415199014,0.5118725642039419,0.34397092069613056,0.34397092069613056,1.9271990490926944e-9
99,1,im,0,NaN,NaN,0,0,0,0
