curr_rho,mxp1,mxp2
0.1,0.8038422649140546,0.7879088206144698
0.1,0.7872727272727272,0.7716831683168317
0.1,0.7973737373737374,0.7815841584158416
0.1,0.793818625457503,0.7779992028696692
0.1,0.8025968756340028,0.7866375024855836
0.1,0.8073190456934897,0.7913198573127229
0.1,0.799918995544755,0.7840412862246924
0.1,0.795468339065345,0.7796946262145549
0.1,0.7996765716595917,0.7838319793936992
0.1,0.8069537093187791,0.7909649296611848
0.1,0.7987039287160794,0.7828503374354903
0.1,0.7964834276475343,0.7807052297939778
0.1,0.8004448038819247,0.7845818470075308
0.1,0.7881853125632207,0.7725560182431093
0.1,0.7939086294416243,0.7781094527363184
0.1,0.805837049047426,0.789829161700437
0.1,0.7989482200647249,0.7831086439333862
0.1,0.8047001620745543,0.7887212073073868
0.1,0.805701577031945,0.7897344431232659
0.1,0.8008894279361229,0.7850208044382802
0.1,0.7974316487158244,0.78125
0.1,0.7995115001017709,0.7835627368841014
0.1,0.797524852911341,0.781666335255518
0.1,0.7945039401899373,0.7787680728857199
0.1,0.800787728026534,0.7845247766043867
0.1,0.8049817739975699,0.7890035728463676
0.1,0.7993534047282279,0.7835214894038424
0.1,0.8054766734279919,0.7894632206759443
0.1,0.7993939393939394,0.7835643564356436
0.1,0.8028768233387358,0.7869340746624305
0.1,0.7979674796747968,0.7820717131474103
0.1,0.7945399393326592,0.778790882061447
0.1,0.8052131743786624,0.7892652010299069
0.1,0.791548726243429,0.7758620689655172
0.1,0.7993939393939394,0.7835643564356436
0.1,0.8010524185387573,0.7851616742709779
0.1,0.8035641960307817,0.7876141325922985
0.1,0.7990701435213261,0.7832375668714088
0.1,0.8031129977764302,0.7872003170200119
0.1,0.8059822150363783,0.7900158478605388
0.1,0.795085296506905,0.7792595541401274
0.1,0.8046558704453441,0.7886904761904762
0.1,0.8056622851365015,0.7896927651139742
0.1,0.8030763003440599,0.7871454076572109
0.1,0.7922998986828774,0.7765640516385303
0.1,0.7975298643450092,0.7817027187934114
0.1,0.7820720356131121,0.7665608885362951
0.1,0.7938915857605178,0.778152260111023
0.1,0.8002020202020202,0.7843564356435644
0.1,0.8058645096056622,0.7898909811694748
