run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint,AMI_scores,SNMI_scores
5,0.4,wt,1,1,1,1,1,1,1
5,0.4,wt2,1,1,1,1,1,1,1
5,0.4,l,1,1,1,1,1,1,1
5,0.4,l2,1,1,1,1,1,1,1
5,0.4,fg,1,1,1,1,1,1,1
5,0.4,fg2,1,1,1,1,1,1,1
5,0.4,eb,0,NaN,NaN,0,0,0,0
5,0.4,eb2,0.34904998095106554,1,0.5908045200834753,0.5174752394347748,0.34904998095106554,0.34904998095106554,1.9556559897950813e-9
5,0.4,im,0,NaN,NaN,0,0,0,0
5,0.4,im2,0,NaN,NaN,0,0,0,0
5,0.4,lp,0,NaN,NaN,0,0,0,0
5,0.4,lp2,0.5911721444300536,1,0.7688771972363685,0.7430649744585709,0.5911721444300536,0.5911721444300536,0.3962745390693412
5,0.4,le,0.8533515811415834,1,0.9237703075665419,0.9208739343626925,0.8533515811415834,0.8533515811415834,0.5720186711554118
5,0.4,le2,0.9753174701261362,1,0.9875816270699532,0.9875045250967747,0.9753174701261362,0.9753174701261362,0.7985224068064836
5,0.4,sl,1,1,1,1,1,1,1
5,0.4,sl2,0.976537452928662,1,0.988199095794295,0.9881294700302424,0.976537452928662,0.976537452928662,0.7995212442451377
4,0.4,wt,1,1,1,1,1,1,1
4,0.4,wt2,1,1,1,1,1,1,1
4,0.4,l,1,1,1,1,1,1,1
4,0.4,l2,1,1,1,1,1,1,1
4,0.4,fg,1,1,1,1,1,1,1
4,0.4,fg2,1,1,1,1,1,1,1
4,0.4,eb,0,NaN,NaN,0,0,0,0
4,0.4,eb2,0.3194346759277077,0.7032957234243729,0.47398000115343186,0.43932798249808913,0.28149923723326525,0.3194346759277077,8.818864918588066e-7
4,0.4,im,0,NaN,NaN,0,0,0,0
4,0.4,im2,0,NaN,NaN,0,0,0,0
4,0.4,lp,0,NaN,NaN,0,0,0,0
4,0.4,lp2,0.8304387670760243,1,0.9112841308154249,0.9073657988598898,0.8304387670760243,0.8304387670760243,0.679905757153304
