run,alpha,method,NMI_scores
85,0.2,eb2,0.3540055560302534
85,0.2,im,1
85,0.2,im2,1
85,0.2,lp,1
85,0.2,lp2,1
85,0.2,le,0.87732625377176
85,0.2,le2,0.87732625377176
85,0.2,sl,1
85,0.2,sl2,0.9544705591980882
84,0.2,wt,1
84,0.2,wt2,1
84,0.2,l,1
84,0.2,l2,1
84,0.2,fg,1
84,0.2,fg2,1
84,0.2,eb,0.38448930889768784
84,0.2,eb2,0.38448930889768784
84,0.2,im,1
84,0.2,im2,1
84,0.2,lp,1
84,0.2,lp2,1
84,0.2,le,0.7937004574029949
84,0.2,le2,0.7886155832205537
84,0.2,sl,0.9504361440115562
84,0.2,sl2,1
83,0.2,wt,1
83,0.2,wt2,1
83,0.2,l,1
83,0.2,l2,1
83,0.2,fg,1
83,0.2,fg2,1
83,0.2,eb,0.3378976831493503
83,0.2,eb2,0.4158440377837074
83,0.2,im,1
83,0.2,im2,1
83,0.2,lp,0.8316818978836483
83,0.2,lp2,1
83,0.2,le,0.7213890327032857
83,0.2,le2,0.751995071930758
83,0.2,sl,1
83,0.2,sl2,1
82,0.2,wt,1
82,0.2,wt2,1
82,0.2,l,1
82,0.2,l2,1
82,0.2,fg,1
82,0.2,fg2,1
82,0.2,eb,0.30306775761918575
82,0.2,eb2,0.30306775761918575
82,0.2,im,1
82,0.2,im2,1
82,0.2,lp,1
82,0.2,lp2,1
82,0.2,le,0.9121565570761545
82,0.2,le2,0.9121565570761545
82,0.2,sl,1
82,0.2,sl2,0.9557609681472794
81,0.2,wt,1
81,0.2,wt2,1
81,0.2,l,1
81,0.2,l2,1
81,0.2,fg,1
81,0.2,fg2,1
81,0.2,eb,0.07551475895242436
81,0.2,eb2,0.3562974464024477
81,0.2,im,1
81,0.2,im2,1
81,0.2,lp,1
81,0.2,lp2,1
81,0.2,le,0.8859364104327315
81,0.2,le2,0.8859364104327315
81,0.2,sl,0.9576876954959247
81,0.2,sl2,0.9576876954959247
80,0.2,wt,1
80,0.2,wt2,1
80,0.2,l,1
80,0.2,l2,1
80,0.2,fg,1
80,0.2,fg2,1
80,0.2,eb,0.3474646193653539
80,0.2,eb2,0.34926887127487705
80,0.2,im,1
80,0.2,im2,1
80,0.2,lp,1
80,0.2,lp2,1
80,0.2,le,1
80,0.2,le2,1
80,0.2,sl,1
80,0.2,sl2,0.9618278690444696
79,0.2,wt,1
79,0.2,wt2,1
79,0.2,l,1
79,0.2,l2,1
79,0.2,fg,0.957136649698172
79,0.2,fg2,1
79,0.2,eb,0.35249102429107754
79,0.2,eb2,0.3448406412629012
79,0.2,im,1
79,0.2,im2,1
79,0.2,lp,0.7782448138401198
79,0.2,lp2,0.812073670542816
79,0.2,le,0.8657595359500201
79,0.2,le2,0.8657595359500201
79,0.2,sl,1
79,0.2,sl2,1
78,0.2,wt,1
78,0.2,wt2,1
78,0.2,l,1
78,0.2,l2,1
78,0.2,fg,1
78,0.2,fg2,1
78,0.2,eb,0.34404402866684347
78,0.2,eb2,0.36649172371810107
78,0.2,im,1
78,0.2,im2,1
78,0.2,lp,1
78,0.2,lp2,1
78,0.2,le,1
78,0.2,le2,1
78,0.2,sl,1
78,0.2,sl2,1
77,0.2,wt,1
77,0.2,wt2,1
77,0.2,l,1
77,0.2,l2,1
77,0.2,fg,1
77,0.2,fg2,1
77,0.2,eb,0.28429686321509057
77,0.2,eb2,0.35085566508238264
77,0.2,im,1
77,0.2,im2,1
77,0.2,lp,1
77,0.2,lp2,1
77,0.2,le,0.9085239674365879
77,0.2,le2,0.901969088714262
77,0.2,sl,1
77,0.2,sl2,0.9596486047623688
76,0.2,wt,1
76,0.2,wt2,1
76,0.2,l,1
76,0.2,l2,1
76,0.2,fg,1
76,0.2,fg2,1
76,0.2,eb,0.34386826292225375
76,0.2,eb2,0.34386826292225375
76,0.2,im,1
76,0.2,im2,1
76,0.2,lp,1
76,0.2,lp2,1
76,0.2,le,0.82918385917247
76,0.2,le2,0.8400835037373767
76,0.2,sl,0.9504688143856664
76,0.2,sl2,1
75,0.2,wt,1
75,0.2,wt2,1
75,0.2,l,1
75,0.2,l2,1
75,0.2,fg,1
75,0.2,fg2,1
75,0.2,eb,0.3783990638306786
75,0.2,eb2,0.3783990638306786
75,0.2,im,1
75,0.2,im2,1
75,0.2,lp,1
75,0.2,lp2,1
75,0.2,le,0.7809741727964196
75,0.2,le2,0.7809741727964196
75,0.2,sl,0.9553295068068435
75,0.2,sl2,0.9553295068068435
74,0.2,wt,1
74,0.2,wt2,1
74,0.2,l,1
74,0.2,l2,1
74,0.2,fg,1
74,0.2,fg2,1
74,0.2,eb,0.3300401149243315
74,0.2,eb2,0.37846248340083055
74,0.2,im,1
74,0.2,im2,1
74,0.2,lp,1
74,0.2,lp2,0.8131111511642929
74,0.2,le,0.8175521076158198
74,0.2,le2,0.8175521076158198
74,0.2,sl,1
74,0.2,sl2,1
73,0.2,wt,1
73,0.2,wt2,1
73,0.2,l,1
73,0.2,l2,1
73,0.2,fg,1
73,0.2,fg2,1
73,0.2,eb,0.3424910350016465
73,0.2,eb2,0.3424910350016465
73,0.2,im,1
73,0.2,im2,1
73,0.2,lp,1
73,0.2,lp2,1
73,0.2,le,0.785434160452175
73,0.2,le2,0.785434160452175
73,0.2,sl,1
73,0.2,sl2,1
72,0.2,wt,1
72,0.2,wt2,1
72,0.2,l,1
72,0.2,l2,1
72,0.2,fg,1
72,0.2,fg2,1
72,0.2,eb,0.46754757560646526
72,0.2,eb2,0.46754757560646526
72,0.2,im,1
72,0.2,im2,1
72,0.2,lp,0.7473684023922842
72,0.2,lp2,1
72,0.2,le,0.664278537843509
72,0.2,le2,0.6906380105921361
72,0.2,sl,1
72,0.2,sl2,0.9517556786891606
71,0.2,wt,1
71,0.2,wt2,1
71,0.2,l,1
71,0.2,l2,1
71,0.2,fg,1
71,0.2,fg2,1
71,0.2,eb,0.35676416470929323
71,0.2,eb2,0.35676416470929323
71,0.2,im,1
71,0.2,im2,1
71,0.2,lp,1
71,0.2,lp2,1
71,0.2,le,0.812552112188856
71,0.2,le2,0.8200670790620185
71,0.2,sl,1
71,0.2,sl2,0.9563503836920876
70,0.2,wt,1
70,0.2,wt2,1
70,0.2,l,1
70,0.2,l2,1
70,0.2,fg,1
70,0.2,fg2,1
70,0.2,eb,0.36819151032959624
70,0.2,eb2,0.36819151032959624
70,0.2,im,1
70,0.2,im2,1
70,0.2,lp,1
70,0.2,lp2,1
70,0.2,le,1
70,0.2,le2,1
70,0.2,sl,1
70,0.2,sl2,1
69,0.2,wt,1
69,0.2,wt2,1
69,0.2,l,1
69,0.2,l2,1
69,0.2,fg,1
69,0.2,fg2,1
69,0.2,eb,0.05947604018993486
69,0.2,eb2,0.33354733273848397
69,0.2,im,1
69,0.2,im2,1
69,0.2,lp,1
69,0.2,lp2,1
69,0.2,le,0.7846990113376088
69,0.2,le2,0.7892728684499882
69,0.2,sl,1
69,0.2,sl2,1
68,0.2,wt,1
68,0.2,wt2,1
68,0.2,l,1
68,0.2,l2,1
68,0.2,fg,1
68,0.2,fg2,1
68,0.2,eb,0.3476468013101105
68,0.2,eb2,0.33645641855187136
68,0.2,im,1
68,0.2,im2,1
68,0.2,lp,1
68,0.2,lp2,1
68,0.2,le,0.958149337600307
68,0.2,le2,0.958149337600307
68,0.2,sl,0.958149337600307
68,0.2,sl2,1
67,0.2,wt,1
67,0.2,wt2,1
67,0.2,l,1
67,0.2,l2,1
67,0.2,fg,1
67,0.2,fg2,1
67,0.2,eb,0.3430753659691162
67,0.2,eb2,0.3599016688122153
67,0.2,im,1
67,0.2,im2,1
67,0.2,lp,0.5535109356132303
67,0.2,lp2,1
67,0.2,le,0.836983824396011
67,0.2,le2,0.8335240575229932
67,0.2,sl,1
67,0.2,sl2,1
66,0.2,wt,1
66,0.2,wt2,1
66,0.2,l,1
66,0.2,l2,1
66,0.2,fg,1
66,0.2,fg2,1
66,0.2,eb,0.3553213085360857
66,0.2,eb2,0.3553213085360857
66,0.2,im,1
66,0.2,im2,1
66,0.2,lp,1
66,0.2,lp2,1
66,0.2,le,0.8066556532026974
66,0.2,le2,0.8635809370618789
66,0.2,sl,1
66,0.2,sl2,1
65,0.2,wt,1
65,0.2,wt2,1
65,0.2,l,1
65,0.2,l2,1
65,0.2,fg,0.9511598653576102
65,0.2,fg2,0.9511598653576102
65,0.2,eb,0.4132046408812277
65,0.2,eb2,0.4132046408812277
65,0.2,im,1
65,0.2,im2,1
65,0.2,lp,1
65,0.2,lp2,1
65,0.2,le,NA
65,0.2,le2,0.7443269624850399
65,0.2,sl,0.9543725560626554
65,0.2,sl2,1
64,0.2,wt,1
64,0.2,wt2,1
64,0.2,l,1
64,0.2,l2,1
64,0.2,fg,1
64,0.2,fg2,1
64,0.2,eb,0.3762774468248675
