X1,Media,State,Regional,Digital,Indian,English
143,TELUGUMIRCHI.COM,AP_TG,Y,Y,Y,N
144,The Economic Times,NT,N,N,Y,Y
145,The Economist Group,None,N,N,N,Y
146,The Guardian,None,N,N,N,Y
147,The Hindu Group,NT,N,N,Y,Y
148,The Local Europe,None,N,Y,N,Y
149,The Sun Online,None,N,N,N,Y
150,The Times Of India Sites,NT,N,N,Y,Y
151,THEBETTERINDIA.COM,NT,N,Y,Y,Y
152,THEDAILYBEAST.COM,None,N,Y,N,Y
153,THEDIPLOMAT.COM,None,N,N,N,Y
154,THEFAMOUSPEOPLE.COM,None,N,Y,Y,Y
155,THENATIONAL.AE,None,N,N,N,Y
156,TOLIVELUGU.COM,AP_TG,Y,Y,Y,N
157,TOPYAPS.COM,NT,N,Y,Y,Y
158,Torstar Digital,None,N,N,N,Y
159,TRIBUNE.COM.PK,NT,N,N,Y,Y
160,TRIBUNEINDIA.COM,HD_RJ_PJ,Y,N,Y,Y
161,TUPAKI.COM,AP_TG,Y,Y,Y,N
162,UDAYAVANI.COM,KA,Y,N,Y,N
163,USA TODAY Network,None,N,N,N,Y
164,USNews,None,N,N,N,Y
165,V6NEWS.TV,AP_TG,Y,N,Y,B
166,VAARTHA.COM,AP_TG,Y,N,Y,N
167,VALAITAMIL.COM,TN,Y,Y,Y,N
168,VCCIRCLE.COM,NT,N,Y,Y,Y
169,VICE Media,None,N,Y,N,Y
170,VIKATAN.COM,TN,Y,N,Y,N
171,Voice Of America,None,N,N,N,Y
172,VOX.COM,None,N,Y,N,Y
173,WASHINGTONPOST.COM,None,N,N,N,Y
174,YOUTHKIAWAAZ.COM,NT,N,Y,Y,Y
