run,alpha,method,NMI_scores
100,0.8,wt,0.1288536024165613
100,0.8,wt2,0
100,0.8,l,0.37156366453668876
100,0.8,l2,0.3861412217555773
100,0.8,fg,0.1643338473134938
100,0.8,fg2,0.3309413427900079
100,0.8,eb,0
100,0.8,eb2,0.3907404876240144
100,0.8,im,0
100,0.8,im2,0
100,0.8,lp,0
100,0.8,lp2,0.3950585247382826
100,0.8,le,0.17561247809751268
100,0.8,le2,0.40006791965706134
100,0.8,sl,0.2891912864102813
100,0.8,sl2,0.2891912864102813
99,0.8,wt,0.24341005571818367
99,0.8,wt2,0
99,0.8,l,0.41995686832849505
99,0.8,l2,0.6835554036344539
99,0.8,fg,0.22797925702458466
99,0.8,fg2,0.6170066715437595
99,0.8,eb,0
99,0.8,eb2,0.40714574944957677
99,0.8,im,0
99,0.8,im2,0
99,0.8,lp,0
99,0.8,lp2,0.4072904222144699
99,0.8,le,0.33272514956370636
99,0.8,le2,0.5572052708765242
99,0.8,sl,0.41995686832849505
99,0.8,sl2,0.4584833042028086
98,0.8,wt,0.39372195507393337
98,0.8,wt2,0
98,0.8,l,0.5871116887140254
98,0.8,l2,0.6902653778756406
98,0.8,fg,0.15445918918900056
98,0.8,fg2,0.6622585361840834
98,0.8,eb,0
98,0.8,eb2,0.40508620213284735
98,0.8,im,0
98,0.8,im2,0
98,0.8,lp,0
98,0.8,lp2,0.40930256610714555
98,0.8,le,0.20277559615189725
98,0.8,le2,0.45008752767965154
98,0.8,sl,0.5651626868814817
98,0.8,sl2,0.35704791407595265
97,0.8,wt,0.46634309545243086
97,0.8,wt2,0
97,0.8,l,0.29769119177376496
97,0.8,l2,0.3154063055535036
97,0.8,fg,0.20993442911072424
97,0.8,fg2,0.42649288557317283
97,0.8,eb,0
97,0.8,eb2,0.3727999075654727
97,0.8,im,0
97,0.8,im2,0
97,0.8,lp,0
97,0.8,lp2,0.40206243087819177
97,0.8,le,0.3315090238964352
97,0.8,le2,0.36328989453741695
97,0.8,sl,0.30777319996468505
97,0.8,sl2,0.31555737912159343
96,0.8,wt,0.24950938921546975
96,0.8,wt2,0
96,0.8,l,0.28505866734474694
96,0.8,l2,0.48051778280047724
96,0.8,fg,0.3320080543744132
96,0.8,fg2,0.43067837999146746
96,0.8,eb,0
96,0.8,eb2,0.39763794508769035
96,0.8,im,0
96,0.8,im2,0
96,0.8,lp,0
96,0.8,lp2,0.4076272018813188
96,0.8,le,0.20928181370976331
96,0.8,le2,0.29045360160385636
96,0.8,sl,0.18098329889775883
96,0.8,sl2,0.18098329889775883
95,0.8,wt,0.3192998054798096
95,0.8,wt2,0
95,0.8,l,0.4476020444028706
95,0.8,l2,0.49128570483484535
95,0.8,fg,0.31523646852716086
95,0.8,fg2,0.4254897333721631
95,0.8,eb,0
95,0.8,eb2,0.4004831062019993
95,0.8,im,0
95,0.8,im2,0
95,0.8,lp,0
95,0.8,lp2,0.4004831062019993
95,0.8,le,0.22541518748671163
95,0.8,le2,0.32412247619935264
95,0.8,sl,0.22834465809357557
95,0.8,sl2,0.35450932034762483
94,0.8,wt,0.2898712609811465
94,0.8,wt2,0
94,0.8,l,0.2914155960295366
94,0.8,l2,0.48084143196753026
94,0.8,fg,0.32879026096711583
94,0.8,fg2,0.5141239292528174
94,0.8,eb,0
94,0.8,eb2,0.40146489638537547
94,0.8,im,0
94,0.8,im2,0
94,0.8,lp,0
94,0.8,lp2,0.3986195730257
94,0.8,le,0.19971728866375366
94,0.8,le2,0.36282129768713806
94,0.8,sl,0.2819556878918583
94,0.8,sl2,0.28464982660064686
93,0.8,wt,0.29935969548034363
93,0.8,wt2,0
93,0.8,l,0.44328956019812094
93,0.8,l2,0.582455262369394
93,0.8,fg,0.346228233827493
93,0.8,fg2,0.4965350892617118
93,0.8,eb,0
93,0.8,eb2,0.38544877511531017
93,0.8,im,0
93,0.8,im2,0
93,0.8,lp,0
93,0.8,lp2,0.40991848008441434
93,0.8,le,0.35089117166858524
93,0.8,le2,0.38347118350708576
93,0.8,sl,0.4866094729062665
93,0.8,sl2,0.3786460997934607
92,0.8,wt,0.1595565126421125
92,0.8,wt2,0
92,0.8,l,0.20637166523513198
92,0.8,l2,0.36365888253993756
92,0.8,fg,0.13099167137250894
92,0.8,fg2,0.3369022486304589
92,0.8,eb,0
92,0.8,eb2,0.3781500653631457
92,0.8,im,0
92,0.8,im2,0
92,0.8,lp,0
92,0.8,lp2,0.39751762767356125
92,0.8,le,0.1552740208857965
92,0.8,le2,0.3681517639562574
92,0.8,sl,0.3364650584863467
92,0.8,sl2,0.27199407521105334
91,0.8,wt,0.1144111481045779
91,0.8,wt2,0
91,0.8,l,0.25037223195216274
91,0.8,l2,0.3767139872825444
91,0.8,fg,0.2376053956040274
91,0.8,fg2,0.46941444205842064
91,0.8,eb,0
91,0.8,eb2,0.3826194801256609
91,0.8,im,0
91,0.8,im2,0
91,0.8,lp,0
91,0.8,lp2,0.4088371561353432
91,0.8,le,0.12151737274129268
91,0.8,le2,0.2820591816898112
91,0.8,sl,0.20169168526559578
91,0.8,sl2,0.17752168978040694
90,0.8,wt,0.15966827498026087
90,0.8,wt2,0
90,0.8,l,0.3916216626194543
90,0.8,l2,0.5553464709782209
90,0.8,fg,0.35407162302749484
90,0.8,fg2,0.5455578210701333
90,0.8,eb,0
90,0.8,eb2,0.40083157627043753
90,0.8,im,0
90,0.8,im2,0
90,0.8,lp,0
90,0.8,lp2,0.40083157627043753
90,0.8,le,0.15880125940058057
90,0.8,le2,0.3811786910043266
90,0.8,sl,0.42417438996360607
90,0.8,sl2,0.42417438996360607
89,0.8,wt,0.33050309291736224
89,0.8,wt2,0
89,0.8,l,0.3630765939711577
89,0.8,l2,0.5026223822686797
89,0.8,fg,0.35756713821672825
89,0.8,fg2,0.43047164132109395
89,0.8,eb,0
89,0.8,eb2,0.3904664297860662
89,0.8,im,0
89,0.8,im2,0
89,0.8,lp,0
89,0.8,lp2,0.39921386909765366
89,0.8,le,0.135289941164131
89,0.8,le2,0.4383377752257392
89,0.8,sl,0.26544745139101195
89,0.8,sl2,0.39754013058315435
88,0.8,wt,0.28669985847011764
88,0.8,wt2,0
88,0.8,l,0.38987002854617225
88,0.8,l2,0.7006479277317943
88,0.8,fg,0.24808529867731266
88,0.8,fg2,0.42783724884685675
88,0.8,eb,0
88,0.8,eb2,0.37522673845394056
88,0.8,im,0
88,0.8,im2,0
88,0.8,lp,0
88,0.8,lp2,0.4044254653452111
88,0.8,le,0.21329941355640014
88,0.8,le2,0.371545785342271
88,0.8,sl,0.34756048533172973
88,0.8,sl2,0.34756048533172973
87,0.8,wt,0.2802878869784799
87,0.8,wt2,0
87,0.8,l,0.4654181015394699
87,0.8,l2,0.5446631639023031
87,0.8,fg,0.34808986870730574
87,0.8,fg2,0.538195916163641
87,0.8,eb,0
87,0.8,eb2,0.37421277786028156
87,0.8,im,0
87,0.8,im2,0
87,0.8,lp,0
87,0.8,lp2,0.3846699242317738
87,0.8,le,0.11732792360401917
87,0.8,le2,0.3064735556924731
87,0.8,sl,0.5055460567986503
87,0.8,sl2,0.4453437038057434
86,0.8,wt,0.2715873608348157
86,0.8,wt2,0
86,0.8,l,0.5204173282596758
86,0.8,l2,0.4886670851772373
86,0.8,fg,0.3816366048225609
86,0.8,fg2,0.43081065998325035
86,0.8,eb,0
86,0.8,eb2,0.3917985705569773
86,0.8,im,0
86,0.8,im2,0
86,0.8,lp,0
86,0.8,lp2,0.3968768974306056
86,0.8,le,0.2236831448437896
86,0.8,le2,0.34058365727581563
86,0.8,sl,0.2612262580166777
86,0.8,sl2,0.27090439393492194
85,0.8,wt,0.10686624160543903
85,0.8,wt2,0
85,0.8,l,0.2618788675731187
85,0.8,l2,0.37109703204398187
85,0.8,fg,0.15034469885588164
85,0.8,fg2,0.40387831217713427
85,0.8,eb,0
85,0.8,eb2,0.39367030624447147
85,0.8,im,0
85,0.8,im2,0
85,0.8,lp,0
85,0.8,lp2,0.39679947698637863
85,0.8,le,0.1443742335280498
85,0.8,le2,0.32841811303958485
85,0.8,sl,0.2634010717325924
85,0.8,sl2,0.2634010717325924
84,0.8,wt,0.16109997566949016
84,0.8,wt2,0
84,0.8,l,0.26393638493951427
84,0.8,l2,0.46134593297469056
84,0.8,fg,0.3147476385750913
84,0.8,fg2,0.4646776752586188
84,0.8,eb,0
84,0.8,eb2,0.40004506795207506
84,0.8,im,0
84,0.8,im2,0
84,0.8,lp,0
84,0.8,lp2,0.4028787314243377
84,0.8,le,0.15788528818392475
84,0.8,le2,0.43324318497212017
84,0.8,sl,0.4574459320531651
84,0.8,sl2,0.28149631792292984
83,0.8,wt,0.2847318468173638
83,0.8,wt2,0
83,0.8,l,0.4498626915871271
83,0.8,l2,0.43535481602005976
83,0.8,fg,0.19013133634715126
83,0.8,fg2,0.5250259467182006
83,0.8,eb,0
83,0.8,eb2,0.40327238513221636
83,0.8,im,0
83,0.8,im2,0
83,0.8,lp,0
83,0.8,lp2,0.40327238513221636
83,0.8,le,0.09271665313066808
83,0.8,le2,0.3451189936527935
83,0.8,sl,0.7121728980356047
83,0.8,sl2,0.4107960837857745
82,0.8,wt,0.1726081542882004
82,0.8,wt2,0
82,0.8,l,0.19492977672955436
82,0.8,l2,0.4207280434480244
82,0.8,fg,0.12122464742220981
82,0.8,fg2,0.36694398433719977
82,0.8,eb,0
82,0.8,eb2,0.3735277883883554
82,0.8,im,0
82,0.8,im2,0
82,0.8,lp,0
82,0.8,lp2,0.4052456505573998
82,0.8,le,0.19145487747555556
82,0.8,le2,0.3355511475038646
82,0.8,sl,0.14328589186934565
82,0.8,sl2,0.19707977172875987
81,0.8,wt,0.15669451871549123
81,0.8,wt2,0
81,0.8,l,0.1766485995591554
81,0.8,l2,0.2910791005339749
81,0.8,fg,0.1703230099959559
81,0.8,fg2,0.23787546145751737
81,0.8,eb,0
81,0.8,eb2,0.37482750214273447
81,0.8,im,0
81,0.8,im2,0
81,0.8,lp,0
81,0.8,lp2,0.4067352604052063
81,0.8,le,0.14230713949254717
81,0.8,le2,0.2468206893606662
81,0.8,sl,0.1723557730758593
81,0.8,sl2,0.25545157857322415
80,0.8,wt,0.26074968193763504
80,0.8,wt2,0
80,0.8,l,0.3454026244887694
80,0.8,l2,0.5717191961456557
80,0.8,fg,0.252247313609399
80,0.8,fg2,0.4412847383143815
80,0.8,eb,0
80,0.8,eb2,0.396158746743423
80,0.8,im,0
80,0.8,im2,0
80,0.8,lp,0
80,0.8,lp2,0.396158746743423
