curr_rho,mxp1,mxp2
0.7,0.8046464646464646,0.7887128712871287
0.7,0.8020622725434695,0.7861672611969878
0.7,0.8026097763048882,0.786323051948052
0.7,0.8056172964235199,0.7896613190730838
0.7,0.8063472811805135,0.7903705171388944
0.7,0.7960553070353802,0.7801913112793942
0.7,0.7923232323232323,0.7766336633663367
0.7,0.7921212121212121,0.7764356435643565
0.7,0.7918350848827809,0.776148969889065
0.7,0.8002136752136753,0.7834728033472803
0.7,0.8010101010101011,0.7851485148514852
0.7,0.6216489630753668,0.5920038535645472
0.7,0.8067974914019826,0.7907991275034701
0.7,0.7957437472575691,0.778660369257192
0.7,0.805050505050505,0.7891089108910891
0.7,0.7989258861439312,0.7821240799158781
0.7,0.7959137343927355,0.7782463928967813
0.7,0.7993939393939394,0.7835643564356436
0.7,0.8050111133562335,0.7890671420083185
0.7,0.8024242424242424,0.7865346534653466
0.7,0.7997979797979798,0.783960396039604
0.7,0.8015676567656765,0.7853678253839935
0.7,0.8006060606060607,0.7847524752475248
0.7,0.7954032423558383,0.7794088075608284
0.7,0.7957122242836528,0.7796404766713795
0.7,0.8016161616161617,0.7857425742574258
0.7,0.8054545454545454,0.7895049504950495
0.7,0.8010853683990816,0.7847066039664691
0.7,0.8022993225210429,0.7861597264131965
0.7,0.7590559824368825,0.7387820512820513
0.7,0.8025490592757435,0.7866349395201269
0.7,0.8062626262626262,0.7902970297029703
0.7,0.7959555106167846,0.7801783944499504
0.7,0.8016161616161617,0.7857425742574258
0.7,0.7952708164915118,0.7795166402535658
0.7,0.8014141414141415,0.7855445544554456
0.7,0.7927272727272727,0.777029702970297
0.7,0.7883570504527814,0.7684741488020177
0.7,0.8054545454545454,0.7895049504950495
0.7,0.7967676767676768,0.780990099009901
0.7,0.8004040404040405,0.7845544554455446
0.7,0.7914730248535058,0.7757971875618934
0.7,0.8045220966084276,0.7883182275931521
0.7,0.802358682391216,0.7863690713431646
0.7,0.8066410204494837,0.7906330621154991
0.7,0.8038414384961177,0.7877452943532238
0.7,0.7965587044534413,0.7807539682539683
0.7,0.7957575757575758,0.78
0.7,0.8029286150091519,0.7869244568467212
0.7,0.7969590643274854,0.7787428571428572
0.7,0.8026176905214271,0.7860243952863345
0.7,0.8042596348884381,0.7882703777335984
0.7,0.7990155865463495,0.7829581993569131
0.7,0.801173139158576,0.785289452815226
0.7,0.7997491638795987,0.7833742833742834
0.7,0.8060667340748231,0.7900891972249752
0.7,0.8054545454545454,0.7895049504950495
0.7,0.7829696394686907,0.7648285449490269
0.7,0.8066869300911854,0.7906653426017874
0.7,0.7982189840113337,0.7823844475302519
0.7,0.8002020202020202,0.7843564356435644
0.7,0.7977973568281939,0.780603448275862
0.7,0.8014141414141415,0.7855445544554456
0.7,0.7798647633358378,0.7608111409723919
0.7,0.7985858585858586,0.7827722772277228
0.7,0.7951782820097245,0.7793884034948372
0.7,0.800161648817943,0.7843137254901961
0.7,0.805050505050505,0.7891089108910891
0.7,0.7826499170419531,0.7645288261171568
0.7,0.7982795698924732,0.7814736842105263
0.7,0.7929006085192698,0.7771371769383698
0.7,0.8008080808080809,0.784950495049505
0.7,0.8022732146686682,0.7854293512492126
0.7,0.7993908629441624,0.7834825870646767
0.7,0.8062626262626262,0.7902970297029703
0.7,0.8010101010101011,0.7851485148514852
0.7,0.8005657708628006,0.7847098435333729
0.7,0.7996765716595917,0.7838319793936992
0.7,0.7933407325194228,0.7761129207383279
0.7,0.7966686979484054,0.780808281903245
0.7,0.7990226023213195,0.7830772300937937
0.7,0.7951591214701927,0.7777290661990355
0.7,0.759493670886076,0.7391537225495447
0.7,0.8023515102371782,0.786409696006358
0.7,0.7959619952494061,0.7774941995359629
0.7,0.7967644084934277,0.7809712586719524
0.7,0.7905050505050505,0.7748514851485149
0.7,0.8048484848484848,0.788910891089109
0.7,0.803354890864996,0.7874405705229794
0.7,0.8007542426147077,0.7843217730350913
0.7,0.8014141414141415,0.7855445544554456
0.7,0.7927548441449032,0.7764026402640264
0.7,0.8006060606060607,0.7847524752475248
0.7,0.7966033158107562,0.7808164883075703
0.7,0.8022254881377283,0.7857289738844335
0.7,0.802441505595117,0.7864406779661017
0.7,0.7973737373737374,0.7815841584158416
0.7,0.8058193574459487,0.7898593780946722
0.7,0.8032323232323232,0.7873267326732674
0.7,0.8060214184683775,0.7900574371162606
