run,alpha,method,accuracies,c_count
83,1,fg2,0.4,7
83,1,eb,0.32,1
83,1,eb2,0.98,48
83,1,im,0.32,1
83,1,im2,0.32,1
83,1,lp,0.32,1
83,1,lp2,1,50
83,1,sl,0.38,3
83,1,sl2,0.32,2
82,1,wt,0.3,2
82,1,wt2,0.28,1
82,1,l,0.32,3
82,1,l2,0.42,7
82,1,fg,0.32,3
82,1,fg2,0.38,6
82,1,eb,0.28,1
82,1,eb2,0.9,43
82,1,im,0.28,1
82,1,im2,0.28,1
82,1,lp,0.28,1
82,1,lp2,1,50
82,1,sl,0.32,3
82,1,sl2,0.32,3
81,1,wt,0.24,2
81,1,wt2,0.24,1
81,1,l,0.26,2
81,1,l2,0.44,6
81,1,fg,0.24,2
81,1,fg2,0.42,7
81,1,eb,0.24,1
81,1,eb2,0.98,47
81,1,im,0.24,1
81,1,im2,0.24,1
81,1,lp,0.24,1
81,1,lp2,1,50
81,1,sl,0.24,2
81,1,sl2,0.24,2
80,1,wt,0.3,2
80,1,wt2,0.26,1
80,1,l,0.32,3
80,1,l2,0.46,8
80,1,fg,0.34,3
80,1,fg2,0.4,8
80,1,eb,0.26,1
80,1,eb2,0.94,46
80,1,im,0.26,1
80,1,im2,0.26,1
80,1,lp,0.26,1
80,1,lp2,1,50
80,1,sl,0.32,3
80,1,sl2,0.32,3
79,1,wt,0.32,2
79,1,wt2,0.26,1
79,1,l,0.28,2
79,1,l2,0.44,7
79,1,fg,0.28,2
79,1,fg2,0.44,6
79,1,eb,0.26,1
79,1,eb2,0.94,46
79,1,im,0.26,1
79,1,im2,0.26,1
79,1,lp,0.26,1
79,1,lp2,1,50
79,1,sl,0.32,3
79,1,sl2,0.3,3
78,1,wt,0.36,2
78,1,wt2,0.28,1
78,1,l,0.38,3
78,1,l2,0.38,8
78,1,fg,0.3,2
78,1,fg2,0.42,8
78,1,eb,0.28,1
78,1,eb2,1,50
78,1,im,0.28,1
78,1,im2,0.28,1
78,1,lp,0.28,1
78,1,lp2,1,50
78,1,sl,0.3,2
78,1,sl2,0.34,3
