run,alpha,method,accuracies,c_count
100,0.5,wt,1,5
100,0.5,wt2,1,5
100,0.5,l,1,5
100,0.5,l2,1,5
100,0.5,fg,0.94,5
100,0.5,fg2,0.96,5
100,0.5,eb,0.86,35
100,0.5,eb2,0.88,36
100,0.5,im,0.28,1
100,0.5,im2,0.28,1
100,0.5,lp,0.28,1
100,0.5,lp2,0.28,1
100,0.5,sl,1,6
100,0.5,sl2,0.98,5
99,0.5,wt,1,5
99,0.5,wt2,1,5
99,0.5,l,1,5
99,0.5,l2,1,5
99,0.5,fg,1,5
99,0.5,fg2,1,5
99,0.5,eb,0.96,36
99,0.5,eb2,0.96,36
99,0.5,im,0.28,1
99,0.5,im2,0.28,1
99,0.5,lp,0.28,1
99,0.5,lp2,0.28,1
99,0.5,sl,1,5
99,0.5,sl2,1,5
98,0.5,wt,1,5
98,0.5,wt2,1,5
98,0.5,l,1,5
98,0.5,l2,1,5
98,0.5,fg,0.96,5
98,0.5,fg2,1,5
98,0.5,eb,0.22,1
98,0.5,eb2,0.8,34
98,0.5,im,0.22,1
98,0.5,im2,0.22,1
98,0.5,lp,0.22,1
98,0.5,lp2,0.22,1
98,0.5,sl,1,5
98,0.5,sl2,1,5
97,0.5,wt,1,5
97,0.5,wt2,0.84,4
97,0.5,l,1,5
97,0.5,l2,1,5
97,0.5,fg,0.84,4
97,0.5,fg2,0.98,5
97,0.5,eb,0.28,1
97,0.5,eb2,0.92,38
97,0.5,im,0.28,1
97,0.5,im2,0.28,1
97,0.5,lp,0.28,1
97,0.5,lp2,0.28,1
97,0.5,sl,0.86,5
97,0.5,sl2,1,5
96,0.5,wt,1,5
96,0.5,wt2,1,5
96,0.5,l,1,5
96,0.5,l2,1,5
96,0.5,fg,1,5
96,0.5,fg2,1,5
96,0.5,eb,0.22,1
96,0.5,eb2,0.84,33
96,0.5,im,0.22,1
96,0.5,im2,0.22,1
96,0.5,lp,0.22,1
96,0.5,lp2,0.22,1
96,0.5,sl,1,5
96,0.5,sl2,1,5
95,0.5,wt,1,5
95,0.5,wt2,1,5
95,0.5,l,1,5
95,0.5,l2,1,5
95,0.5,fg,0.98,5
95,0.5,fg2,1,5
95,0.5,eb,0.52,16
95,0.5,eb2,0.82,33
95,0.5,im,0.24,1
95,0.5,im2,0.24,1
95,0.5,lp,0.24,1
95,0.5,lp2,0.24,1
95,0.5,sl,1,5
95,0.5,sl2,1,5
94,0.5,wt,1,5
94,0.5,wt2,1,5
94,0.5,l,1,5
94,0.5,l2,1,5
94,0.5,fg,1,5
94,0.5,fg2,1,5
94,0.5,eb,0.94,32
94,0.5,eb2,0.94,32
94,0.5,im,0.24,1
94,0.5,im2,0.24,1
94,0.5,lp,0.24,1
