run,alpha,method,accuracies
983,0.8,fg2,0.46
983,0.8,eb,0.38
983,0.8,eb2,0.98
983,0.8,im,0.38
983,0.8,im2,0.38
983,0.8,lp,0.38
983,0.8,lp2,1
983,0.8,sl,0.46
983,0.8,sl2,0.46
982,0.8,wt,0.44
982,0.8,wt2,0.32
982,0.8,l,0.56
982,0.8,l2,0.68
982,0.8,fg,0.4
982,0.8,fg2,0.68
982,0.8,eb,0.32
982,0.8,eb2,0.96
982,0.8,im,0.32
982,0.8,im2,0.32
982,0.8,lp,0.32
982,0.8,lp2,1
982,0.8,sl,0.38
982,0.8,sl2,0.38
981,0.8,wt,0.4
981,0.8,wt2,0.26
981,0.8,l,0.54
981,0.8,l2,0.74
981,0.8,fg,0.46
981,0.8,fg2,0.66
981,0.8,eb,0.26
981,0.8,eb2,0.94
981,0.8,im,0.26
981,0.8,im2,0.26
981,0.8,lp,0.26
981,0.8,lp2,1
981,0.8,sl,0.54
981,0.8,sl2,0.56
980,0.8,wt,0.52
980,0.8,wt2,0.4
980,0.8,l,0.64
980,0.8,l2,0.68
980,0.8,fg,0.4
980,0.8,fg2,0.68
980,0.8,eb,0.4
980,0.8,eb2,0.86
980,0.8,im,0.4
980,0.8,im2,0.4
980,0.8,lp,0.4
980,0.8,lp2,1
980,0.8,sl,0.6
980,0.8,sl2,0.58
979,0.8,wt,0.42
979,0.8,wt2,0.3
979,0.8,l,0.48
979,0.8,l2,0.64
979,0.8,fg,0.46
979,0.8,fg2,0.62
979,0.8,eb,0.3
979,0.8,eb2,0.82
979,0.8,im,0.3
979,0.8,im2,0.3
979,0.8,lp,0.3
979,0.8,lp2,1
979,0.8,sl,0.62
979,0.8,sl2,0.62
978,0.8,wt,0.54
978,0.8,wt2,0.24
978,0.8,l,0.54
978,0.8,l2,0.66
978,0.8,fg,0.6
978,0.8,fg2,0.64
978,0.8,eb,0.24
978,0.8,eb2,0.96
978,0.8,im,0.24
978,0.8,im2,0.24
978,0.8,lp,0.24
978,0.8,lp2,1
978,0.8,sl,0.62
978,0.8,sl2,0.64
977,0.8,wt,0.36
977,0.8,wt2,0.28
977,0.8,l,0.36
977,0.8,l2,0.5
977,0.8,fg,0.34
977,0.8,fg2,0.44
977,0.8,eb,0.28
977,0.8,eb2,0.96
977,0.8,im,0.28
977,0.8,im2,0.28
977,0.8,lp,0.28
977,0.8,lp2,1
977,0.8,sl,0.4
977,0.8,sl2,0.4
976,0.8,wt,0.46
976,0.8,wt2,0.28
976,0.8,l,0.5
976,0.8,l2,0.6
976,0.8,fg,0.5
976,0.8,fg2,0.6
976,0.8,eb,0.28
976,0.8,eb2,1
976,0.8,im,0.28
976,0.8,im2,0.28
976,0.8,lp,0.28
976,0.8,lp2,1
976,0.8,sl,0.5
976,0.8,sl2,0.5
975,0.8,wt,0.5
975,0.8,wt2,0.3
975,0.8,l,0.54
975,0.8,l2,0.64
975,0.8,fg,0.42
