run,alpha,method,accuracies
982,0.5,l2,1
982,0.5,fg,1
982,0.5,fg2,1
982,0.5,eb,0.64
982,0.5,eb2,0.84
982,0.5,im,0.3
982,0.5,im2,0.3
982,0.5,lp,0.3
982,0.5,lp2,0.3
982,0.5,sl,1
982,0.5,sl2,1
981,0.5,wt,1
981,0.5,wt2,1
981,0.5,l,1
981,0.5,l2,1
981,0.5,fg,0.98
981,0.5,fg2,0.98
981,0.5,eb,0.9
981,0.5,eb2,0.9
981,0.5,im,0.3
981,0.5,im2,0.3
981,0.5,lp,0.3
981,0.5,lp2,0.3
981,0.5,sl,0.98
981,0.5,sl2,1
980,0.5,wt,0.98
980,0.5,wt2,1
980,0.5,l,1
980,0.5,l2,1
980,0.5,fg,0.96
980,0.5,fg2,0.96
980,0.5,eb,0.98
980,0.5,eb2,0.98
980,0.5,im,0.3
980,0.5,im2,0.3
980,0.5,lp,0.3
980,0.5,lp2,0.3
980,0.5,sl,0.98
980,0.5,sl2,1
979,0.5,wt,1
979,0.5,wt2,1
979,0.5,l,1
979,0.5,l2,1
979,0.5,fg,1
979,0.5,fg2,1
979,0.5,eb,0.84
979,0.5,eb2,0.84
979,0.5,im,0.3
979,0.5,im2,0.3
979,0.5,lp,0.3
979,0.5,lp2,0.3
979,0.5,sl,1
979,0.5,sl2,1
978,0.5,wt,0.8
978,0.5,wt2,0.8
978,0.5,l,1
978,0.5,l2,1
978,0.5,fg,0.78
978,0.5,fg2,0.78
978,0.5,eb,0.48
978,0.5,eb2,0.9
978,0.5,im,0.3
978,0.5,im2,0.3
978,0.5,lp,0.3
978,0.5,lp2,0.3
978,0.5,sl,1
978,0.5,sl2,1
977,0.5,wt,0.84
977,0.5,wt2,0.84
977,0.5,l,1
977,0.5,l2,1
977,0.5,fg,0.94
977,0.5,fg2,0.94
977,0.5,eb,0.3
977,0.5,eb2,0.9
977,0.5,im,0.3
977,0.5,im2,0.3
977,0.5,lp,0.3
977,0.5,lp2,0.3
977,0.5,sl,1
977,0.5,sl2,1
976,0.5,wt,1
976,0.5,wt2,1
976,0.5,l,1
976,0.5,l2,1
976,0.5,fg,0.98
976,0.5,fg2,1
976,0.5,eb,0.56
976,0.5,eb2,0.94
976,0.5,im,0.3
976,0.5,im2,0.3
976,0.5,lp,0.3
976,0.5,lp2,0.3
976,0.5,sl,1
976,0.5,sl2,1
975,0.5,wt,1
975,0.5,wt2,1
975,0.5,l,1
975,0.5,l2,1
975,0.5,fg,0.98
975,0.5,fg2,1
