curr_rho,mxp1,mxp2
0.5,0.7627118644067796,0.6835443037974683
0.5,0.42857142857142855,0.3302752293577982
0.5,0.3878787878787879,0.32989690721649484
0.5,0.5212765957446809,0.4083333333333333
0.5,0.6039325842696629,0.5361596009975063
0.5,0.7535816618911175,0.7032085561497327
0.5,0.7205479452054795,0.6477832512315271
0.5,0.6680080482897385,0.6091743119266055
0.5,0.3782051282051282,0.31891891891891894
0.5,0.6815068493150684,0.6048632218844985
0.5,0.7448186528497409,0.6995133819951338
0.5,0.4264705882352941,0.31521739130434784
0.5,0.6653696498054474,0.5816326530612245
0.5,0.7210216110019646,0.6612612612612613
0.5,0.6921296296296297,0.6268343815513627
0.5,0.6545454545454545,0.5538461538461539
0.5,0.44664031620553357,0.38175675675675674
0.5,0.5493421052631579,0.48830409356725146
0.5,0.29577464788732394,0.22580645161290322
0.5,0.6150627615062761,0.5268817204301075
0.5,0.5343511450381679,0.4294478527607362
0.5,0.7139107611548556,0.6430260047281324
0.5,0.6910569105691057,0.5821917808219178
0.5,0.46,0.36220472440944884
0.5,0.6564705882352941,0.5911016949152542
0.5,0.7022058823529411,0.6221498371335505
0.5,0.5298507462686567,0.46405228758169936
0.5,0.7373572593800979,0.6838124054462935
0.5,0.6778242677824268,0.5890909090909091
0.5,0.7681347150259067,0.7214111922141119
0.5,0.7342342342342343,0.6342412451361867
0.5,0.7373737373737373,0.6616314199395771
0.5,0.6985294117647058,0.59375
0.5,0.7635467980295566,0.6652360515021459
0.5,0.7567567567567568,0.7
0.5,0.6656716417910448,0.5883905013192612
0.5,0.28823529411764703,0.23444976076555024
0.5,0.6851211072664359,0.601823708206687
0.5,0.7359454855195912,0.6781789638932496
0.5,0.6666666666666666,0.593103448275862
0.5,0.45794392523364486,0.3858267716535433
0.5,0.49612403100775193,0.40764331210191085
0.5,0.33858267716535434,0.27044025157232704
0.5,0.7638888888888888,0.7025547445255474
0.5,0.721030042918455,0.6601178781925344
0.5,0.553314121037464,0.4897959183673469
0.5,0.3026315789473684,0.24210526315789474
0.5,0.7027027027027027,0.6265060240963856
0.5,0.5918367346938775,0.5087719298245614
0.5,0.7678832116788321,0.7175989085948158
0.5,0.592391304347826,0.5
0.5,0.6146788990825688,0.536
0.5,0.5548387096774193,0.4858757062146893
0.5,0.7268518518518519,0.6767241379310345
0.5,0.7204610951008645,0.6410256410256411
0.5,0.7404580152671756,0.6531986531986532
0.5,0.5656565656565656,0.48695652173913045
0.5,0.7359550561797753,0.6775862068965517
0.5,0.7513020833333334,0.7053789731051344
0.5,0.7711442786069652,0.7142857142857143
0.5,0.5070422535211268,0.3956043956043956
0.5,0.7694369973190348,0.691566265060241
0.5,0.7306590257879656,0.6555269922879178
0.5,0.3116883116883117,0.23529411764705882
0.5,0.7414634146341463,0.6386554621848739
0.5,0.2631578947368421,0.21212121212121213
0.5,0.7272727272727273,0.67008547008547
0.5,0.5483870967741935,0.46303501945525294
0.5,0.358974358974359,0.3017241379310345
0.5,0.3904761904761905,0.3082706766917293
0.5,0.7391304347826086,0.6517571884984026
0.5,0.7166666666666667,0.6515151515151515
0.5,0.6471774193548387,0.5889908256880734
0.5,0.7292682926829268,0.661504424778761
0.5,0.75,0.6957163958641064
0.5,0.5294117647058824,0.45348837209302323
0.5,0.6721311475409836,0.6074074074074074
0.5,0.7461538461538462,0.6751740139211136
0.5,0.5161290322580645,0.4409448818897638
0.5,0.7361702127659574,0.6731517509727627
0.5,0.6503496503496503,0.5705521472392638
0.5,0.47878787878787876,0.39303482587064675
0.5,0.6219512195121951,0.5387323943661971
0.5,0.7529411764705882,0.6866952789699571
0.5,0.4125560538116592,0.35658914728682173
0.5,0.7027863777089783,0.6219178082191781
0.5,0.7487001733102253,0.6945337620578779
0.5,0.7324414715719063,0.6441176470588236
0.5,0.7679900744416873,0.7231308411214953
0.5,0.6054421768707483,0.5329341317365269
0.5,0.6780045351473923,0.6164948453608248
0.5,0.7655860349127181,0.6898876404494382
0.5,0.6955503512880562,0.6332622601279317
0.5,0.7659574468085106,0.7058823529411765
0.5,0.3333333333333333,0.24778761061946902
0.5,0.7082352941176471,0.6431623931623932
0.5,0.6548672566371682,0.5796344647519582
0.5,0.5964912280701754,0.5132075471698113
0.5,0.7411764705882353,0.6786355475763016
0.5,0.6481069042316259,0.5855130784708249
