run,alpha,method,accuracies
988,0.9000000000000001,eb2,1
988,0.9000000000000001,im,0.28
988,0.9000000000000001,im2,0.28
988,0.9000000000000001,lp,0.28
988,0.9000000000000001,lp2,1
988,0.9000000000000001,sl,0.34
988,0.9000000000000001,sl2,0.34
987,0.9000000000000001,wt,0.28
987,0.9000000000000001,wt2,0.26
987,0.9000000000000001,l,0.34
987,0.9000000000000001,l2,0.52
987,0.9000000000000001,fg,0.28
987,0.9000000000000001,fg2,0.56
987,0.9000000000000001,eb,0.26
987,0.9000000000000001,eb2,0.92
987,0.9000000000000001,im,0.26
987,0.9000000000000001,im2,0.26
987,0.9000000000000001,lp,0.26
987,0.9000000000000001,lp2,1
987,0.9000000000000001,sl,0.36
987,0.9000000000000001,sl2,0.36
986,0.9000000000000001,wt,0.3
986,0.9000000000000001,wt2,0.22
986,0.9000000000000001,l,0.3
986,0.9000000000000001,l2,0.48
986,0.9000000000000001,fg,0.32
986,0.9000000000000001,fg2,0.46
986,0.9000000000000001,eb,0.22
986,0.9000000000000001,eb2,0.96
986,0.9000000000000001,im,0.22
986,0.9000000000000001,im2,0.22
986,0.9000000000000001,lp,0.22
986,0.9000000000000001,lp2,1
986,0.9000000000000001,sl,0.36
986,0.9000000000000001,sl2,0.36
985,0.9000000000000001,wt,0.4
985,0.9000000000000001,wt2,0.26
985,0.9000000000000001,l,0.34
985,0.9000000000000001,l2,0.46
985,0.9000000000000001,fg,0.28
985,0.9000000000000001,fg2,0.4
985,0.9000000000000001,eb,0.26
985,0.9000000000000001,eb2,1
985,0.9000000000000001,im,0.26
985,0.9000000000000001,im2,0.26
985,0.9000000000000001,lp,0.26
985,0.9000000000000001,lp2,1
985,0.9000000000000001,sl,0.28
985,0.9000000000000001,sl2,0.3
984,0.9000000000000001,wt,0.28
984,0.9000000000000001,wt2,0.28
984,0.9000000000000001,l,0.28
984,0.9000000000000001,l2,0.44
984,0.9000000000000001,fg,0.28
984,0.9000000000000001,fg2,0.48
984,0.9000000000000001,eb,0.28
984,0.9000000000000001,eb2,0.9
984,0.9000000000000001,im,0.28
984,0.9000000000000001,im2,0.28
984,0.9000000000000001,lp,0.28
984,0.9000000000000001,lp2,1
984,0.9000000000000001,sl,0.28
984,0.9000000000000001,sl2,0.28
983,0.9000000000000001,wt,0.3
983,0.9000000000000001,wt2,0.28
983,0.9000000000000001,l,0.42
983,0.9000000000000001,l2,0.46
983,0.9000000000000001,fg,0.3
983,0.9000000000000001,fg2,0.42
983,0.9000000000000001,eb,0.28
983,0.9000000000000001,eb2,1
983,0.9000000000000001,im,0.28
983,0.9000000000000001,im2,0.28
983,0.9000000000000001,lp,0.28
983,0.9000000000000001,lp2,1
983,0.9000000000000001,sl,0.3
983,0.9000000000000001,sl2,0.28
982,0.9000000000000001,wt,0.3
982,0.9000000000000001,wt2,0.24
982,0.9000000000000001,l,0.32
982,0.9000000000000001,l2,0.42
982,0.9000000000000001,fg,0.32
982,0.9000000000000001,fg2,0.38
982,0.9000000000000001,eb,0.24
982,0.9000000000000001,eb2,0.96
982,0.9000000000000001,im,0.24
982,0.9000000000000001,im2,0.24
982,0.9000000000000001,lp,0.24
982,0.9000000000000001,lp2,1
982,0.9000000000000001,sl,0.34
982,0.9000000000000001,sl2,0.34
981,0.9000000000000001,wt,0.3
981,0.9000000000000001,wt2,0.28
981,0.9000000000000001,l,0.34
981,0.9000000000000001,l2,0.44
981,0.9000000000000001,fg,0.28
981,0.9000000000000001,fg2,0.42
981,0.9000000000000001,eb,0.28
981,0.9000000000000001,eb2,0.92
981,0.9000000000000001,im,0.28
981,0.9000000000000001,im2,0.28
981,0.9000000000000001,lp,0.28
981,0.9000000000000001,lp2,1
981,0.9000000000000001,sl,0.32
981,0.9000000000000001,sl2,0.34
980,0.9000000000000001,wt,0.34
980,0.9000000000000001,wt2,0.28
980,0.9000000000000001,l,0.4
980,0.9000000000000001,l2,0.46
980,0.9000000000000001,fg,0.34
980,0.9000000000000001,fg2,0.44
980,0.9000000000000001,eb,0.28
980,0.9000000000000001,eb2,0.84
980,0.9000000000000001,im,0.28
980,0.9000000000000001,im2,0.28
980,0.9000000000000001,lp,0.28
980,0.9000000000000001,lp2,1
980,0.9000000000000001,sl,0.34
980,0.9000000000000001,sl2,0.34
979,0.9000000000000001,wt,0.32
979,0.9000000000000001,wt2,0.3
979,0.9000000000000001,l,0.3
979,0.9000000000000001,l2,0.44
979,0.9000000000000001,fg,0.36
979,0.9000000000000001,fg2,0.46
979,0.9000000000000001,eb,0.3
979,0.9000000000000001,eb2,1
979,0.9000000000000001,im,0.3
979,0.9000000000000001,im2,0.3
979,0.9000000000000001,lp,0.3
979,0.9000000000000001,lp2,1
979,0.9000000000000001,sl,0.42
979,0.9000000000000001,sl2,0.4
978,0.9000000000000001,wt,0.36
978,0.9000000000000001,wt2,0.26
978,0.9000000000000001,l,0.38
978,0.9000000000000001,l2,0.42
978,0.9000000000000001,fg,0.38
978,0.9000000000000001,fg2,0.42
978,0.9000000000000001,eb,0.26
978,0.9000000000000001,eb2,0.98
978,0.9000000000000001,im,0.26
978,0.9000000000000001,im2,0.26
978,0.9000000000000001,lp,0.26
978,0.9000000000000001,lp2,1
978,0.9000000000000001,sl,0.46
978,0.9000000000000001,sl2,0.36
977,0.9000000000000001,wt,0.24
977,0.9000000000000001,wt2,0.24
