run,alpha,method,accuracies
80,1,im,0.3
80,1,im2,0.3
80,1,lp,0.3
80,1,lp2,1
80,1,sl,0.36
80,1,sl2,0.38
79,1,wt,0.34
79,1,wt2,0.3
79,1,l,0.34
79,1,l2,0.4
79,1,fg,0.32
79,1,fg2,0.4
79,1,eb,0.3
79,1,eb2,0.98
79,1,im,0.3
79,1,im2,0.3
79,1,lp,0.3
79,1,lp2,1
79,1,sl,0.36
79,1,sl2,0.32
78,1,wt,0.26
78,1,wt2,0.26
78,1,l,0.32
78,1,l2,0.4
78,1,fg,0.3
78,1,fg2,0.34
78,1,eb,0.26
78,1,eb2,0.98
78,1,im,0.26
78,1,im2,0.26
78,1,lp,0.26
78,1,lp2,1
78,1,sl,0.32
78,1,sl2,0.32
77,1,wt,0.28
77,1,wt2,0.28
77,1,l,0.36
77,1,l2,0.4
77,1,fg,0.32
77,1,fg2,0.4
77,1,eb,0.28
77,1,eb2,1
77,1,im,0.28
77,1,im2,0.28
77,1,lp,0.28
77,1,lp2,1
77,1,sl,0.3
77,1,sl2,0.3
76,1,wt,0.32
76,1,wt2,0.26
76,1,l,0.32
76,1,l2,0.4
76,1,fg,0.32
76,1,fg2,0.52
76,1,eb,0.26
76,1,eb2,0.96
76,1,im,0.26
76,1,im2,0.26
76,1,lp,0.26
76,1,lp2,1
76,1,sl,0.32
76,1,sl2,0.32
75,1,wt,0.36
75,1,wt2,0.24
75,1,l,0.34
75,1,l2,0.36
75,1,fg,0.28
75,1,fg2,0.36
75,1,eb,0.24
75,1,eb2,0.98
75,1,im,0.24
75,1,im2,0.24
75,1,lp,0.24
75,1,lp2,1
75,1,sl,0.32
75,1,sl2,0.3
74,1,wt,0.3
74,1,wt2,0.22
74,1,l,0.28
74,1,l2,0.38
74,1,fg,0.3
74,1,fg2,0.4
74,1,eb,0.22
74,1,eb2,1
74,1,im,0.22
74,1,im2,0.22
74,1,lp,0.22
74,1,lp2,1
74,1,sl,0.36
74,1,sl2,0.34
73,1,wt,0.34
73,1,wt2,0.26
73,1,l,0.34
73,1,l2,0.44
73,1,fg,0.3
73,1,fg2,0.46
73,1,eb,0.26
73,1,eb2,0.88
73,1,im,0.26
73,1,im2,0.26
73,1,lp,0.26
73,1,lp2,1
73,1,sl,0.32
73,1,sl2,0.32
72,1,wt,0.28
72,1,wt2,0.28
72,1,l,0.28
72,1,l2,0.4
72,1,fg,0.28
72,1,fg2,0.44
72,1,eb,0.28
72,1,eb2,0.96
72,1,im,0.28
72,1,im2,0.28
72,1,lp,0.28
72,1,lp2,1
72,1,sl,0.28
72,1,sl2,0.28
71,1,wt,0.34
71,1,wt2,0.26
71,1,l,0.28
71,1,l2,0.48
71,1,fg,0.3
71,1,fg2,0.4
71,1,eb,0.26
71,1,eb2,0.98
71,1,im,0.26
71,1,im2,0.26
71,1,lp,0.26
71,1,lp2,1
71,1,sl,0.28
71,1,sl2,0.28
70,1,wt,0.34
70,1,wt2,0.28
70,1,l,0.36
70,1,l2,0.4
70,1,fg,0.4
70,1,fg2,0.38
70,1,eb,0.28
70,1,eb2,0.94
70,1,im,0.28
70,1,im2,0.28
70,1,lp,0.28
70,1,lp2,1
70,1,sl,0.38
70,1,sl2,0.38
69,1,wt,0.26
69,1,wt2,0.24
69,1,l,0.32
69,1,l2,0.42
69,1,fg,0.36
69,1,fg2,0.4
69,1,eb,0.24
69,1,eb2,0.86
69,1,im,0.24
69,1,im2,0.24
69,1,lp,0.24
69,1,lp2,1
69,1,sl,0.34
69,1,sl2,0.32
68,1,wt,0.32
68,1,wt2,0.22
68,1,l,0.3
68,1,l2,0.34
68,1,fg,0.3
68,1,fg2,0.38
68,1,eb,0.22
68,1,eb2,1
68,1,im,0.22
68,1,im2,0.22
68,1,lp,0.22
68,1,lp2,1
68,1,sl,0.36
68,1,sl2,0.36
67,1,wt,0.32
67,1,wt2,0.26
67,1,l,0.38
67,1,l2,0.34
67,1,fg,0.28
67,1,fg2,0.4
67,1,eb,0.26
67,1,eb2,0.94
67,1,im,0.26
67,1,im2,0.26
67,1,lp,0.26
67,1,lp2,1
67,1,sl,0.36
67,1,sl2,0.28
66,1,wt,0.34
66,1,wt2,0.28
66,1,l,0.38
66,1,l2,0.42
66,1,fg,0.34
66,1,fg2,0.38
66,1,eb,0.28
66,1,eb2,1
66,1,im,0.28
66,1,im2,0.28
66,1,lp,0.28
66,1,lp2,1
66,1,sl,0.36
66,1,sl2,0.36
65,1,wt,0.32
65,1,wt2,0.26
65,1,l,0.34
65,1,l2,0.4
65,1,fg,0.3
65,1,fg2,0.42
65,1,eb,0.26
65,1,eb2,0.94
65,1,im,0.26
65,1,im2,0.26
65,1,lp,0.26
65,1,lp2,1
65,1,sl,0.38
65,1,sl2,0.38
64,1,wt,0.3
64,1,wt2,0.26
64,1,l,0.34
64,1,l2,0.4
64,1,fg,0.32
64,1,fg2,0.4
64,1,eb,0.26
64,1,eb2,0.98
64,1,im,0.26
64,1,im2,0.26
64,1,lp,0.26
64,1,lp2,1
64,1,sl,0.34
64,1,sl2,0.32
63,1,wt,0.34
63,1,wt2,0.28
63,1,l,0.3
63,1,l2,0.46
63,1,fg,0.28
63,1,fg2,0.44
63,1,eb,0.28
63,1,eb2,1
63,1,im,0.28
63,1,im2,0.28
63,1,lp,0.28
63,1,lp2,1
63,1,sl,0.3
63,1,sl2,0.34
62,1,wt,0.36
62,1,wt2,0.28
62,1,l,0.36
62,1,l2,0.4
62,1,fg,0.34
62,1,fg2,0.4
62,1,eb,0.28
62,1,eb2,0.86
62,1,im,0.28
62,1,im2,0.28
62,1,lp,0.28
62,1,lp2,1
62,1,sl,0.38
62,1,sl2,0.38
61,1,wt,0.3
61,1,wt2,0.24
61,1,l,0.3
61,1,l2,0.52
61,1,fg,0.32
61,1,fg2,0.4
61,1,eb,0.24
61,1,eb2,0.92
61,1,im,0.24
61,1,im2,0.24
61,1,lp,0.24
61,1,lp2,1
61,1,sl,0.3
61,1,sl2,0.32
60,1,wt,0.34
60,1,wt2,0.34
60,1,l,0.36
60,1,l2,0.42
60,1,fg,0.34
60,1,fg2,0.42
60,1,eb,0.34
60,1,eb2,1
60,1,im,0.34
60,1,im2,0.34
60,1,lp,0.34
60,1,lp2,1
60,1,sl,0.36
60,1,sl2,0.36
59,1,wt,0.28
59,1,wt2,0.24
59,1,l,0.3
59,1,l2,0.4
59,1,fg,0.28
59,1,fg2,0.34
59,1,eb,0.24
59,1,eb2,0.98
59,1,im,0.24
59,1,im2,0.24
59,1,lp,0.24
59,1,lp2,1
59,1,sl,0.3
59,1,sl2,0.3
58,1,wt,0.4
58,1,wt2,0.34
58,1,l,0.4
58,1,l2,0.48
58,1,fg,0.34
58,1,fg2,0.4
58,1,eb,0.34
58,1,eb2,1
58,1,im,0.34
58,1,im2,0.34
58,1,lp,0.34
58,1,lp2,1
58,1,sl,0.38
58,1,sl2,0.4
57,1,wt,0.32
57,1,wt2,0.26
57,1,l,0.36
57,1,l2,0.44
57,1,fg,0.28
57,1,fg2,0.4
57,1,eb,0.26
57,1,eb2,0.9
57,1,im,0.26
57,1,im2,0.26
57,1,lp,0.26
57,1,lp2,1
57,1,sl,0.32
57,1,sl2,0.36
56,1,wt,0.38
56,1,wt2,0.28
56,1,l,0.3
56,1,l2,0.42
56,1,fg,0.32
56,1,fg2,0.4
56,1,eb,0.28
56,1,eb2,1
56,1,im,0.28
56,1,im2,0.28
56,1,lp,0.28
56,1,lp2,1
56,1,sl,0.3
56,1,sl2,0.3
55,1,wt,0.28
55,1,wt2,0.24
55,1,l,0.36
55,1,l2,0.44
55,1,fg,0.32
55,1,fg2,0.46
55,1,eb,0.24
55,1,eb2,1
55,1,im,0.24
55,1,im2,0.24
55,1,lp,0.24
55,1,lp2,1
55,1,sl,0.32
55,1,sl2,0.32
54,1,wt,0.4
54,1,wt2,0.4
54,1,l,0.4
54,1,l2,0.46
54,1,fg,0.4
54,1,fg2,0.42
54,1,eb,0.4
54,1,eb2,1
54,1,im,0.4
54,1,im2,0.4
54,1,lp,0.4
54,1,lp2,1
54,1,sl,0.4
54,1,sl2,0.4
53,1,wt,0.26
53,1,wt2,0.24
53,1,l,0.28
53,1,l2,0.38
53,1,fg,0.3
53,1,fg2,0.36
53,1,eb,0.24
53,1,eb2,0.98
53,1,im,0.24
53,1,im2,0.24
53,1,lp,0.24
53,1,lp2,1
53,1,sl,0.3
53,1,sl2,0.28
52,1,wt,0.3
52,1,wt2,0.26
52,1,l,0.38
52,1,l2,0.46
52,1,fg,0.34
52,1,fg2,0.48
52,1,eb,0.26
52,1,eb2,1
52,1,im,0.26
52,1,im2,0.26
52,1,lp,0.26
52,1,lp2,1
52,1,sl,0.36
52,1,sl2,0.36
51,1,wt,0.3
51,1,wt2,0.28
51,1,l,0.3
51,1,l2,0.38
51,1,fg,0.3
51,1,fg2,0.38
51,1,eb,0.28
51,1,eb2,0.98
51,1,im,0.28
