run,alpha,method,accuracies
983,1,sl2,0.32
982,1,wt,0.3
982,1,wt2,0.3
982,1,l,0.3
982,1,l2,0.44
982,1,fg,0.3
982,1,fg2,0.4
982,1,eb,0.3
982,1,eb2,0.94
982,1,im,0.3
982,1,im2,0.3
982,1,lp,0.3
982,1,lp2,1
982,1,sl,0.3
982,1,sl2,0.3
981,1,wt,0.38
981,1,wt2,0.32
981,1,l,0.36
981,1,l2,0.46
981,1,fg,0.36
981,1,fg2,0.46
981,1,eb,0.32
981,1,eb2,0.98
981,1,im,0.32
981,1,im2,0.32
981,1,lp,0.32
981,1,lp2,1
981,1,sl,0.36
981,1,sl2,0.36
980,1,wt,0.38
980,1,wt2,0.24
980,1,l,0.3
980,1,l2,0.42
980,1,fg,0.3
980,1,fg2,0.48
980,1,eb,0.24
980,1,eb2,0.96
980,1,im,0.24
980,1,im2,0.24
980,1,lp,0.24
980,1,lp2,1
980,1,sl,0.3
980,1,sl2,0.3
979,1,wt,0.3
979,1,wt2,0.3
979,1,l,0.32
979,1,l2,0.42
979,1,fg,0.3
979,1,fg2,0.42
979,1,eb,0.3
979,1,eb2,1
979,1,im,0.3
979,1,im2,0.3
979,1,lp,0.3
979,1,lp2,1
979,1,sl,0.36
979,1,sl2,0.32
978,1,wt,0.28
978,1,wt2,0.24
978,1,l,0.34
978,1,l2,0.34
978,1,fg,0.32
978,1,fg2,0.36
978,1,eb,0.24
978,1,eb2,1
978,1,im,0.24
978,1,im2,0.24
978,1,lp,0.24
978,1,lp2,1
978,1,sl,0.36
978,1,sl2,0.3
977,1,wt,0.34
977,1,wt2,0.32
977,1,l,0.32
977,1,l2,0.46
977,1,fg,0.32
977,1,fg2,0.46
977,1,eb,0.32
977,1,eb2,0.9
977,1,im,0.32
977,1,im2,0.32
977,1,lp,0.32
977,1,lp2,1
977,1,sl,0.32
977,1,sl2,0.32
976,1,wt,0.36
976,1,wt2,0.26
976,1,l,0.36
976,1,l2,0.36
976,1,fg,0.3
976,1,fg2,0.38
976,1,eb,0.26
976,1,eb2,1
976,1,im,0.26
976,1,im2,0.26
976,1,lp,0.26
976,1,lp2,1
976,1,sl,0.32
976,1,sl2,0.32
975,1,wt,0.3
975,1,wt2,0.24
975,1,l,0.32
975,1,l2,0.38
975,1,fg,0.26
975,1,fg2,0.36
975,1,eb,0.24
975,1,eb2,1
975,1,im,0.24
975,1,im2,0.24
975,1,lp,0.24
975,1,lp2,1
975,1,sl,0.28
975,1,sl2,0.28
974,1,wt,0.34
974,1,wt2,0.28
974,1,l,0.36
974,1,l2,0.42
974,1,fg,0.34
974,1,fg2,0.4
974,1,eb,0.28
974,1,eb2,0.88
974,1,im,0.28
974,1,im2,0.28
974,1,lp,0.28
974,1,lp2,1
974,1,sl,0.36
974,1,sl2,0.36
973,1,wt,0.34
973,1,wt2,0.28
973,1,l,0.3
973,1,l2,0.36
973,1,fg,0.28
973,1,fg2,0.34
973,1,eb,0.28
973,1,eb2,0.94
973,1,im,0.28
973,1,im2,0.28
973,1,lp,0.28
973,1,lp2,1
973,1,sl,0.32
973,1,sl2,0.32
972,1,wt,0.3
972,1,wt2,0.28
972,1,l,0.32
972,1,l2,0.42
972,1,fg,0.32
972,1,fg2,0.5
972,1,eb,0.28
972,1,eb2,0.96
972,1,im,0.28
972,1,im2,0.28
972,1,lp,0.28
972,1,lp2,1
972,1,sl,0.32
972,1,sl2,0.32
971,1,wt,0.26
971,1,wt2,0.26
971,1,l,0.28
971,1,l2,0.38
971,1,fg,0.26
971,1,fg2,0.38
971,1,eb,0.26
971,1,eb2,0.98
971,1,im,0.26
971,1,im2,0.26
971,1,lp,0.26
971,1,lp2,1
971,1,sl,0.38
971,1,sl2,0.38
970,1,wt,0.3
970,1,wt2,0.3
970,1,l,0.32
970,1,l2,0.42
970,1,fg,0.3
970,1,fg2,0.4
970,1,eb,0.3
970,1,eb2,0.98
970,1,im,0.3
970,1,im2,0.3
970,1,lp,0.3
970,1,lp2,1
970,1,sl,0.38
970,1,sl2,0.38
969,1,wt,0.32
969,1,wt2,0.26
969,1,l,0.32
969,1,l2,0.4
969,1,fg,0.3
969,1,fg2,0.38
969,1,eb,0.26
969,1,eb2,0.98
969,1,im,0.26
969,1,im2,0.26
969,1,lp,0.26
969,1,lp2,1
969,1,sl,0.32
969,1,sl2,0.3
968,1,wt,0.28
968,1,wt2,0.28
968,1,l,0.28
968,1,l2,0.5
968,1,fg,0.28
968,1,fg2,0.38
968,1,eb,0.28
968,1,eb2,0.88
968,1,im,0.28
968,1,im2,0.28
968,1,lp,0.28
968,1,lp2,1
968,1,sl,0.28
968,1,sl2,0.28
967,1,wt,0.34
967,1,wt2,0.28
967,1,l,0.3
967,1,l2,0.38
967,1,fg,0.34
967,1,fg2,0.4
967,1,eb,0.28
967,1,eb2,0.98
967,1,im,0.28
967,1,im2,0.28
967,1,lp,0.28
967,1,lp2,1
967,1,sl,0.32
967,1,sl2,0.32
966,1,wt,0.36
966,1,wt2,0.26
966,1,l,0.32
966,1,l2,0.42
966,1,fg,0.28
966,1,fg2,0.38
966,1,eb,0.26
966,1,eb2,0.94
966,1,im,0.26
966,1,im2,0.26
966,1,lp,0.26
966,1,lp2,1
966,1,sl,0.32
966,1,sl2,0.32
965,1,wt,0.38
965,1,wt2,0.26
965,1,l,0.28
965,1,l2,0.4
965,1,fg,0.3
965,1,fg2,0.4
965,1,eb,0.26
