run,alpha,method,accuracies,c_count
85,0.9,wt2,0.3,1
85,0.9,l,0.38,3
85,0.9,l2,0.54,8
85,0.9,fg,0.3,2
85,0.9,fg2,0.5,6
85,0.9,eb,0.3,1
85,0.9,eb2,0.98,48
85,0.9,im,0.3,1
85,0.9,im2,0.3,1
85,0.9,lp,0.3,1
85,0.9,lp2,1,50
85,0.9,sl,0.42,3
85,0.9,sl2,0.44,3
84,0.9,wt,0.34,3
84,0.9,wt2,0.26,1
84,0.9,l,0.34,3
84,0.9,l2,0.48,7
84,0.9,fg,0.34,2
84,0.9,fg2,0.44,6
84,0.9,eb,0.26,1
84,0.9,eb2,0.98,49
84,0.9,im,0.26,1
84,0.9,im2,0.26,1
84,0.9,lp,0.26,1
84,0.9,lp2,1,50
84,0.9,sl,0.4,3
84,0.9,sl2,0.42,3
83,0.9,wt,0.3,3
83,0.9,wt2,0.24,1
83,0.9,l,0.32,2
83,0.9,l2,0.36,7
83,0.9,fg,0.34,2
83,0.9,fg2,0.4,8
83,0.9,eb,0.24,1
83,0.9,eb2,0.9,43
83,0.9,im,0.24,1
83,0.9,im2,0.24,1
83,0.9,lp,0.24,1
83,0.9,lp2,1,50
83,0.9,sl,0.34,3
83,0.9,sl2,0.34,3
82,0.9,wt,0.32,2
82,0.9,wt2,0.28,1
82,0.9,l,0.34,2
82,0.9,l2,0.46,7
82,0.9,fg,0.32,2
82,0.9,fg2,0.46,7
82,0.9,eb,0.28,1
82,0.9,eb2,0.98,48
82,0.9,im,0.28,1
82,0.9,im2,0.28,1
82,0.9,lp,0.28,1
82,0.9,lp2,1,50
82,0.9,sl,0.32,2
82,0.9,sl2,0.32,2
81,0.9,wt,0.34,2
81,0.9,wt2,0.32,1
81,0.9,l,0.38,3
81,0.9,l2,0.42,7
81,0.9,fg,0.38,2
81,0.9,fg2,0.38,7
81,0.9,eb,0.32,1
81,0.9,eb2,1,50
81,0.9,im,0.32,1
81,0.9,im2,0.32,1
81,0.9,lp,0.32,1
81,0.9,lp2,1,50
81,0.9,sl,0.34,3
81,0.9,sl2,0.34,3
80,0.9,wt,0.32,2
80,0.9,wt2,0.3,1
80,0.9,l,0.4,2
80,0.9,l2,0.58,8
80,0.9,fg,0.34,2
80,0.9,fg2,0.46,8
80,0.9,eb,0.3,1
80,0.9,eb2,1,50
80,0.9,im,0.3,1
80,0.9,im2,0.3,1
80,0.9,lp,0.3,1
80,0.9,lp2,1,50
80,0.9,sl,0.4,3
80,0.9,sl2,0.4,3
79,0.9,wt,0.4,2
79,0.9,wt2,0.38,1
79,0.9,l,0.4,3
79,0.9,l2,0.52,7
79,0.9,fg,0.38,2
79,0.9,fg2,0.48,7
79,0.9,eb,0.38,1
79,0.9,eb2,1,50
79,0.9,im,0.38,1
79,0.9,im2,0.38,1
79,0.9,lp,0.38,1
79,0.9,lp2,1,50
79,0.9,sl,0.4,3
79,0.9,sl2,0.4,3
78,0.9,wt,0.36,2
78,0.9,wt2,0.24,1
78,0.9,l,0.42,3
78,0.9,l2,0.44,8
78,0.9,fg,0.42,3
78,0.9,fg2,0.38,6
78,0.9,eb,0.24,1
78,0.9,eb2,1,50
78,0.9,im,0.24,1
78,0.9,im2,0.24,1
78,0.9,lp,0.24,1
78,0.9,lp2,1,50
78,0.9,sl,0.36,3
78,0.9,sl2,0.36,3
77,0.9,wt,0.26,2
77,0.9,wt2,0.24,1
77,0.9,l,0.3,3
77,0.9,l2,0.48,8
77,0.9,fg,0.28,2
77,0.9,fg2,0.42,8
77,0.9,eb,0.24,1
77,0.9,eb2,0.98,48
77,0.9,im,0.24,1
77,0.9,im2,0.24,1
77,0.9,lp,0.24,1
77,0.9,lp2,1,50
77,0.9,sl,0.26,3
77,0.9,sl2,0.24,3
76,0.9,wt,0.34,2
76,0.9,wt2,0.28,1
76,0.9,l,0.4,3
76,0.9,l2,0.4,7
76,0.9,fg,0.4,3
76,0.9,fg2,0.48,8
76,0.9,eb,0.28,1
76,0.9,eb2,0.98,49
76,0.9,im,0.28,1
76,0.9,im2,0.28,1
76,0.9,lp,0.28,1
76,0.9,lp2,1,50
76,0.9,sl,0.38,3
76,0.9,sl2,0.4,3
75,0.9,wt,0.4,2
75,0.9,wt2,0.28,1
75,0.9,l,0.32,2
75,0.9,l2,0.48,7
75,0.9,fg,0.38,2
75,0.9,fg2,0.48,7
75,0.9,eb,0.28,1
75,0.9,eb2,1,47
75,0.9,im,0.28,1
75,0.9,im2,0.28,1
75,0.9,lp,0.28,1
75,0.9,lp2,1,50
75,0.9,sl,0.34,3
75,0.9,sl2,0.34,3
74,0.9,wt,0.28,2
74,0.9,wt2,0.28,1
74,0.9,l,0.32,2
74,0.9,l2,0.46,8
74,0.9,fg,0.3,2
74,0.9,fg2,0.42,7
74,0.9,eb,0.28,1
74,0.9,eb2,0.94,47
74,0.9,im,0.28,1
74,0.9,im2,0.28,1
74,0.9,lp,0.28,1
74,0.9,lp2,1,50
74,0.9,sl,0.3,3
74,0.9,sl2,0.3,3
73,0.9,wt,0.42,3
73,0.9,wt2,0.32,1
73,0.9,l,0.4,3
73,0.9,l2,0.48,6
73,0.9,fg,0.38,3
73,0.9,fg2,0.46,6
73,0.9,eb,0.32,1
73,0.9,eb2,0.94,46
73,0.9,im,0.32,1
73,0.9,im2,0.32,1
73,0.9,lp,0.32,1
73,0.9,lp2,1,50
73,0.9,sl,0.44,3
73,0.9,sl2,0.44,3
72,0.9,wt,0.36,3
72,0.9,wt2,0.26,1
72,0.9,l,0.38,3
72,0.9,l2,0.54,8
72,0.9,fg,0.28,2
72,0.9,fg2,0.46,7
72,0.9,eb,0.26,1
72,0.9,eb2,0.94,46
72,0.9,im,0.26,1
72,0.9,im2,0.26,1
72,0.9,lp,0.26,1
72,0.9,lp2,1,50
72,0.9,sl,0.34,3
72,0.9,sl2,0.34,3
71,0.9,wt,0.28,2
71,0.9,wt2,0.24,1
71,0.9,l,0.32,3
71,0.9,l2,0.52,8
71,0.9,fg,0.32,2
71,0.9,fg2,0.44,7
71,0.9,eb,0.24,1
71,0.9,eb2,0.96,46
71,0.9,im,0.24,1
71,0.9,im2,0.24,1
71,0.9,lp,0.24,1
71,0.9,lp2,1,50
71,0.9,sl,0.32,3
71,0.9,sl2,0.4,3
70,0.9,wt,0.26,2
70,0.9,wt2,0.26,1
70,0.9,l,0.26,2
70,0.9,l2,0.36,7
70,0.9,fg,0.26,2
70,0.9,fg2,0.38,8
70,0.9,eb,0.26,1
70,0.9,eb2,0.92,46
70,0.9,im,0.26,1
70,0.9,im2,0.26,1
70,0.9,lp,0.26,1
70,0.9,lp2,1,50
70,0.9,sl,0.32,2
70,0.9,sl2,0.3,3
69,0.9,wt,0.3,2
69,0.9,wt2,0.24,1
69,0.9,l,0.3,3
69,0.9,l2,0.38,7
69,0.9,fg,0.3,3
69,0.9,fg2,0.34,6
69,0.9,eb,0.24,1
69,0.9,eb2,0.92,45
69,0.9,im,0.24,1
69,0.9,im2,0.24,1
69,0.9,lp,0.24,1
69,0.9,lp2,1,50
69,0.9,sl,0.36,4
69,0.9,sl2,0.36,4
68,0.9,wt,0.26,2
68,0.9,wt2,0.24,1
68,0.9,l,0.4,4
68,0.9,l2,0.5,7
68,0.9,fg,0.3,2
68,0.9,fg2,0.38,9
68,0.9,eb,0.24,1
68,0.9,eb2,1,50
68,0.9,im,0.24,1
68,0.9,im2,0.24,1
68,0.9,lp,0.24,1
68,0.9,lp2,1,50
68,0.9,sl,0.32,3
68,0.9,sl2,0.32,3
67,0.9,wt,0.34,2
67,0.9,wt2,0.26,1
67,0.9,l,0.4,4
67,0.9,l2,0.42,8
67,0.9,fg,0.38,3
67,0.9,fg2,0.42,6
67,0.9,eb,0.26,1
67,0.9,eb2,0.98,48
67,0.9,im,0.26,1
67,0.9,im2,0.26,1
67,0.9,lp,0.26,1
67,0.9,lp2,1,50
67,0.9,sl,0.38,3
67,0.9,sl2,0.3,3
66,0.9,wt,0.3,3
66,0.9,wt2,0.28,1
66,0.9,l,0.28,3
66,0.9,l2,0.5,7
66,0.9,fg,0.34,2
66,0.9,fg2,0.46,7
66,0.9,eb,0.28,1
66,0.9,eb2,1,50
66,0.9,im,0.28,1
66,0.9,im2,0.28,1
66,0.9,lp,0.28,1
66,0.9,lp2,1,50
66,0.9,sl,0.32,3
66,0.9,sl2,0.34,3
65,0.9,wt,0.46,2
65,0.9,wt2,0.38,1
65,0.9,l,0.4,2
65,0.9,l2,0.54,7
65,0.9,fg,0.44,2
65,0.9,fg2,0.54,7
65,0.9,eb,0.38,1
65,0.9,eb2,0.96,47
65,0.9,im,0.38,1
65,0.9,im2,0.38,1
65,0.9,lp,0.38,1
65,0.9,lp2,1,50
65,0.9,sl,0.42,3
65,0.9,sl2,0.42,3
64,0.9,wt,0.32,2
64,0.9,wt2,0.28,1
64,0.9,l,0.36,3
64,0.9,l2,0.4,5
64,0.9,fg,0.34,2
64,0.9,fg2,0.4,6
64,0.9,eb,0.28,1
64,0.9,eb2,1,50
64,0.9,im,0.28,1
64,0.9,im2,0.28,1
64,0.9,lp,0.28,1
64,0.9,lp2,1,50
64,0.9,sl,0.34,3
64,0.9,sl2,0.36,3
63,0.9,wt,0.28,2
63,0.9,wt2,0.24,1
63,0.9,l,0.4,3
63,0.9,l2,0.48,8
63,0.9,fg,0.24,3
63,0.9,fg2,0.44,7
63,0.9,eb,0.24,1
63,0.9,eb2,0.96,48
63,0.9,im,0.24,1
63,0.9,im2,0.24,1
63,0.9,lp,0.24,1
63,0.9,lp2,1,50
63,0.9,sl,0.38,3
63,0.9,sl2,0.42,3
62,0.9,wt,0.34,2
62,0.9,wt2,0.26,1
62,0.9,l,0.36,3
62,0.9,l2,0.4,7
62,0.9,fg,0.28,2
62,0.9,fg2,0.4,8
62,0.9,eb,0.26,1
62,0.9,eb2,0.94,46
62,0.9,im,0.26,1
62,0.9,im2,0.26,1
62,0.9,lp,0.26,1
62,0.9,lp2,1,50
62,0.9,sl,0.42,3
62,0.9,sl2,0.34,2
61,0.9,wt,0.36,2
61,0.9,wt2,0.28,1
61,0.9,l,0.38,3
61,0.9,l2,0.48,6
61,0.9,fg,0.32,2
61,0.9,fg2,0.58,9
61,0.9,eb,0.28,1
61,0.9,eb2,0.96,48
61,0.9,im,0.28,1
61,0.9,im2,0.28,1
61,0.9,lp,0.28,1
61,0.9,lp2,1,50
61,0.9,sl,0.34,2
61,0.9,sl2,0.36,2
60,0.9,wt,0.3,2
60,0.9,wt2,0.26,1
60,0.9,l,0.34,3
60,0.9,l2,0.42,8
60,0.9,fg,0.28,2
60,0.9,fg2,0.4,6
60,0.9,eb,0.26,1
60,0.9,eb2,0.88,42
60,0.9,im,0.26,1
60,0.9,im2,0.26,1
60,0.9,lp,0.26,1
60,0.9,lp2,1,50
60,0.9,sl,0.34,3
60,0.9,sl2,0.36,4
59,0.9,wt,0.28,2
59,0.9,wt2,0.26,1
59,0.9,l,0.36,3
59,0.9,l2,0.4,6
59,0.9,fg,0.36,3
59,0.9,fg2,0.44,7
59,0.9,eb,0.26,1
59,0.9,eb2,0.98,49
59,0.9,im,0.26,1
59,0.9,im2,0.26,1
59,0.9,lp,0.26,1
59,0.9,lp2,1,50
59,0.9,sl,0.38,3
59,0.9,sl2,0.42,3
58,0.9,wt,0.28,2
58,0.9,wt2,0.24,1
58,0.9,l,0.28,3
58,0.9,l2,0.5,7
58,0.9,fg,0.28,2
58,0.9,fg2,0.44,7
58,0.9,eb,0.24,1
58,0.9,eb2,0.94,47
58,0.9,im,0.24,1
58,0.9,im2,0.24,1
58,0.9,lp,0.24,1
58,0.9,lp2,1,50
58,0.9,sl,0.34,3
58,0.9,sl2,0.32,3
57,0.9,wt,0.4,3
57,0.9,wt2,0.32,1
57,0.9,l,0.44,3
57,0.9,l2,0.44,8
57,0.9,fg,0.38,3
57,0.9,fg2,0.46,6
57,0.9,eb,0.32,1
57,0.9,eb2,0.84,39
57,0.9,im,0.32,1
57,0.9,im2,0.32,1
57,0.9,lp,0.32,1
57,0.9,lp2,1,50
57,0.9,sl,0.36,3
57,0.9,sl2,0.36,3
56,0.9,wt,0.38,2
56,0.9,wt2,0.3,1
56,0.9,l,0.4,3
56,0.9,l2,0.54,7
56,0.9,fg,0.38,3
56,0.9,fg2,0.62,7
56,0.9,eb,0.3,1
56,0.9,eb2,0.96,44
56,0.9,im,0.3,1
56,0.9,im2,0.3,1
56,0.9,lp,0.3,1
56,0.9,lp2,1,50
56,0.9,sl,0.4,3
56,0.9,sl2,0.38,3
55,0.9,wt,0.28,2
55,0.9,wt2,0.28,1
55,0.9,l,0.28,2
55,0.9,l2,0.36,6
55,0.9,fg,0.28,2
55,0.9,fg2,0.38,8
55,0.9,eb,0.28,1
55,0.9,eb2,1,50
55,0.9,im,0.28,1
55,0.9,im2,0.28,1
55,0.9,lp,0.28,1
55,0.9,lp2,1,50
55,0.9,sl,0.28,3
55,0.9,sl2,0.28,2
54,0.9,wt,0.28,2
54,0.9,wt2,0.26,1
54,0.9,l,0.3,3
54,0.9,l2,0.38,5
54,0.9,fg,0.3,2
54,0.9,fg2,0.36,7
54,0.9,eb,0.26,1
54,0.9,eb2,0.98,49
54,0.9,im,0.26,1
54,0.9,im2,0.26,1
54,0.9,lp,0.26,1
54,0.9,lp2,1,50
54,0.9,sl,0.32,3
54,0.9,sl2,0.32,3
53,0.9,wt,0.36,3
53,0.9,wt2,0.24,1
53,0.9,l,0.34,3
53,0.9,l2,0.44,7
53,0.9,fg,0.32,2
53,0.9,fg2,0.48,9
53,0.9,eb,0.24,1
53,0.9,eb2,0.9,43
53,0.9,im,0.24,1
53,0.9,im2,0.24,1
53,0.9,lp,0.24,1
53,0.9,lp2,1,50
53,0.9,sl,0.32,3
53,0.9,sl2,0.3,3
52,0.9,wt,0.34,3
52,0.9,wt2,0.24,1
52,0.9,l,0.3,3
52,0.9,l2,0.4,6
52,0.9,fg,0.3,2
52,0.9,fg2,0.36,6
52,0.9,eb,0.24,1
52,0.9,eb2,0.96,45
52,0.9,im,0.24,1
52,0.9,im2,0.24,1
52,0.9,lp,0.24,1
52,0.9,lp2,1,50
52,0.9,sl,0.36,3
52,0.9,sl2,0.3,3
51,0.9,wt,0.3,2
51,0.9,wt2,0.3,1
51,0.9,l,0.4,4
51,0.9,l2,0.48,7
51,0.9,fg,0.32,2
51,0.9,fg2,0.52,7
51,0.9,eb,0.3,1
51,0.9,eb2,0.9,39
51,0.9,im,0.3,1
51,0.9,im2,0.3,1
51,0.9,lp,0.3,1
51,0.9,lp2,1,50
51,0.9,sl,0.32,2
51,0.9,sl2,0.34,3
50,0.9,wt,0.32,2
50,0.9,wt2,0.32,1
50,0.9,l,0.36,3
50,0.9,l2,0.48,6
50,0.9,fg,0.32,2
50,0.9,fg2,0.46,6
50,0.9,eb,0.32,1
50,0.9,eb2,0.96,47
50,0.9,im,0.32,1
50,0.9,im2,0.32,1
50,0.9,lp,0.32,1
50,0.9,lp2,1,50
50,0.9,sl,0.36,3
50,0.9,sl2,0.38,3
49,0.9,wt,0.32,2
49,0.9,wt2,0.32,1
49,0.9,l,0.38,3
49,0.9,l2,0.52,8
49,0.9,fg,0.32,2
49,0.9,fg2,0.44,8
49,0.9,eb,0.32,1
49,0.9,eb2,0.94,47
49,0.9,im,0.32,1
49,0.9,im2,0.32,1
49,0.9,lp,0.32,1
49,0.9,lp2,1,50
49,0.9,sl,0.34,3
49,0.9,sl2,0.34,3
48,0.9,wt,0.34,2
48,0.9,wt2,0.26,1
48,0.9,l,0.42,4
48,0.9,l2,0.42,7
48,0.9,fg,0.32,3
48,0.9,fg2,0.48,7
48,0.9,eb,0.26,1
48,0.9,eb2,1,49
48,0.9,im,0.26,1
48,0.9,im2,0.26,1
48,0.9,lp,0.26,1
48,0.9,lp2,1,50
48,0.9,sl,0.32,3
48,0.9,sl2,0.3,4
47,0.9,wt,0.3,2
47,0.9,wt2,0.3,1
47,0.9,l,0.36,3
47,0.9,l2,0.54,8
47,0.9,fg,0.42,3
47,0.9,fg2,0.44,7
47,0.9,eb,0.3,1
47,0.9,eb2,0.96,46
47,0.9,im,0.3,1
47,0.9,im2,0.3,1
47,0.9,lp,0.3,1
47,0.9,lp2,1,50
47,0.9,sl,0.32,2
47,0.9,sl2,0.32,3
46,0.9,wt,0.36,2
46,0.9,wt2,0.32,1
46,0.9,l,0.32,2
46,0.9,l2,0.46,7
46,0.9,fg,0.34,2
46,0.9,fg2,0.5,8
46,0.9,eb,0.32,1
46,0.9,eb2,0.98,48
46,0.9,im,0.32,1
46,0.9,im2,0.32,1
46,0.9,lp,0.32,1
46,0.9,lp2,1,50
46,0.9,sl,0.4,3
46,0.9,sl2,0.42,3
45,0.9,wt,0.3,2
45,0.9,wt2,0.3,1
45,0.9,l,0.3,3
45,0.9,l2,0.4,7
45,0.9,fg,0.34,3
45,0.9,fg2,0.36,5
45,0.9,eb,0.3,1
45,0.9,eb2,1,50
45,0.9,im,0.3,1
45,0.9,im2,0.3,1
45,0.9,lp,0.3,1
45,0.9,lp2,1,50
45,0.9,sl,0.3,2
45,0.9,sl2,0.3,2
44,0.9,wt,0.32,2
44,0.9,wt2,0.28,1
44,0.9,l,0.5,4
44,0.9,l2,0.56,7
44,0.9,fg,0.32,2
44,0.9,fg2,0.5,7
44,0.9,eb,0.28,1
44,0.9,eb2,1,48
44,0.9,im,0.28,1
44,0.9,im2,0.28,1
44,0.9,lp,0.28,1
44,0.9,lp2,1,50
44,0.9,sl,0.36,3
44,0.9,sl2,0.32,2
43,0.9,wt,0.3,2
43,0.9,wt2,0.26,1
43,0.9,l,0.28,3
43,0.9,l2,0.42,7
43,0.9,fg,0.28,2
43,0.9,fg2,0.38,6
43,0.9,eb,0.26,1
43,0.9,eb2,0.94,47
43,0.9,im,0.26,1
43,0.9,im2,0.26,1
43,0.9,lp,0.26,1
43,0.9,lp2,1,50
43,0.9,sl,0.3,3
43,0.9,sl2,0.3,3
42,0.9,wt,0.3,2
42,0.9,wt2,0.26,1
42,0.9,l,0.38,3
42,0.9,l2,0.34,6
42,0.9,fg,0.32,3
42,0.9,fg2,0.36,6
42,0.9,eb,0.26,1
42,0.9,eb2,1,50
42,0.9,im,0.26,1
42,0.9,im2,0.26,1
42,0.9,lp,0.26,1
42,0.9,lp2,1,50
42,0.9,sl,0.3,3
42,0.9,sl2,0.3,3
41,0.9,wt,0.36,2
41,0.9,wt2,0.28,1
41,0.9,l,0.34,3
41,0.9,l2,0.5,7
41,0.9,fg,0.4,2
41,0.9,fg2,0.48,7
41,0.9,eb,0.28,1
41,0.9,eb2,0.92,45
41,0.9,im,0.28,1
41,0.9,im2,0.28,1
41,0.9,lp,0.28,1
41,0.9,lp2,1,50
41,0.9,sl,0.42,3
41,0.9,sl2,0.36,2
40,0.9,wt,0.32,2
40,0.9,wt2,0.26,1
40,0.9,l,0.4,4
40,0.9,l2,0.44,6
40,0.9,fg,0.36,2
40,0.9,fg2,0.44,7
40,0.9,eb,0.26,1
40,0.9,eb2,0.9,43
40,0.9,im,0.26,1
40,0.9,im2,0.26,1
40,0.9,lp,0.26,1
40,0.9,lp2,1,50
40,0.9,sl,0.42,3
40,0.9,sl2,0.44,4
39,0.9,wt,0.32,2
39,0.9,wt2,0.26,1
39,0.9,l,0.36,3
39,0.9,l2,0.38,7
39,0.9,fg,0.28,2
39,0.9,fg2,0.44,8
39,0.9,eb,0.26,1
39,0.9,eb2,1,50
39,0.9,im,0.26,1
39,0.9,im2,0.26,1
39,0.9,lp,0.26,1
39,0.9,lp2,1,50
39,0.9,sl,0.36,3
39,0.9,sl2,0.34,3
38,0.9,wt,0.38,2
38,0.9,wt2,0.32,1
38,0.9,l,0.4,3
38,0.9,l2,0.48,7
38,0.9,fg,0.36,2
38,0.9,fg2,0.5,7
38,0.9,eb,0.32,1
38,0.9,eb2,1,50
38,0.9,im,0.32,1
38,0.9,im2,0.32,1
38,0.9,lp,0.32,1
38,0.9,lp2,1,50
38,0.9,sl,0.36,2
38,0.9,sl2,0.36,2
37,0.9,wt,0.38,3
37,0.9,wt2,0.3,1
37,0.9,l,0.4,3
37,0.9,l2,0.46,7
37,0.9,fg,0.3,2
37,0.9,fg2,0.46,6
37,0.9,eb,0.3,1
37,0.9,eb2,0.92,44
37,0.9,im,0.3,1
37,0.9,im2,0.3,1
37,0.9,lp,0.3,1
37,0.9,lp2,1,50
37,0.9,sl,0.42,3
37,0.9,sl2,0.38,3
36,0.9,wt,0.28,2
36,0.9,wt2,0.24,1
36,0.9,l,0.38,3
36,0.9,l2,0.5,7
36,0.9,fg,0.36,3
36,0.9,fg2,0.4,7
36,0.9,eb,0.24,1
36,0.9,eb2,0.9,43
36,0.9,im,0.24,1
36,0.9,im2,0.24,1
36,0.9,lp,0.24,1
36,0.9,lp2,1,50
36,0.9,sl,0.34,3
36,0.9,sl2,0.36,3
35,0.9,wt,0.34,2
35,0.9,wt2,0.28,1
35,0.9,l,0.3,3
35,0.9,l2,0.4,6
35,0.9,fg,0.34,2
35,0.9,fg2,0.34,6
35,0.9,eb,0.28,1
35,0.9,eb2,0.96,47
35,0.9,im,0.28,1
35,0.9,im2,0.28,1
35,0.9,lp,0.28,1
35,0.9,lp2,1,50
35,0.9,sl,0.36,3
35,0.9,sl2,0.36,3
34,0.9,wt,0.28,2
34,0.9,wt2,0.24,1
34,0.9,l,0.32,3
34,0.9,l2,0.42,7
